reduced_field_Td,reduced_mobility_cm2_V_s,marker_center_x_full_page_px,marker_center_y_full_page_px,digitization_reduced_field_relative_bound,digitization_reduced_mobility_relative_bound,source_measurement_relative_uncertainty_lower,source_measurement_relative_uncertainty_upper
45.179545,0.53429569,3375.5,1122.5,0.036992777,0.03361048,0.02,0.04
49.835214,0.5272771,3402.5,1126.5,0.036992777,0.03361048,0.02,0.04
54.970641,0.53783994,3429.5,1120.5,0.036992777,0.03361048,0.02,0.04
59.760605,0.53606489,3452.5,1121.5,0.036992777,0.03361048,0.02,0.04
64.96795,0.50509717,3475.5,1139.5,0.036992777,0.03361048,0.02,0.04
70.117787,0.51013134,3496.5,1136.5,0.036992777,0.03361048,0.02,0.04
75.401444,0.52380245,3516.5,1128.5,0.036992777,0.03361048,0.02,0.04
80.204439,0.50011267,3533.5,1142.5,0.036992777,0.03361048,0.02,0.04
89.764202,0.50176868,3564.5,1141.5,0.036992777,0.03361048,0.02,0.04
100.09914,0.48705986,3594.5,1150.5,0.036992777,0.03361048,0.02,0.04
109.61493,0.48225336,3619.5,1153.5,0.036992777,0.03361048,0.02,0.04
120.47213,0.48066176,3645.5,1154.5,0.036992777,0.03361048,0.02,0.04
130.02164,0.50844773,3666.5,1137.5,0.036992777,0.03361048,0.02,0.04
149.81006,0.50509717,3705.5,1139.5,0.036992777,0.03361048,0.02,0.04
179.64686,0.53783994,3755.5,1120.5,0.036992777,0.03361048,0.02,0.04
200.33039,0.54861439,3785.5,1114.5,0.036992777,0.03361048,0.02,0.04
229.14851,0.51013134,3822.5,1136.5,0.036992777,0.03361048,0.02,0.04
250.93219,0.58417815,3847.5,1095.5,0.036992777,0.03361048,0.02,0.04
268.86252,0.59983366,3866.5,1087.5,0.036992777,0.03361048,0.02,0.04
299.81783,0.67787775,3896.5,1050.5,0.036992777,0.03361048,0.02,0.04
350.50409,0.7338511,3939.5,1026.5,0.036992777,0.03361048,0.02,0.04
399.47143,0.84037139,3975.5,985.5,0.036992777,0.03361048,0.02,0.04
450.34531,0.86574994,4008.5,976.5,0.036992777,0.03361048,0.02,0.04
