pressure_Pa,pressure_mTorr,c4f6_feed_percent,ar_feed_percent,species,ion_current_density_mA_cm2,marker_center_x_full_page_px,marker_center_y_full_page_px,marker,digitization_relative_bound,source_transmission_relative_uncertainty
0.67,5.025,50,50,total_positive_ion_current,0.234282009,3333.0,852.6,filled_circle,0.102,0.20
1.33,9.976,50,50,total_positive_ion_current,0.215873342,3513.0,873.0,filled_circle,0.102,0.20
2.66,19.952,50,50,total_positive_ion_current,0.17466799,3878.0,925.8,filled_circle,0.102,0.20
0.67,5.025,50,50,Ar+,0.130223003,3333.0,999.0,open_circle,0.102,0.20
1.33,9.976,50,50,Ar+,0.130223003,3513.0,999.0,open_circle,0.102,0.20
2.66,19.952,50,50,Ar+,0.0798261187,3878.0,1121.0,open_circle,0.102,0.20
0.67,5.025,50,50,CF+,0.0319200087,3333.0,1349.5,filled_square,0.102,0.20
1.33,9.976,50,50,CF+,0.02154428,3513.0,1447.5,filled_square,0.102,0.20
2.66,19.952,50,50,CF+,0.0141045945,3878.0,1553.1,filled_square,0.102,0.20
0.67,5.025,50,50,CF2+,0.0179715965,3333.0,1492.7,filled_down_triangle,0.102,0.20
1.33,9.976,50,50,CF2+,0.0116248891,3513.0,1601.3,filled_down_triangle,0.102,0.20
2.66,19.952,50,50,CF2+,0.0073201259,3878.0,1716.6,filled_down_triangle,0.102,0.20
0.67,5.025,50,50,CF3+,0.00559268126,3333.0,1783.7,filled_up_triangle,0.102,0.20
1.33,9.976,50,50,CF3+,0.0047654965,3513.0,1823.6,filled_up_triangle,0.102,0.20
2.66,19.952,50,50,CF3+,0.00547503194,3878.0,1789.0,filled_up_triangle,0.102,0.20
