c4f6_feed_percent,ar_feed_percent,species,ion_current_density_mA_cm2,marker_center_x_full_page_px,marker_center_y_full_page_px,marker,digitization_relative_bound,source_transmission_relative_uncertainty
25,75,total_positive_ion_current,0.264370227,1233.5,3938.0,filled_circle,0.101,0.20
50,50,total_positive_ion_current,0.216437915,1461.5,3988.0,filled_circle,0.101,0.20
75,25,total_positive_ion_current,0.201237685,1689.5,4006.2,filled_circle,0.101,0.20
100,0,total_positive_ion_current,0.155652613,1915.7,4070.4,filled_circle,0.101,0.20
25,75,Ar+,0.206705068,1233.5,3999.5,open_circle,0.101,0.20
50,50,Ar+,0.129902532,1461.5,4115.6,open_circle,0.101,0.20
75,25,Ar+,0.0697305832,1689.5,4271.1,open_circle,0.101,0.20
25,75,CF+,0.0131898791,1233.5,4687.3,filled_square,0.101,0.20
50,50,CF+,0.0209462138,1461.5,4571.7,filled_square,0.101,0.20
75,25,CF+,0.0295486579,1689.5,4485.7,filled_square,0.101,0.20
100,0,CF+,0.0315272886,1915.7,4469.5,filled_square,0.101,0.20
25,75,CF2+,0.00613291901,1233.5,4878.7,filled_down_triangle,0.101,0.20
50,50,CF2+,0.0113522361,1461.5,4724.8,filled_down_triangle,0.101,0.20
75,25,CF2+,0.016110908,1689.5,4637.3,filled_down_triangle,0.101,0.20
100,0,CF2+,0.0175160237,1915.7,4616.4,filled_down_triangle,0.101,0.20
25,75,CF3+,0.00239037581,1233.5,5114.2,filled_up_triangle,0.101,0.20
50,50,CF3+,0.00460343964,1461.5,4950.4,filled_up_triangle,0.101,0.20
75,25,CF3+,0.00654882835,1689.5,4862.3,filled_up_triangle,0.101,0.20
100,0,CF3+,0.0089940236,1915.7,4783.0,filled_up_triangle,0.101,0.20
