electron_energy_eV,cross_section_m2,source_printed_cross_section_1e_minus_20_m2,evidence_class
0.005,3.3212e-17,3321.2,recommended_total_scattering
0.006,2.7676e-17,2767.6,recommended_total_scattering
0.007,2.3723e-17,2372.3,recommended_total_scattering
0.008,2.0758e-17,2075.8,recommended_total_scattering
0.009,1.8451e-17,1845.1,recommended_total_scattering
0.01,1.6606e-17,1660.6,recommended_total_scattering
0.02,8.303e-18,830.3,recommended_total_scattering
0.03,5.535e-18,553.5,recommended_total_scattering
0.04,4.152e-18,415.2,recommended_total_scattering
0.05,3.321e-18,332.1,recommended_total_scattering
0.06,2.768e-18,276.8,recommended_total_scattering
0.07,2.372e-18,237.2,recommended_total_scattering
0.08,2.076e-18,207.6,recommended_total_scattering
0.09,1.845e-18,184.5,recommended_total_scattering
0.1,1.661e-18,166.1,recommended_total_scattering
0.2,8.29e-19,82.9,recommended_total_scattering
0.3,5.54e-19,55.4,recommended_total_scattering
0.4,4.15e-19,41.5,recommended_total_scattering
0.5,3.5e-19,35,recommended_total_scattering
0.6,3.13e-19,31.3,recommended_total_scattering
0.7,2.92e-19,29.2,recommended_total_scattering
0.8,2.77e-19,27.7,recommended_total_scattering
0.9,2.65e-19,26.5,recommended_total_scattering
1,2.56e-19,25.6,recommended_total_scattering
1.5,2.35e-19,23.5,recommended_total_scattering
2,2.21e-19,22.1,recommended_total_scattering
3,2.03e-19,20.3,recommended_total_scattering
4,1.99e-19,19.9,recommended_total_scattering
5,2.05e-19,20.5,recommended_total_scattering
6,2.13e-19,21.3,recommended_total_scattering
7,2.19e-19,21.9,recommended_total_scattering
8,2.18e-19,21.8,recommended_total_scattering
9,2.14e-19,21.4,recommended_total_scattering
10,2.06e-19,20.6,recommended_total_scattering
15,1.87e-19,18.7,recommended_total_scattering
20,1.9e-19,19,recommended_total_scattering
30,1.86e-19,18.6,recommended_total_scattering
40,1.77e-19,17.7,recommended_total_scattering
50,1.67e-19,16.7,recommended_total_scattering
60,1.59e-19,15.9,recommended_total_scattering
70,1.5e-19,15,recommended_total_scattering
80,1.42e-19,14.2,recommended_total_scattering
90,1.34e-19,13.4,recommended_total_scattering
100,1.27e-19,12.7,recommended_total_scattering
200,8.8e-20,8.8,recommended_total_scattering
300,7e-20,7,recommended_total_scattering
400,5.9e-20,5.9,recommended_total_scattering
500,5.2e-20,5.2,recommended_total_scattering
600,4.6e-20,4.6,recommended_total_scattering
