reduced_electric_field_Td,drift_velocity_m_s,source_printed_velocity_1e6_cm_s,gas_temperature_K,evidence_class
0.4,220,0.022,298,recommended_measured_swarm_fit
0.45,240,0.024,298,recommended_measured_swarm_fit
0.5,260,0.026,298,recommended_measured_swarm_fit
0.6,300,0.03,298,recommended_measured_swarm_fit
0.7,340,0.034,298,recommended_measured_swarm_fit
0.8,380,0.038,298,recommended_measured_swarm_fit
0.9,420,0.042,298,recommended_measured_swarm_fit
1,460,0.046,298,recommended_measured_swarm_fit
1.5,650,0.065,298,recommended_measured_swarm_fit
2,850,0.085,298,recommended_measured_swarm_fit
2.5,1050,0.105,298,recommended_measured_swarm_fit
3,1250,0.125,298,recommended_measured_swarm_fit
4,1660,0.166,298,recommended_measured_swarm_fit
5,2080,0.208,298,recommended_measured_swarm_fit
6,2520,0.252,298,recommended_measured_swarm_fit
7,2960,0.296,298,recommended_measured_swarm_fit
8,3420,0.342,298,recommended_measured_swarm_fit
9,3900,0.39,298,recommended_measured_swarm_fit
10,4400,0.44,298,recommended_measured_swarm_fit
15,7200,0.72,298,recommended_measured_swarm_fit
20,10900,1.09,298,recommended_measured_swarm_fit
25,15200,1.52,298,recommended_measured_swarm_fit
30,20200,2.02,298,recommended_measured_swarm_fit
40,33800,3.38,298,recommended_measured_swarm_fit
50,49800,4.98,298,recommended_measured_swarm_fit
60,61000,6.1,298,recommended_measured_swarm_fit
70,69200,6.92,298,recommended_measured_swarm_fit
80,74900,7.49,298,recommended_measured_swarm_fit
90,81200,8.12,298,recommended_measured_swarm_fit
100,86600,8.66,298,recommended_measured_swarm_fit
150,116000,11.6,298,recommended_measured_swarm_fit
200,143000,14.3,298,recommended_measured_swarm_fit
250,169000,16.9,298,recommended_measured_swarm_fit
