electron_energy_eV,cross_section_m2,evidence_class
2.75,1.6e-19,suggested_elastic_momentum_transfer
3.0,1.5399999999999998e-19,suggested_elastic_momentum_transfer
3.5,1.45e-19,suggested_elastic_momentum_transfer
4.0,1.4e-19,suggested_elastic_momentum_transfer
4.5,1.39e-19,suggested_elastic_momentum_transfer
5.0,1.4099999999999999e-19,suggested_elastic_momentum_transfer
6.0,1.5099999999999998e-19,suggested_elastic_momentum_transfer
7.0,1.55e-19,suggested_elastic_momentum_transfer
8.0,1.48e-19,suggested_elastic_momentum_transfer
9.0,1.44e-19,suggested_elastic_momentum_transfer
10.0,1.5099999999999998e-19,suggested_elastic_momentum_transfer
11.0,1.6699999999999998e-19,suggested_elastic_momentum_transfer
12.0,1.76e-19,suggested_elastic_momentum_transfer
13.0,1.71e-19,suggested_elastic_momentum_transfer
14.0,1.58e-19,suggested_elastic_momentum_transfer
15.0,1.4899999999999999e-19,suggested_elastic_momentum_transfer
16.0,1.45e-19,suggested_elastic_momentum_transfer
17.0,1.47e-19,suggested_elastic_momentum_transfer
18.0,1.5e-19,suggested_elastic_momentum_transfer
19.0,1.5399999999999998e-19,suggested_elastic_momentum_transfer
20.0,1.5699999999999999e-19,suggested_elastic_momentum_transfer
22.0,1.5699999999999999e-19,suggested_elastic_momentum_transfer
25.0,1.5e-19,suggested_elastic_momentum_transfer
27.0,1.43e-19,suggested_elastic_momentum_transfer
30.0,1.3199999999999998e-19,suggested_elastic_momentum_transfer
35.0,1.15e-19,suggested_elastic_momentum_transfer
40.0,1.03e-19,suggested_elastic_momentum_transfer
45.0,9.369999999999999e-20,suggested_elastic_momentum_transfer
50.0,8.65e-20,suggested_elastic_momentum_transfer
60.0,7.69e-20,suggested_elastic_momentum_transfer
70.0,7.06e-20,suggested_elastic_momentum_transfer
75.0,6.74e-20,suggested_elastic_momentum_transfer
80.0,6.46e-20,suggested_elastic_momentum_transfer
90.0,6.03e-20,suggested_elastic_momentum_transfer
100.0,5.7e-20,suggested_elastic_momentum_transfer
125.0,4.9199999999999996e-20,suggested_elastic_momentum_transfer
150.0,4.1599999999999997e-20,suggested_elastic_momentum_transfer
200.0,2.9799999999999996e-20,suggested_elastic_momentum_transfer
250.0,2.23e-20,suggested_elastic_momentum_transfer
300.0,1.76e-20,suggested_elastic_momentum_transfer
350.0,1.4699999999999997e-20,suggested_elastic_momentum_transfer
400.0,1.2799999999999999e-20,suggested_elastic_momentum_transfer
450.0,1.1299999999999999e-20,suggested_elastic_momentum_transfer
500.0,1.02e-20,suggested_elastic_momentum_transfer
600.0,8.199999999999998e-21,suggested_elastic_momentum_transfer
700.0,6.6e-21,suggested_elastic_momentum_transfer
