electron_energy_eV,cross_section_m2,evidence_class
0.09,1.9e-20,deduced_total_vibrational_excitation
0.1,7e-20,deduced_total_vibrational_excitation
0.12,2.13e-19,deduced_total_vibrational_excitation
0.15,3.06e-19,deduced_total_vibrational_excitation
0.17,3.06e-19,deduced_total_vibrational_excitation
0.2,3.49e-19,deduced_total_vibrational_excitation
0.22,3.55e-19,deduced_total_vibrational_excitation
0.25,3.36e-19,deduced_total_vibrational_excitation
0.28,3.0899999999999995e-19,deduced_total_vibrational_excitation
0.3,2.94e-19,deduced_total_vibrational_excitation
0.35,2.68e-19,deduced_total_vibrational_excitation
0.4,2.5399999999999996e-19,deduced_total_vibrational_excitation
0.45,2.35e-19,deduced_total_vibrational_excitation
0.5,2.16e-19,deduced_total_vibrational_excitation
0.6,1.97e-19,deduced_total_vibrational_excitation
0.7,1.8100000000000001e-19,deduced_total_vibrational_excitation
0.8,1.6399999999999998e-19,deduced_total_vibrational_excitation
0.9,1.5099999999999998e-19,deduced_total_vibrational_excitation
1.0,1.39e-19,deduced_total_vibrational_excitation
1.2,1.26e-19,deduced_total_vibrational_excitation
1.5,1.08e-19,deduced_total_vibrational_excitation
2.0,8e-20,deduced_total_vibrational_excitation
2.5,5.599999999999999e-20,deduced_total_vibrational_excitation
3.0,3.8e-20,deduced_total_vibrational_excitation
3.5,2.7999999999999997e-20,deduced_total_vibrational_excitation
4.0,2.2999999999999996e-20,deduced_total_vibrational_excitation
4.5,2e-20,deduced_total_vibrational_excitation
5.0,2.4e-20,deduced_total_vibrational_excitation
6.0,4.4e-20,deduced_total_vibrational_excitation
7.0,6.499999999999999e-20,deduced_total_vibrational_excitation
8.0,4.599999999999999e-20,deduced_total_vibrational_excitation
9.0,3.1e-20,deduced_total_vibrational_excitation
10.0,2.5e-20,deduced_total_vibrational_excitation
11.0,3.5e-20,deduced_total_vibrational_excitation
12.0,6.3e-20,deduced_total_vibrational_excitation
13.0,2.4e-20,deduced_total_vibrational_excitation
14.0,5e-21,deduced_total_vibrational_excitation
