electron_energy_eV,cross_section_m2,evidence_class
16.5,1.9999999999999999e-22,recommended_total_ionization
17.0,3.5e-22,recommended_total_ionization
17.5,5.5e-22,recommended_total_ionization
18.0,8.4e-22,recommended_total_ionization
19.0,1.55e-21,recommended_total_ionization
20.0,2.4e-21,recommended_total_ionization
22.0,4.5699999999999996e-21,recommended_total_ionization
25.0,1.0399999999999999e-20,recommended_total_ionization
30.0,1.93e-20,recommended_total_ionization
35.0,2.87e-20,recommended_total_ionization
40.0,3.47e-20,recommended_total_ionization
45.0,3.79e-20,recommended_total_ionization
50.0,4.3499999999999994e-20,recommended_total_ionization
60.0,5.09e-20,recommended_total_ionization
70.0,5.65e-20,recommended_total_ionization
75.0,5.769999999999999e-20,recommended_total_ionization
80.0,5.95e-20,recommended_total_ionization
90.0,6.28e-20,recommended_total_ionization
100.0,6.53e-20,recommended_total_ionization
125.0,6.869999999999999e-20,recommended_total_ionization
150.0,6.969999999999999e-20,recommended_total_ionization
200.0,6.829999999999999e-20,recommended_total_ionization
250.0,6.48e-20,recommended_total_ionization
300.0,6.04e-20,recommended_total_ionization
350.0,5.599999999999999e-20,recommended_total_ionization
400.0,5.16e-20,recommended_total_ionization
450.0,4.75e-20,recommended_total_ionization
500.0,4.36e-20,recommended_total_ionization
550.0,4e-20,recommended_total_ionization
600.0,3.6499999999999996e-20,recommended_total_ionization
