electron_energy_eV,cross_section_m2,evidence_class
15.0,8e-21,deduced_total_neutral_dissociation_requires_confirmation
16.0,1.2e-20,deduced_total_neutral_dissociation_requires_confirmation
17.0,1.6e-20,deduced_total_neutral_dissociation_requires_confirmation
18.0,1.8e-20,deduced_total_neutral_dissociation_requires_confirmation
19.0,2.2e-20,deduced_total_neutral_dissociation_requires_confirmation
20.0,2.7e-20,deduced_total_neutral_dissociation_requires_confirmation
22.0,3.5e-20,deduced_total_neutral_dissociation_requires_confirmation
25.0,3.7e-20,deduced_total_neutral_dissociation_requires_confirmation
30.0,3.1e-20,deduced_total_neutral_dissociation_requires_confirmation
35.0,2.4e-20,deduced_total_neutral_dissociation_requires_confirmation
40.0,2.2999999999999996e-20,deduced_total_neutral_dissociation_requires_confirmation
45.0,2.7e-20,deduced_total_neutral_dissociation_requires_confirmation
50.0,2.7999999999999997e-20,deduced_total_neutral_dissociation_requires_confirmation
60.0,2.4e-20,deduced_total_neutral_dissociation_requires_confirmation
70.0,2.1e-20,deduced_total_neutral_dissociation_requires_confirmation
75.0,1.7e-20,deduced_total_neutral_dissociation_requires_confirmation
80.0,1.4999999999999998e-20,deduced_total_neutral_dissociation_requires_confirmation
90.0,1.1e-20,deduced_total_neutral_dissociation_requires_confirmation
100.0,8.7e-21,deduced_total_neutral_dissociation_requires_confirmation
125.0,5.3e-21,deduced_total_neutral_dissociation_requires_confirmation
150.0,2.3e-21,deduced_total_neutral_dissociation_requires_confirmation
200.0,7e-22,deduced_total_neutral_dissociation_requires_confirmation
