electron_energy_eV,cross_section_m2,evidence_class
0.0001,7.617e-17,recommended_nondissociative_SF6_minus
0.0002,5.283e-17,recommended_nondissociative_SF6_minus
0.0003,4.284e-17,recommended_nondissociative_SF6_minus
0.0004,3.692e-17,recommended_nondissociative_SF6_minus
0.0005,3.28e-17,recommended_nondissociative_SF6_minus
0.0006,2.9679999999999996e-17,recommended_nondissociative_SF6_minus
0.0007,2.724e-17,recommended_nondissociative_SF6_minus
0.0008,2.5289999999999997e-17,recommended_nondissociative_SF6_minus
0.0009,2.369e-17,recommended_nondissociative_SF6_minus
0.001,2.2369999999999997e-17,recommended_nondissociative_SF6_minus
0.002,1.511e-17,recommended_nondissociative_SF6_minus
0.003,1.2019999999999999e-17,recommended_nondissociative_SF6_minus
0.004,9.929999999999999e-18,recommended_nondissociative_SF6_minus
0.005,8.59e-18,recommended_nondissociative_SF6_minus
0.006,7.6e-18,recommended_nondissociative_SF6_minus
0.007,6.83e-18,recommended_nondissociative_SF6_minus
0.008,6.209999999999999e-18,recommended_nondissociative_SF6_minus
0.009,5.69e-18,recommended_nondissociative_SF6_minus
0.01,5.26e-18,recommended_nondissociative_SF6_minus
0.015,3.83e-18,recommended_nondissociative_SF6_minus
0.02,3.04e-18,recommended_nondissociative_SF6_minus
0.025,2.5699999999999998e-18,recommended_nondissociative_SF6_minus
0.03,2.2099999999999998e-18,recommended_nondissociative_SF6_minus
0.035,1.9e-18,recommended_nondissociative_SF6_minus
0.04,1.71e-18,recommended_nondissociative_SF6_minus
0.045,1.49e-18,recommended_nondissociative_SF6_minus
0.05,1.32e-18,recommended_nondissociative_SF6_minus
0.06,1.09e-18,recommended_nondissociative_SF6_minus
0.07,9.27e-19,recommended_nondissociative_SF6_minus
0.08,8.29e-19,recommended_nondissociative_SF6_minus
0.09,7.429999999999999e-19,recommended_nondissociative_SF6_minus
0.1,4.95e-19,recommended_nondissociative_SF6_minus
0.12,3.0799999999999997e-19,recommended_nondissociative_SF6_minus
0.14,1.7799999999999999e-19,recommended_nondissociative_SF6_minus
0.15,1.42e-19,recommended_nondissociative_SF6_minus
0.16,1.05e-19,recommended_nondissociative_SF6_minus
0.18,5.849999999999999e-20,recommended_nondissociative_SF6_minus
0.2,2.86e-20,recommended_nondissociative_SF6_minus
0.22,1.24e-20,recommended_nondissociative_SF6_minus
0.25,5.1999999999999996e-21,recommended_nondissociative_SF6_minus
0.28,2.5e-21,recommended_nondissociative_SF6_minus
0.3,1.5999999999999999e-21,recommended_nondissociative_SF6_minus
0.35,5e-22,recommended_nondissociative_SF6_minus
0.4,9.999999999999999e-23,recommended_nondissociative_SF6_minus
