electron_energy_eV,SF4_minus_cross_section_m2,SF3_minus_cross_section_m2,SF2_minus_cross_section_m2,F2_minus_cross_section_m2,F_minus_cross_section_m2,evidence_class
1.5,,,,3.0000000000000002e-25,,suggested_dissociative_partial_anions
2.0,,,,8e-25,2.2e-24,suggested_dissociative_partial_anions
2.25,,,,7.5e-25,7.5e-24,suggested_dissociative_partial_anions
2.5,,,,6.0000000000000005e-25,1.49e-23,suggested_dissociative_partial_anions
2.75,,,,4.2e-25,1.6200000000000003e-23,suggested_dissociative_partial_anions
3.0,,,,2.6e-25,9.8e-24,suggested_dissociative_partial_anions
3.5,8.4e-25,,,2.6e-25,1.71e-23,suggested_dissociative_partial_anions
4.0,3.5000000000000004e-24,,,2.6500000000000002e-24,8.56e-23,suggested_dissociative_partial_anions
4.5,1.44e-23,,,7.07e-24,2.69e-22,suggested_dissociative_partial_anions
5.0,4.5700000000000007e-23,,,4.8900000000000005e-24,4.630000000000001e-22,suggested_dissociative_partial_anions
5.5,5.2800000000000003e-23,,,1.55e-24,4.3899999999999995e-22,suggested_dissociative_partial_anions
6.0,3.94e-23,,,3.8000000000000003e-25,2.78e-22,suggested_dissociative_partial_anions
6.5,2.5100000000000002e-23,,,1.9000000000000001e-25,1.3700000000000002e-22,suggested_dissociative_partial_anions
7.0,1.3000000000000001e-23,,,1.5000000000000001e-25,7.49e-23,suggested_dissociative_partial_anions
7.5,4.6e-24,,,1.5000000000000001e-25,6.15e-23,suggested_dissociative_partial_anions
8.0,8.4e-25,1.4e-25,,1.8e-25,9.77e-23,suggested_dissociative_partial_anions
8.5,3.2e-25,4.6e-25,,3.1e-25,1.42e-22,suggested_dissociative_partial_anions
9.0,,1.5e-24,,6.5e-25,1.5700000000000002e-22,suggested_dissociative_partial_anions
9.5,,3.3000000000000002e-24,,1.04e-24,1.39e-22,suggested_dissociative_partial_anions
10.0,,5.1e-24,,2.0000000000000002e-24,1.13e-22,suggested_dissociative_partial_anions
10.25,,5.77e-24,1.9e-26,3.08e-24,1.14e-22,suggested_dissociative_partial_anions
10.5,,6.4e-24,3.7e-26,5.03e-24,1.3100000000000002e-22,suggested_dissociative_partial_anions
11.0,,7.5e-24,1.4e-25,9.1e-24,2.1e-22,suggested_dissociative_partial_anions
11.5,,7.1e-24,4.2e-25,9.54e-24,2.35e-22,suggested_dissociative_partial_anions
12.0,,4.9e-24,7.6000000000000005e-25,6.15e-24,1.95e-22,suggested_dissociative_partial_anions
12.5,,2.6e-24,1.0600000000000001e-24,2.7400000000000003e-24,1.22e-22,suggested_dissociative_partial_anions
13.0,,1.1e-24,8.7e-25,1.1100000000000002e-24,6.290000000000001e-23,suggested_dissociative_partial_anions
13.5,,3.1e-25,4.4e-25,5.0000000000000005e-25,4.0000000000000004e-23,suggested_dissociative_partial_anions
14.0,,8e-26,1.7e-25,3.2e-25,3.4000000000000007e-23,suggested_dissociative_partial_anions
14.5,,,6.8e-26,1.8e-25,3.1e-23,suggested_dissociative_partial_anions
15.0,,,2.8e-26,1.2e-25,3e-23,suggested_dissociative_partial_anions
