electron_energy_eV,cross_section_m2,evidence_class
0.0001,7.617e-17,suggested_room_temperature_total_attachment
0.0002,5.283e-17,suggested_room_temperature_total_attachment
0.0003,4.284e-17,suggested_room_temperature_total_attachment
0.0004,3.692e-17,suggested_room_temperature_total_attachment
0.0005,3.28e-17,suggested_room_temperature_total_attachment
0.0006,2.9679999999999996e-17,suggested_room_temperature_total_attachment
0.0007,2.724e-17,suggested_room_temperature_total_attachment
0.0008,2.5289999999999997e-17,suggested_room_temperature_total_attachment
0.0009,2.369e-17,suggested_room_temperature_total_attachment
0.001,2.2369999999999997e-17,suggested_room_temperature_total_attachment
0.002,1.511e-17,suggested_room_temperature_total_attachment
0.003,1.2019999999999999e-17,suggested_room_temperature_total_attachment
0.004,9.929999999999999e-18,suggested_room_temperature_total_attachment
0.005,8.59e-18,suggested_room_temperature_total_attachment
0.006,7.6e-18,suggested_room_temperature_total_attachment
0.007,6.83e-18,suggested_room_temperature_total_attachment
0.008,6.209999999999999e-18,suggested_room_temperature_total_attachment
0.009,5.69e-18,suggested_room_temperature_total_attachment
0.01,5.26e-18,suggested_room_temperature_total_attachment
0.015,3.83e-18,suggested_room_temperature_total_attachment
0.02,3.04e-18,suggested_room_temperature_total_attachment
0.025,2.5699999999999998e-18,suggested_room_temperature_total_attachment
0.03,2.2099999999999998e-18,suggested_room_temperature_total_attachment
0.035,1.9e-18,suggested_room_temperature_total_attachment
0.04,1.71e-18,suggested_room_temperature_total_attachment
0.045,1.49e-18,suggested_room_temperature_total_attachment
0.05,1.32e-18,suggested_room_temperature_total_attachment
0.06,1.09e-18,suggested_room_temperature_total_attachment
0.07,9.27e-19,suggested_room_temperature_total_attachment
0.08,8.29e-19,suggested_room_temperature_total_attachment
0.09,7.429999999999999e-19,suggested_room_temperature_total_attachment
0.1,5.139999999999999e-19,suggested_room_temperature_total_attachment
0.12,3.2899999999999994e-19,suggested_room_temperature_total_attachment
0.14,2.02e-19,suggested_room_temperature_total_attachment
0.15,1.6699999999999998e-19,suggested_room_temperature_total_attachment
0.16,1.31e-19,suggested_room_temperature_total_attachment
0.18,8.72e-20,suggested_room_temperature_total_attachment
0.2,6.01e-20,suggested_room_temperature_total_attachment
0.22,4.6900000000000004e-20,suggested_room_temperature_total_attachment
0.25,4.38e-20,suggested_room_temperature_total_attachment
0.28,4.4e-20,suggested_room_temperature_total_attachment
0.3,4.4e-20,suggested_room_temperature_total_attachment
0.35,4.12e-20,suggested_room_temperature_total_attachment
0.4,3.46e-20,suggested_room_temperature_total_attachment
0.45,2.75e-20,suggested_room_temperature_total_attachment
0.5,2.1499999999999998e-20,suggested_room_temperature_total_attachment
0.6,1.25e-20,suggested_room_temperature_total_attachment
0.7,7.22e-21,suggested_room_temperature_total_attachment
0.8,4.159999999999999e-21,suggested_room_temperature_total_attachment
0.9,2.4499999999999997e-21,suggested_room_temperature_total_attachment
1.0,1.4699999999999997e-21,suggested_room_temperature_total_attachment
1.2,6e-22,suggested_room_temperature_total_attachment
1.5,1.9999999999999999e-22,suggested_room_temperature_total_attachment
2.0,4.3e-23,suggested_room_temperature_total_attachment
2.25,2e-23,suggested_room_temperature_total_attachment
2.5,1.8999999999999998e-23,suggested_room_temperature_total_attachment
2.75,1.6999999999999997e-23,suggested_room_temperature_total_attachment
3.0,1e-23,suggested_room_temperature_total_attachment
3.5,1.8e-23,suggested_room_temperature_total_attachment
4.0,9.199999999999999e-23,suggested_room_temperature_total_attachment
4.5,2.9e-22,suggested_room_temperature_total_attachment
5.0,5.14e-22,suggested_room_temperature_total_attachment
5.5,4.93e-22,suggested_room_temperature_total_attachment
6.0,3.17e-22,suggested_room_temperature_total_attachment
6.5,1.6199999999999998e-22,suggested_room_temperature_total_attachment
7.0,8.8e-23,suggested_room_temperature_total_attachment
7.5,6.599999999999999e-23,suggested_room_temperature_total_attachment
8.0,9.9e-23,suggested_room_temperature_total_attachment
8.5,1.43e-22,suggested_room_temperature_total_attachment
9.0,1.59e-22,suggested_room_temperature_total_attachment
9.5,1.44e-22,suggested_room_temperature_total_attachment
10.0,1.2e-22,suggested_room_temperature_total_attachment
10.5,1.42e-22,suggested_room_temperature_total_attachment
11.0,2.27e-22,suggested_room_temperature_total_attachment
11.5,2.52e-22,suggested_room_temperature_total_attachment
12.0,2.06e-22,suggested_room_temperature_total_attachment
12.5,1.28e-22,suggested_room_temperature_total_attachment
13.0,6.599999999999999e-23,suggested_room_temperature_total_attachment
13.5,4.1e-23,suggested_room_temperature_total_attachment
14.0,3.5e-23,suggested_room_temperature_total_attachment
14.5,3.1e-23,suggested_room_temperature_total_attachment
15.0,3e-23,suggested_room_temperature_total_attachment
