reduced_electric_field_Td,effective_ionization_coefficient_m2,evidence_class
200,-5.53e-21,recommended_swarm_fit
250,-3.28e-21,recommended_swarm_fit
300,-1.6100000000000001e-21,recommended_swarm_fit
350,-2.4300000000000005e-22,recommended_swarm_fit
400,1.0900000000000001e-21,recommended_swarm_fit
450,2.58e-21,recommended_swarm_fit
500,3.93e-21,recommended_swarm_fit
550,5.1900000000000005e-21,recommended_swarm_fit
600,6.38e-21,recommended_swarm_fit
650,7.52e-21,recommended_swarm_fit
700,8.7e-21,recommended_swarm_fit
750,9.880000000000001e-21,recommended_swarm_fit
800,1.1000000000000001e-20,recommended_swarm_fit
850,1.22e-20,recommended_swarm_fit
900,1.32e-20,recommended_swarm_fit
950,1.43e-20,recommended_swarm_fit
1000,1.54e-20,recommended_swarm_fit
1250,2.04e-20,recommended_swarm_fit
1500,2.5000000000000002e-20,recommended_swarm_fit
2000,3.38e-20,recommended_swarm_fit
2500,4.1300000000000005e-20,recommended_swarm_fit
3000,4.7800000000000004e-20,recommended_swarm_fit
3500,5.3100000000000005e-20,recommended_swarm_fit
4000,5.78e-20,recommended_swarm_fit
