reduced_electric_field_Td,drift_velocity_m_s,recommendation_class,gas_temperature_K
0,0.0,deduced,293-300
25,41000.0,deduced,293-300
50,68000.0,deduced,293-300
100,102000.0,deduced,293-300
150,121000.0,deduced,293-300
200,135000.0,deduced,293-300
250,156000.0,deduced,293-300
275,170000.0,recommended,293-300
300,183000.0,recommended,293-300
350,205000.0,recommended,293-300
400,226000.0,recommended,293-300
450,246000.0,recommended,293-300
500,264000.0,recommended,293-300
550,282000.0,recommended,293-300
600,300000.0,recommended,293-300
650,317000.0,recommended,293-300
700,334000.0,recommended,293-300
750,351000.0,recommended,293-300
800,368000.0,recommended,293-300
850,385000.0,recommended,293-300
900,401000.0,recommended,293-300
950,418000.0,recommended,293-300
1000,434000.0,recommended,293-300
1500,583000.0,suggested,293-300
2000,717000.0,suggested,293-300
2500,839000.0,suggested,293-300
3000,954000.0,suggested,293-300
3500,1063000.0,suggested,293-300
4000,1168000.0,suggested,293-300
