reduced_electric_field_Td,attachment_rate_coefficient_m3_s,evidence_class
100,8.87e-16,assessed_from_eta_over_n_times_drift
150,7.020000000000001e-16,assessed_from_eta_over_n_times_drift
200,6.32e-16,assessed_from_eta_over_n_times_drift
250,6.26e-16,assessed_from_eta_over_n_times_drift
300,6.37e-16,assessed_from_eta_over_n_times_drift
350,6.480000000000001e-16,assessed_from_eta_over_n_times_drift
400,4.4000000000000005e-16,assessed_from_eta_over_n_times_drift
450,6.470000000000001e-16,assessed_from_eta_over_n_times_drift
500,6.470000000000001e-16,assessed_from_eta_over_n_times_drift
550,6.37e-16,assessed_from_eta_over_n_times_drift
600,6.21e-16,assessed_from_eta_over_n_times_drift
650,5.9e-16,assessed_from_eta_over_n_times_drift
