electron_energy_eV,cross_section_m2,evidence_class
0.035,3.798e-18,recommended_total_scattering
0.04,3.447e-18,recommended_total_scattering
0.045,3.153e-18,recommended_total_scattering
0.05,2.9010000000000002e-18,recommended_total_scattering
0.06,2.494e-18,recommended_total_scattering
0.07,2.176e-18,recommended_total_scattering
0.08,1.927e-18,recommended_total_scattering
0.09,1.7309999999999999e-18,recommended_total_scattering
0.1,1.574e-18,recommended_total_scattering
0.15,1.095e-18,recommended_total_scattering
0.2,8.43e-19,recommended_total_scattering
0.25,6.87e-19,recommended_total_scattering
0.3,5.81e-19,recommended_total_scattering
0.35,5.04e-19,recommended_total_scattering
0.4,4.46e-19,recommended_total_scattering
0.45,4.0299999999999995e-19,recommended_total_scattering
0.5,3.72e-19,recommended_total_scattering
0.6,3.2799999999999996e-19,recommended_total_scattering
0.7,2.94e-19,recommended_total_scattering
0.8,2.68e-19,recommended_total_scattering
0.9,2.49e-19,recommended_total_scattering
1.0,2.3399999999999997e-19,recommended_total_scattering
1.5,2.22e-19,recommended_total_scattering
2.0,2.28e-19,recommended_total_scattering
2.5,2.3399999999999997e-19,recommended_total_scattering
3.0,2.31e-19,recommended_total_scattering
3.5,2.27e-19,recommended_total_scattering
4.0,2.2399999999999997e-19,recommended_total_scattering
4.5,2.26e-19,recommended_total_scattering
5.0,2.3699999999999997e-19,recommended_total_scattering
6.0,2.8e-19,recommended_total_scattering
7.0,3.07e-19,recommended_total_scattering
8.0,2.9199999999999997e-19,recommended_total_scattering
9.0,2.76e-19,recommended_total_scattering
10.0,2.73e-19,recommended_total_scattering
11.0,2.96e-19,recommended_total_scattering
12.0,3.2899999999999994e-19,recommended_total_scattering
13.0,2.8899999999999996e-19,recommended_total_scattering
14.0,2.66e-19,recommended_total_scattering
15.0,2.6399999999999995e-19,recommended_total_scattering
18.0,2.6699999999999996e-19,recommended_total_scattering
20.0,2.76e-19,recommended_total_scattering
22.0,2.87e-19,recommended_total_scattering
25.0,2.94e-19,recommended_total_scattering
30.0,2.94e-19,recommended_total_scattering
35.0,2.93e-19,recommended_total_scattering
40.0,2.93e-19,recommended_total_scattering
45.0,2.93e-19,recommended_total_scattering
50.0,2.93e-19,recommended_total_scattering
60.0,2.88e-19,recommended_total_scattering
70.0,2.8199999999999997e-19,recommended_total_scattering
80.0,2.72e-19,recommended_total_scattering
90.0,2.65e-19,recommended_total_scattering
100.0,2.58e-19,recommended_total_scattering
150.0,2.27e-19,recommended_total_scattering
200.0,2.02e-19,recommended_total_scattering
250.0,1.7999999999999998e-19,recommended_total_scattering
300.0,1.63e-19,recommended_total_scattering
350.0,1.5099999999999998e-19,recommended_total_scattering
400.0,1.4099999999999999e-19,recommended_total_scattering
450.0,1.31e-19,recommended_total_scattering
500.0,1.24e-19,recommended_total_scattering
600.0,1.1199999999999999e-19,recommended_total_scattering
700.0,1.0199999999999999e-19,recommended_total_scattering
800.0,9.41e-20,recommended_total_scattering
900.0,8.73e-20,recommended_total_scattering
1000.0,8.15e-20,recommended_total_scattering
1500.0,6.07e-20,recommended_total_scattering
2000.0,4.8e-20,recommended_total_scattering
2500.0,3.9399999999999996e-20,recommended_total_scattering
3000.0,3.3599999999999996e-20,recommended_total_scattering
3500.0,2.95e-20,recommended_total_scattering
4000.0,2.64e-20,recommended_total_scattering
