target_neutral,product_ion,electron_energy_eV,cross_section_m2,relative_uncertainty,evidence_class
CF3,CF3+,10,1.5e-22,0.18,measured_parent_ionization
CF3,CF3+,11,2.9e-22,0.18,measured_parent_ionization
CF3,CF3+,12,4.1e-22,0.18,measured_parent_ionization
CF3,CF3+,13,6e-22,0.18,measured_parent_ionization
CF3,CF3+,14,9.9e-22,0.18,measured_parent_ionization
CF3,CF3+,15,1.11e-21,0.18,measured_parent_ionization
CF3,CF3+,16,1.4499999999999998e-21,0.18,measured_parent_ionization
CF3,CF3+,17,1.5699999999999999e-21,0.18,measured_parent_ionization
CF3,CF3+,18,1.67e-21,0.18,measured_parent_ionization
CF3,CF3+,19,1.9399999999999998e-21,0.18,measured_parent_ionization
CF3,CF3+,20,2.0399999999999997e-21,0.18,measured_parent_ionization
CF3,CF3+,22,2.7e-21,0.18,measured_parent_ionization
CF3,CF3+,24,3.03e-21,0.18,measured_parent_ionization
CF3,CF3+,26,3.15e-21,0.18,measured_parent_ionization
CF3,CF3+,28,3.1999999999999998e-21,0.18,measured_parent_ionization
CF3,CF3+,30,3.25e-21,0.18,measured_parent_ionization
CF3,CF3+,32,3.29e-21,0.18,measured_parent_ionization
CF3,CF3+,34,3.35e-21,0.18,measured_parent_ionization
CF3,CF3+,36,3.38e-21,0.18,measured_parent_ionization
CF3,CF3+,38,3.459999999999999e-21,0.18,measured_parent_ionization
CF3,CF3+,40,3.4999999999999996e-21,0.18,measured_parent_ionization
CF3,CF3+,45,3.5799999999999994e-21,0.18,measured_parent_ionization
CF3,CF3+,50,3.6e-21,0.18,measured_parent_ionization
CF3,CF3+,55,3.72e-21,0.18,measured_parent_ionization
CF3,CF3+,60,3.74e-21,0.18,measured_parent_ionization
CF3,CF3+,65,3.8e-21,0.18,measured_parent_ionization
CF3,CF3+,70,3.7599999999999995e-21,0.18,measured_parent_ionization
CF3,CF3+,80,3.68e-21,0.18,measured_parent_ionization
CF3,CF3+,90,3.65e-21,0.18,measured_parent_ionization
CF3,CF3+,100,3.4999999999999996e-21,0.18,measured_parent_ionization
CF3,CF3+,120,3.42e-21,0.18,measured_parent_ionization
