target_neutral,product_ion,neutral_coproduct,electron_energy_eV,cross_section_m2,relative_uncertainty,evidence_class
CF3,CF2+,F,18,6e-22,0.2,measured_dissociative_ionization
CF3,CF2+,F,19,1.2e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,20,1.7e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,22,2.5e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,24,3.1e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,26,3.4e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,28,4e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,30,4.8999999999999994e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,32,5.3e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,34,5.6e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,36,5.8999999999999995e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,38,6.0999999999999994e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,40,6.3e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,45,6.5e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,50,6.7e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,55,7.1e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,60,7.2e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,65,7.399999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,70,7.6e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,80,7.9e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,90,7.8e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,100,7.8e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,120,7.8e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,140,7.7e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,160,7.6e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,180,7.399999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF2+,F,200,7.3e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,22,3.9999999999999997e-22,0.2,measured_dissociative_ionization
CF3,CF+,2F,24,1e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,26,1.5e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,28,2e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,30,2.5999999999999998e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,32,3.1e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,34,3.4e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,36,3.6e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,38,3.6999999999999995e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,40,4e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,45,4.5e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,50,5.3e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,55,5.799999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,60,6.2e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,65,6.5e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,70,6.8e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,80,6.999999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,90,7.2e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,100,7.3e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,120,7.499999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,140,7.7e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,160,7.6e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,180,7.399999999999999e-21,0.2,measured_dissociative_ionization
CF3,CF+,2F,200,7.2e-21,0.2,measured_dissociative_ionization
CF3,F+,CF2,70,3.5e-21,0.3,single_energy_anchor_not_curve
