series_time_min,mask_opening_um,etch_depth_um,marker_pixel_x,marker_pixel_y,x_axis_slope_um_per_pixel,x_axis_intercept_um,y_axis_slope_um_per_pixel,y_axis_intercept_um,digitization_uncertainty_x_um,digitization_uncertainty_y_um,measurement_uncertainty_um,measurement_uncertainty_semantics,evidence_type,split,role,source_figure,source_pdf_sha256,source_image_sha256,source_location
5.5,7.194861,16.362407,199.5,640.5,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
5.5,12.740899,16.430020,236.5,640.0,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
5.5,22.633833,17.173766,302.5,634.5,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
5.5,58.608137,16.768087,542.5,637.5,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
5.5,115.866702,17.444219,924.5,632.5,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,boundary_input,open_rate_anchor,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
12.5,2.847966,31.980392,170.5,525.0,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,calibration,sticking_calibration,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
12.5,6.745182,37.389723,196.5,485.0,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
12.5,11.841542,40.838404,230.5,459.5,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
12.5,23.683084,43.746450,309.5,438.0,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
12.5,53.286938,45.503719,507.0,425.0,0.14989293361884368,-22.708779443254816,-0.1352265043948614,102.97498309668696,0.30,0.50,,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,Fig. 9,45c245a9b19671f532945155dc16c3e00d35464eb8e49480a09f90a90498ff6c,0f78ae30e5cc2e128f4fdb84217551fe350bd7696966c6ea40233f70a9a765c4,https://ris.utwente.nl/ws/files/6683265/guidelines-etching-boer.pdf
