panel,quantity,chemistry,specimen,plasma_mode,source_power_on_percent,bias_power_on_percent,value,units,experimental_error_low,experimental_error_high,marker_center_x_crop_px,marker_center_y_crop_px,marker_center_x_full_page_px,marker_center_y_full_page_px,marker,digitization_absolute_bound
a,tio2_etch_rate,C4F8/SF6/Ar,blank,CW,100,100,101.142857,nm/min,,,653.0,240.0,803.0,440.0,filled_square,0.816326531
a,tio2_etch_rate,C4F8/SF6/Ar,blank,S30_B70,30,70,49.3877551,nm/min,,,960.0,557.0,1110.0,757.0,filled_square,0.816326531
a,tio2_etch_rate,C4F8/SF6/Ar,blank,S70_B30,70,30,42.3673469,nm/min,,,1266.0,600.0,1416.0,800.0,filled_square,0.816326531
a,tio2_etch_rate,C4F8/SF6/Ar,P1,CW,100,100,96.0816327,nm/min,,,653.0,271.0,803.0,471.0,filled_circle,0.816326531
a,tio2_etch_rate,C4F8/SF6/Ar,P1,S30_B70,30,70,44.6530612,nm/min,,,960.0,586.0,1110.0,786.0,filled_circle,0.816326531
a,tio2_etch_rate,C4F8/SF6/Ar,P1,S70_B30,70,30,37.1428571,nm/min,,,1266.0,632.0,1416.0,832.0,filled_circle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,blank,CW,100,100,60.3265306,nm/min,,,653.0,490.0,803.0,690.0,filled_up_triangle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,blank,S30_B70,30,70,22.9387755,nm/min,,,960.0,719.0,1110.0,919.0,filled_up_triangle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,blank,S70_B30,70,30,18.5306122,nm/min,,,1266.0,746.0,1416.0,946.0,filled_up_triangle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,P1,CW,100,100,55.755102,nm/min,,,653.0,518.0,803.0,718.0,filled_down_triangle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,P1,S30_B70,30,70,16.244898,nm/min,,,960.0,760.0,1110.0,960.0,filled_down_triangle,0.816326531
a,tio2_etch_rate,BCl3/CF4/Ar,P1,S70_B30,70,30,12.6530612,nm/min,,,1266.0,782.0,1416.0,982.0,filled_down_triangle,0.816326531
b,acl_etch_rate,C4F8/SF6/Ar,blank,CW,100,100,73.414966,nm/min,,,1957.0,185.0,2107.0,385.0,filled_square,0.544217687
b,acl_etch_rate,C4F8/SF6/Ar,blank,S30_B70,30,70,14.9659864,nm/min,,,2262.0,722.0,2412.0,922.0,filled_square,0.544217687
b,acl_etch_rate,C4F8/SF6/Ar,blank,S70_B30,70,30,10.6122449,nm/min,,,2568.0,762.0,2718.0,962.0,filled_square,0.544217687
b,acl_etch_rate,C4F8/SF6/Ar,P1,CW,100,100,67.8639456,nm/min,,,1957.0,236.0,2107.0,436.0,filled_circle,0.544217687
b,acl_etch_rate,C4F8/SF6/Ar,P1,S30_B70,30,70,11.1564626,nm/min,,,2262.0,757.0,2412.0,957.0,filled_circle,0.544217687
b,acl_etch_rate,C4F8/SF6/Ar,P1,S70_B30,70,30,7.67346939,nm/min,,,2568.0,789.0,2718.0,989.0,filled_circle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,blank,CW,100,100,18.5578231,nm/min,,,1957.0,689.0,2107.0,889.0,filled_up_triangle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,blank,S30_B70,30,70,6.91156463,nm/min,,,2262.0,796.0,2412.0,996.0,filled_up_triangle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,blank,S70_B30,70,30,3.97278912,nm/min,,,2568.0,823.0,2718.0,1023.0,filled_up_triangle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,P1,CW,100,100,15.1836735,nm/min,,,1957.0,720.0,2107.0,920.0,filled_down_triangle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,P1,S30_B70,30,70,5.49659864,nm/min,,,2262.0,809.0,2412.0,1009.0,filled_down_triangle,0.544217687
b,acl_etch_rate,BCl3/CF4/Ar,P1,S70_B30,70,30,4.5170068,nm/min,,,2568.0,818.0,2718.0,1018.0,filled_down_triangle,0.544217687
c,tio2_acl_selectivity,C4F8/SF6/Ar,blank,CW,100,100,1.7311609,dimensionless,,,653.0,1847.0,803.0,2047.0,filled_square,0.101832994
c,tio2_acl_selectivity,C4F8/SF6/Ar,blank,S30_B70,30,70,5.09164969,dimensionless,,,960.0,1682.0,1110.0,1882.0,filled_square,0.101832994
c,tio2_acl_selectivity,C4F8/SF6/Ar,blank,S70_B30,70,30,6.88391039,dimensionless,,,1266.0,1594.0,1416.0,1794.0,filled_square,0.101832994
c,tio2_acl_selectivity,C4F8/SF6/Ar,P1,CW,100,100,1.52749491,dimensionless,,,653.0,1857.0,803.0,2057.0,filled_circle,0.101832994
c,tio2_acl_selectivity,C4F8/SF6/Ar,P1,S30_B70,30,70,3.97148676,dimensionless,,,960.0,1737.0,1110.0,1937.0,filled_circle,0.101832994
c,tio2_acl_selectivity,C4F8/SF6/Ar,P1,S70_B30,70,30,5.82484725,dimensionless,,,1266.0,1646.0,1416.0,1846.0,filled_circle,0.101832994
c,tio2_acl_selectivity,BCl3/CF4/Ar,blank,CW,100,100,5.11201629,dimensionless,,,653.0,1681.0,803.0,1881.0,filled_up_triangle,0.101832994
