source_slide,source_panel,boundary_condition,quantity,cf2_fluence_1e15_cm2,digitized_value,digitization_uncertainty,marker_center_x_px,marker_center_y_px,trace_color,evidence_grade,source_image_sha256
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,201.031,4.726368,0.200000,234,318,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,402.062,6.218905,0.200000,273,288,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,597.938,6.467662,0.200000,311,283,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,798.969,7.164179,0.200000,350,269,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,1000.000,7.960199,0.200000,389,253,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_F_uptake_ML,1201.031,8.258706,0.200000,428,247,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,201.031,2.338308,0.200000,234,366,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,402.062,3.233831,0.200000,273,348,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,597.938,3.681592,0.200000,311,339,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,798.969,4.278607,0.200000,350,327,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,1000.000,4.776119,0.200000,389,317,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,20_eV_surface_state,CF2/Ar+=9/1; normal 20 eV Ar+; Si,surface_C_uptake_ML,1201.031,5.124378,0.200000,428,310,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,200.000,5.533981,0.400000,243,648,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,400.000,6.699029,0.400000,291,636,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,600.000,6.699029,0.400000,339,636,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,800.000,6.796117,0.400000,387,635,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_F_uptake_ML,1000.000,7.281553,0.400000,435,630,magenta,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,200.000,6.796117,0.400000,243,635,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,400.000,10.679612,0.400000,291,595,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,600.000,13.495146,0.400000,339,566,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,800.000,15.242718,0.400000,387,548,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,surface_C_uptake_ML,1000.000,16.796117,0.400000,435,532,blue,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,200.000,5.436893,0.500000,243,649,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,400.000,9.320388,0.500000,291,609,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,600.000,11.941748,0.500000,339,582,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,800.000,13.689320,0.500000,387,564,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_surface_state,CF2/Ar+=9/1; normal 200 eV Ar+; Si,cumulative_Si_etch_ML,1000.000,14.854369,0.500000,435,552,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,198.649,0.163229,0.006000,669,524,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,401.351,0.117489,0.006000,719,575,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,600.000,0.078924,0.006000,768,618,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
slide20,200_eV_etch_yield,CF2/Ar+=9/1; normal 200 eV Ar+; Si,Si_etch_yield_per_ion,798.649,0.055605,0.006000,817,644,black,primary_author_seminar_not_peer_reviewed,20ee4c5c2b9b0f9e522343073d10cbca800a33806e694c93a11607b2985ace1c
