point_id,series_label,pixel_x,pixel_y,notch_depth_um,height_above_oxide_um,x_axis_slope_um_per_pixel,x_axis_intercept_um,y_axis_slope_um_per_pixel,y_axis_intercept_um,digitization_uncertainty_um,measurement_uncertainty_um,measurement_uncertainty_semantics,source_pdf_sha256,source_pdf_page,source_print_page,source_figure,source_page_image_sha256,source_crop_sha256,evidence_type,source_location
fig13_exp_01,open circles (Nozawa experiment),790.0,604.0,0.017206478,0.300000000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_02,open circles (Nozawa experiment),797.7,689.5,0.021103239,0.257250000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_03,open circles (Nozawa experiment),808.5,755.2,0.026568826,0.224400000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_04,open circles (Nozawa experiment),819.9,800.2,0.032338057,0.201900000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_05,open circles (Nozawa experiment),841.2,857.2,0.043117409,0.173400000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_06,open circles (Nozawa experiment),859.1,932.4,0.052176113,0.135800000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_07,open circles (Nozawa experiment),875.0,956.0,0.060222672,0.124000000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_08,open circles (Nozawa experiment),899.0,989.1,0.072368421,0.107450000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_09,open circles (Nozawa experiment),927.5,995.1,0.086791498,0.104450000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_10,open circles (Nozawa experiment),948.0,1009.5,0.097165992,0.097250000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_11,open circles (Nozawa experiment),972.3,1026.6,0.109463563,0.088700000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_12,open circles (Nozawa experiment),988.1,1050.5,0.117459514,0.076750000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_13,open circles (Nozawa experiment),1009.5,1059.1,0.128289474,0.072450000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_14,open circles (Nozawa experiment),1032.0,1062.8,0.139676113,0.070600000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_15,open circles (Nozawa experiment),1053.1,1068.4,0.150354251,0.067800000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_16,open circles (Nozawa experiment),1074.6,1072.6,0.161234818,0.065700000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
fig13_exp_17,open circles (Nozawa experiment),1097.5,1076.6,0.172823887,0.063700000,0.000506072874494,-0.382591093117,-0.000500000000000,0.602000000000,0.005,,not_reported,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,12,81,Fig. 13,94e76479f33c754d43332067bb332cc0f7bdb473407efd18d0b23f12347350b3,abe6d851259c4b6f27bb8632ddfa86dd7127e586373462509ffa182fcaf82167,experiment_digitized,Hwang & Giapis 1997 Fig. 13 open-circle profile
