normal_energy_lower_eV,normal_energy_upper_eV,probability_mass,digitized_curve_height_px,source_pdf_sha256,source_pdf_page,source_figure
0.0,1.0,0.000762103731139,5.9825,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
1.0,2.0,0.00409605543113,32.1539583,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
2.0,3.0,0.0125082570526,98.1895833,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
3.0,4.0,0.0243085506308,190.821667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
4.0,5.0,0.0351923876676,276.259583,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
5.0,6.0,0.0414238781356,325.176667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
6.0,7.0,0.0422708546809,331.825417,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
7.0,8.0,0.0391387877519,307.23875,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
8.0,9.0,0.0341569817975,268.131667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
9.0,10.0,0.0292822355467,229.865,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
10.0,11.0,0.0247315877347,194.1425,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
11.0,12.0,0.0206913445388,162.426667,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
12.0,13.0,0.0178124363885,139.827292,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
13.0,14.0,0.016057495891,126.051042,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
14.0,15.0,0.0149183211956,117.108542,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
15.0,16.0,0.0137900010908,108.25125,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
16.0,17.0,0.0129840809068,101.924792,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
17.0,18.0,0.012444642251,97.6902083,30a6871d6416f27e8dbbb45e9eabbca79cddf7632872f8ed185a9e193832f63d,4,Fig. 4(a)
