species,energy_eV,yield_sio2_per_ion,plotted_lower_yield,plotted_upper_yield,marker_center_x_px,marker_center_y_px,upper_cap_y_px,lower_cap_y_px,marker,digitization_yield_uncertainty
F+,500,0.2274,0.1788,0.2746,1194.0,1444.5,1428.0,1461.5,down_triangle,0.011
F+,1000,0.3232,0.2689,0.3747,1419.0,1411.0,1393.0,1430.0,down_triangle,0.011
F+,1500,0.3304,0.2689,0.3919,1640.0,1408.5,1387.0,1430.0,down_triangle,0.011
F+,2000,0.4362,0.3647,0.5077,1862.5,1371.5,1346.5,1396.5,down_triangle,0.011
CF+,750,0.5006,0.4319,0.5664,1304.5,1349.0,1326.0,1373.0,up_triangle,0.011
CF+,1000,0.6751,0.5549,0.7437,1415.0,1288.0,1264.0,1330.0,up_triangle,0.011
CF+,1250,0.6751,0.5749,0.7551,1529.5,1288.0,1260.0,1323.0,up_triangle,0.011
CF+,1500,0.6851,0.5463,0.8238,1639.0,1284.5,1236.0,1333.0,up_triangle,0.011
CF+,2000,0.7523,0.6493,0.8524,1861.5,1261.0,1226.0,1297.0,up_triangle,0.011
CF2+,500,0.5392,0.4691,0.6078,1195.0,1335.5,1311.5,1360.0,square,0.011
CF2+,750,0.9682,0.8324,1.0469,1305.5,1185.5,1158.0,1233.0,square,0.011
CF2+,1000,1.1957,1.0641,1.3287,1416.0,1106.0,1059.5,1152.0,square,0.011
CF2+,1500,1.2457,1.0984,1.3902,1638.5,1088.5,1038.0,1140.0,square,0.011
CF2+,2000,1.2800,1.1256,1.4359,1858.0,1076.5,1022.0,1130.5,square,0.011
CF3+,250,0.5206,0.4491,0.5864,1083.0,1342.0,1319.0,1367.0,circle,0.011
CF3+,500,0.8638,0.7580,0.9697,1194.5,1222.0,1185.0,1259.0,circle,0.011
CF3+,750,1.1828,1.0469,1.3229,1305.0,1110.5,1061.5,1158.0,circle,0.011
CF3+,1000,1.4703,1.3287,1.6190,1416.0,1010.0,958.0,1059.5,circle,0.011
CF3+,1250,1.5847,1.4159,1.7606,1527.5,970.0,908.5,1029.0,circle,0.011
CF3+,1500,1.8736,1.6962,2.0709,1636.5,869.0,800.0,931.0,circle,0.011
CF3+,2000,1.7549,1.5761,1.9394,1860.0,910.5,846.0,973.0,circle,0.011
