species,angle_deg_from_normal,yield_sio2_per_ion,marker_center_x_crop_px,marker_center_y_crop_px,marker,digitization_yield_uncertainty,ion_energy_eV,ion_energy_status
CF+,0,0.6705,348.5,729.5,diamond,0.015,,not_reported_by_source
CF+,30,0.8406,712.0,662.5,diamond,0.015,,not_reported_by_source
CF+,45,1.1340,894.5,547.0,diamond,0.015,,not_reported_by_source
CF+,60,1.5098,1059.0,399.0,diamond,0.015,,not_reported_by_source
CF+,75,1.0438,1241.0,582.5,diamond,0.015,,not_reported_by_source
CF2+,0,1.1695,349.0,533.0,up_triangle,0.015,,not_reported_by_source
CF2+,30,1.2229,711.5,512.0,up_triangle,0.015,,not_reported_by_source
CF2+,45,1.3054,894.0,479.5,up_triangle,0.015,,not_reported_by_source
CF2+,60,1.5505,1059.0,383.0,up_triangle,0.015,,not_reported_by_source
CF2+,75,0.9244,1241.0,629.5,up_triangle,0.015,,not_reported_by_source
CF3+,0,1.4705,347.5,414.5,circle,0.015,,not_reported_by_source
CF3+,30,1.6368,712.0,349.0,circle,0.015,,not_reported_by_source
CF3+,45,1.5937,878.0,366.0,circle,0.015,,not_reported_by_source
CF3+,60,1.8895,1059.0,249.5,circle,0.015,,not_reported_by_source
CF3+,75,1.1352,1240.5,546.5,circle,0.015,,not_reported_by_source
Ar+,0,0.5092,348.0,793.0,square,0.015,,not_reported_by_source
Ar+,30,0.7962,712.0,680.0,square,0.015,,not_reported_by_source
Ar+,50,1.0146,941.5,594.0,square,0.015,,not_reported_by_source
Ar+,60,1.8527,1059.0,264.0,square,0.015,,not_reported_by_source
Ar+,75,1.8895,1239.0,249.5,square,0.015,,not_reported_by_source
