oxygen_to_fluorocarbon_ratio,species,flux_cm2_s,figure_digitized_flux_cm2_s,selected_value_source,digitization_lower_cm2_s,digitization_upper_cm2_s
0.5,CF2,1.4522662374354877e+17,1.4522662374354877e+17,figure_16a_trace,1.4189617723633376e+17,1.4863523919198157e+17
0.5,C3F4,1.0741480643680789e+17,1.0741480643680789e+17,figure_16a_trace,1.0495148905257701e+17,1.0993594036647635e+17
0.5,C2F3,8.226126383847107e+16,8.226126383847107e+16,figure_16a_trace,8.037478647111373e+16,8.419201873381771e+16
0.5,CF,4.552699322912385e+16,4.552699322912385e+16,figure_16a_trace,4.448293387089153e+16,4.659555771434922e+16
0.5,O,4.1e+16,4.396991749183766e+16,article_text,4.1e+16,4.5001935837824344e+16
0.5,ions,9620716656608626.0,9620716656608626.0,figure_16a_trace,9400087123538342.0,9846524587519596.0
0.5,CF3,1.093006951828516e+16,1.093006951828516e+16,figure_16a_trace,1.0679412917501884e+16,1.1186609282497228e+16
1.0,CF2,1.278293972142818e+17,1.278293972142818e+17,figure_16a_trace,1.248979170318086e+17,1.308296821956216e+17
1.0,C3F4,9.34567937617068e+16,9.34567937617068e+16,figure_16a_trace,9.131357205527355e+16,9.565031904492072e+16
1.0,C2F3,7.410634997617314e+16,7.410634997617314e+16,figure_16a_trace,7.240688724627787e+16,7.584570081174589e+16
1.0,CF,4.14922309996012e+16,4.14922309996012e+16,figure_16a_trace,4.054069985298995e+16,4.246609554268204e+16
1.0,O,7.074639787792685e+16,7.074639787792685e+16,figure_16a_trace,6.912398810458768e+16,7.240688724627787e+16
1.0,ions,9732965792031520.0,9732965792031520.0,figure_16a_trace,9509762077097300.0,9961408323453150.0
1.0,CF3,9509762077097300.0,9509762077097300.0,figure_16a_trace,9291677038158104.0,9732965792031520.0
1.5,CF2,1.2932083905079838e+17,1.2932083905079838e+17,figure_16a_trace,1.2635515599885643e+17,1.3235612967747611e+17
1.5,C3F4,9.34567937617068e+16,9.34567937617068e+16,figure_16a_trace,9.131357205527355e+16,9.565031904492072e+16
1.5,C2F3,7.157182723828841e+16,7.157182723828841e+16,figure_16a_trace,6.9930488096081544e+16,7.325169026690083e+16
1.5,CF,4.2220507192563704e+16,4.2220507192563704e+16,figure_16a_trace,4.125227466682087e+16,4.321146511300241e+16
1.5,O,1.0617600426573518e+17,1.0617600426573518e+17,figure_16a_trace,1.0374109602755e+17,1.0866806225802277e+17
1.5,ions,1.1057595449806834e+16,1.1057595449806834e+16,figure_16a_trace,1.0804014328145306e+16,1.1317128376354032e+16
1.5,CF3,9732965792031520.0,9732965792031520.0,figure_16a_trace,9509762077097300.0,9961408323453150.0
2.5,CF2,1.2635515599885643e+17,1.2635515599885643e+17,figure_16a_trace,1.2345748422823048e+17,1.2932083905079838e+17
2.5,C3F4,8.717345142965746e+16,8.717345142965746e+16,figure_16a_trace,8.517432407027976e+16,8.921950032604408e+16
2.5,C2F3,6.753878465625645e+16,6.753878465625645e+16,figure_16a_trace,6.598993428941751e+16,6.912398810458768e+16
2.5,CF,4.054069985298995e+16,4.054069985298995e+16,figure_16a_trace,3.961098993654987e+16,4.14922309996012e+16
2.5,O,1.5e+17,1.3704316413097854e+17,article_text,1.3390038689390776e+17,1.5e+17
2.5,ions,1.1449170293921938e+16,1.1449170293921938e+16,figure_16a_trace,1.1186609282497228e+16,1.1717893877309204e+16
2.5,CF3,9237941755823476.0,9237941755823476.0,figure_16a_trace,9026090305576534.0,9454765573446840.0
