process_label,kind,target,product,energy_loss_eV,electron_number_change,energy_eV,cross_section_m2,source_energy_column_zero_based,source_cross_section_column_zero_based,evidence_class
MOM,MOMENTUM,CHF3,CHF3,,0,0.01,2.135e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01069,2.009e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01142,1.877e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01221,1.738e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01305,1.629e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01394,1.521e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.0149,1.403e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01592,1.306e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01702,1.216e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01819,1.117e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.01944,1.024e-17,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.02077,9.377e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.0222,8.56e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.02373,7.797e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.02536,7.084e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.0271,6.418e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.02896,5.796e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.03095,5.216e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.03308,4.679e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.03536,4.179e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.03779,3.709e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.04038,3.273e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.04316,2.865e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.04612,2.452e-18,0,1,swarm_regressed_working_set
MOM,MOMENTUM,CHF3,CHF3,,0,0.04929,2.094e-18,0,1,swarm_regressed_working_set
