reduced_electric_field_Td,drift_velocity_m_s,marker_center_x_full_page_px,marker_center_y_full_page_px,marker,field_digitization_relative_bound,drift_digitization_relative_bound
121.401337,97716.4577,1817.5,1208.5,filled_circle,0.0290165476,0.0264958129
140.066818,111366.258,1842.5,1183.5,filled_circle,0.0290165476,0.0264958129
159.763701,127588.336,1865.5,1157.5,filled_circle,0.0290165476,0.0264958129
179.129679,140918.582,1885.5,1138.5,filled_circle,0.0290165476,0.0264958129
196.299456,165723.003,1901.5,1107.5,filled_circle,0.0290165476,0.0264958129
229.086677,181132.848,1928.5,1090.5,filled_circle,0.0290165476,0.0264958129
255.390533,193876.82,1947.5,1077.5,filled_circle,0.0290165476,0.0264958129
298.047534,208605.617,1974.5,1063.5,filled_circle,0.0290165476,0.0264958129
349.824918,235271.346,2002.5,1040.5,filled_circle,0.0290165476,0.0264958129
401.308227,254472.34,2026.5,1025.5,filled_circle,0.0290165476,0.0264958129
449.953358,270955.406,2046.5,1013.5,filled_circle,0.0290165476,0.0264958129
501.617248,291539.853,2065.5,999.5,filled_circle,0.0290165476,0.0264958129
595.534071,328806.935,2095.5,976.5,filled_circle,0.0290165476,0.0264958129
698.991383,363160.212,2123.5,957.5,filled_circle,0.0290165476,0.0264958129
797.28698,399010.31,2146.5,939.5,filled_circle,0.0290165476,0.0264958129
893.931224,427083.498,2166.5,926.5,filled_circle,0.0290165476,0.0264958129
996.572893,459528.976,2185.5,912.5,filled_circle,0.0290165476,0.0264958129
1196.77406,548961.314,2217.5,878.5,filled_circle,0.0290165476,0.0264958129
