electron_energy_eV,cross_section_m2,evidence_class
0.0001,8.39e-19,swarm_regressed_from_measured_drift
0.13,8.35e-19,swarm_regressed_from_measured_drift
0.2,8e-19,swarm_regressed_from_measured_drift
0.25,7.7299999999999995e-19,swarm_regressed_from_measured_drift
0.32,7.279999999999999e-19,swarm_regressed_from_measured_drift
0.37,7.1e-19,swarm_regressed_from_measured_drift
0.42,6.67e-19,swarm_regressed_from_measured_drift
0.5,6.55e-19,swarm_regressed_from_measured_drift
0.53,6.389999999999999e-19,swarm_regressed_from_measured_drift
0.55,6.379999999999999e-19,swarm_regressed_from_measured_drift
0.57,5.979999999999999e-19,swarm_regressed_from_measured_drift
0.577,5.6e-19,swarm_regressed_from_measured_drift
0.65,2.2999999999999996e-20,swarm_regressed_from_measured_drift
0.7,3e-21,swarm_regressed_from_measured_drift
0.73,9.5e-22,swarm_regressed_from_measured_drift
0.74,9.15e-22,swarm_regressed_from_measured_drift
0.75,9e-22,swarm_regressed_from_measured_drift
0.86,9e-22,swarm_regressed_from_measured_drift
1.08,9e-22,swarm_regressed_from_measured_drift
1.12,9.2e-22,swarm_regressed_from_measured_drift
1.14,1e-21,swarm_regressed_from_measured_drift
1.44,2.01e-19,swarm_regressed_from_measured_drift
1.55,2.41e-19,swarm_regressed_from_measured_drift
1.73,2.38e-19,swarm_regressed_from_measured_drift
1.95,2.18e-19,swarm_regressed_from_measured_drift
2.09,2.11e-19,swarm_regressed_from_measured_drift
2.5,1.91e-19,swarm_regressed_from_measured_drift
2.7,1.725e-19,swarm_regressed_from_measured_drift
2.9,1.5599999999999998e-19,swarm_regressed_from_measured_drift
3.33,1.289e-19,swarm_regressed_from_measured_drift
5.3,7.299999999999999e-20,swarm_regressed_from_measured_drift
6.0,7.6e-20,swarm_regressed_from_measured_drift
7.0,8e-20,swarm_regressed_from_measured_drift
8.84,8.599999999999999e-20,swarm_regressed_from_measured_drift
14.5,8.4e-20,swarm_regressed_from_measured_drift
46.9,4.2999999999999995e-20,swarm_regressed_from_measured_drift
362.0,1.1e-20,swarm_regressed_from_measured_drift
