process_label,kind,energy_loss_eV,electron_energy_eV,cross_section_m2,evidence_class
Qa,ATTACHMENT,0.0,0.0001,9e-19,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.04,1e-19,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.08,3.3799999999999997e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.1,2.9399999999999995e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.14,3.08e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.18,3.15e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.22,2.66e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.25,2.1e-20,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.35,7.7e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.46,3.4e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.5,2.5999999999999998e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.6,1.9e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.65,1.7e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.75,1.7e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,0.9,1.8e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.0,2e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.1,1.9e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.25,1e-21,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.4,1.0999999999999998e-22,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.45,4e-23,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.6,3.3999999999999995e-23,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,1.7,3e-23,measured_attachment_imported_unchanged
Qa,ATTACHMENT,0.0,2.0,2e-23,measured_attachment_imported_unchanged
