source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,volume_average_electron_density_cm3,marker,marker_center_x_px,marker_center_y_px,digitization_power_uncertainty_W,digitization_electron_density_uncertainty_cm3,measurement_method,volume_average_conversion,reported_measurement_uncertainty,tcp_power_semantics,supports_local_wafer_electron_density,supports_wafer_flux,validation_role
Figure 11,11,0.5,197.456,5.59071730e+10,open_diamond,325.0,381.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,0.5,295.494,8.64978903e+10,open_diamond,396.0,323.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,0.5,686.265,1.75632911e+11,open_diamond,679.0,154.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,0.5,847.820,2.06751055e+11,open_diamond,796.0,95.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,1,198.837,4.90506329e+10,filled_down_triangle,326.0,394.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,1,296.875,7.48945148e+10,filled_down_triangle,397.0,345.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,1,498.474,1.31856540e+11,filled_down_triangle,543.0,237.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,1,697.311,1.75105485e+11,filled_down_triangle,687.0,155.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,1,886.483,2.10443038e+11,filled_down_triangle,824.0,88.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
Figure 11,11,2,147.747,2.74261603e+10,open_circle,289.0,435.0,2.7616,1.58227848e+09,Langmuir_probe_analysis_reported_elsewhere,radial_symmetry_and_axial_sin_pi_h_over_gap,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_volume_average_electron_state_conditioning_input
