source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,electron_temperature_eV,marker,marker_center_x_px,marker_center_y_px,digitization_power_uncertainty_W,digitization_temperature_uncertainty_eV,measurement_method,reported_measurement_uncertainty,tcp_power_semantics,supports_absorbed_power,supports_wafer_flux,validation_role
Figure 3,11,0.5,32.568,2.32173,open_diamond,143.3,251.8,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,0.5,299.417,2.82038,open_diamond,350.6,160.7,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,0.5,849.079,3.34366,open_diamond,777.6,65.1,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,33.855,2.24947,filled_down_triangle,144.3,265.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,134.776,1.82253,filled_down_triangle,222.7,343.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,199.783,2.05297,filled_down_triangle,273.2,300.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,299.546,2.40383,filled_down_triangle,350.7,236.8,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,499.329,2.54396,filled_down_triangle,505.9,211.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,699.241,2.85213,filled_down_triangle,661.2,154.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,1,859.248,2.80779,filled_down_triangle,785.5,163.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,34.627,2.04202,open_circle,144.9,302.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,98.991,1.85482,open_circle,194.9,337.1,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,148.936,1.85482,open_circle,233.7,337.1,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,199.011,1.86851,open_circle,272.6,334.6,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,298.388,2.06611,open_circle,349.8,298.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,498.557,2.30640,open_circle,505.3,254.6,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,698.469,2.33213,open_circle,660.6,249.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,2,868.516,2.43941,open_circle,792.7,230.3,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,38.875,1.31566,filled_square,148.2,435.6,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,99.119,1.37368,filled_square,195.0,425.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,149.966,1.46947,filled_square,234.5,407.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,200.169,1.49082,filled_square,273.5,403.6,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,299.932,1.55979,filled_square,351.0,391.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,499.329,1.66105,filled_square,505.9,372.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,599.736,1.76122,filled_square,583.9,354.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,698.984,1.74863,filled_square,661.0,356.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,798.747,1.70484,filled_square,738.5,364.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,10,890.142,1.93747,filled_square,809.5,322.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,100.020,1.28008,open_up_triangle,195.7,442.1,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,149.837,1.30855,open_up_triangle,234.4,436.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,199.912,1.29596,open_up_triangle,273.3,439.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,299.675,1.39175,open_up_triangle,350.8,421.7,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,499.329,1.47714,open_up_triangle,505.9,406.1,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,699.499,1.58059,open_up_triangle,661.4,387.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,11,20,899.282,1.64080,open_up_triangle,816.6,376.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,0.5,50.847,2.96274,open_diamond,157.5,674.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,0.5,700.271,3.59495,open_diamond,662.0,559.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,0.5,899.797,3.77832,open_diamond,817.0,525.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,1,50.847,2.49364,filled_down_triangle,157.5,760.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,1,101.050,2.49474,filled_down_triangle,196.5,760.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,1,700.271,3.21179,filled_down_triangle,662.0,629.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,1,899.797,3.64312,filled_down_triangle,817.0,550.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,1,899.668,3.25065,filled_down_triangle,816.9,621.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,24.715,2.08147,open_circle,137.2,835.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,38.360,2.33381,open_circle,147.8,789.4,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,74.919,2.22653,open_circle,176.2,809.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,175.068,2.28674,open_circle,254.0,798.0,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,238.787,2.15592,open_circle,303.5,821.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,349.878,2.41701,open_circle,389.8,774.2,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,499.458,2.51225,open_circle,506.0,756.8,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,699.499,2.80728,open_circle,661.4,702.9,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,2,899.282,2.62392,open_circle,816.6,736.4,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
Figure 3,6.5,10,25.102,1.75853,filled_square,137.5,894.5,2.5745,0.01642,optical_emission_spectroscopy,not_reported_in_article,power_into_matching_network_not_absorbed_power,false,false,measured_electron_state_conditioning_input
