source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,relative_cl2_density_percent,cl2_dissociation_percent,cl2_flow_sccm,rare_gas_flow_sccm,flow_condition,marker,marker_center_x_px,marker_center_y_px,digitization_power_uncertainty_W,digitization_relative_cl2_uncertainty_percentage_point,reported_absolute_density_relative_uncertainty_percent,error_bar_semantics,tcp_power_semantics,supports_absorbed_power,supports_wafer_flux,validation_role
Figure 7,11,10,99.744,107.9602,-7.9602,114,6,normal,filled_square,191.0,139.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,149.616,102.8524,-2.8524,114,6,normal,filled_square,232.0,161.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,200.704,99.8342,0.1658,114,6,normal,filled_square,274.0,174.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,300.448,103.3167,-3.3167,114,6,normal,filled_square,356.0,159.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,499.936,91.9403,8.0597,114,6,normal,filled_square,520.0,208.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,600.896,103.0846,-3.0846,114,6,normal,filled_square,603.0,160.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,700.640,82.8856,17.1144,114,6,normal,filled_square,685.0,247.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,800.384,55.0249,44.9751,114,6,normal,filled_square,767.0,367.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,10,900.128,81.0282,18.9718,114,6,normal,filled_square,849.0,255.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
Figure 7,11,2,149.616,91.9403,8.0597,114,6,normal,open_circle,232.0,208.0,2.4328,0.6965,25,range_between_Ar_and_Xe_reductions_not_sigma,power_into_matching_network_not_absorbed_power,false,false,reactor_dissociation_validation_candidate
