source_figure,panel,energy_eV,substrate,sweep_variable,deposited_fc_thickness_A,etch_step_s,fluorine_per_incident_ion,substrate_units_per_incident_ion,substrate_unit_semantics,replicate,marker_fill,marker_center_x_px,marker_center_y_px,digitization_uncertainty_ratio,experimental_uncertainty_reported,source_derived_normalization,supports_wafer_flux_reconstruction,boundary_evidence_tier,observation_id,source_pdf_sha256
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0008920,0.0003210,SiO2_formula_units_per_Ar_ion,1,filled,1015.5,903.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_001,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0010280,0.0004909,SiO2_formula_units_per_Ar_ion,1,filled,1032.5,881.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_002,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0013560,0.0006231,SiO2_formula_units_per_Ar_ion,1,filled,1073.5,863.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_003,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0015120,0.0004343,SiO2_formula_units_per_Ar_ion,1,filled,1093.0,888.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_004,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0016920,0.0005476,SiO2_formula_units_per_Ar_ion,1,filled,1115.5,873.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_005,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0022280,0.0007326,SiO2_formula_units_per_Ar_ion,1,filled,1182.5,849.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_006,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,SiO2,deposited_fc_thickness_3_to_11_A,,40.0,0.0025440,0.0006533,SiO2_formula_units_per_Ar_ion,1,filled,1222.0,859.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_007,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,Si,deposited_fc_thickness_3_to_11_A,,40.0,0.0009720,0.0013180,Si_atoms_per_Ar_ion,1,filled,1025.5,771.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_008,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,Si,deposited_fc_thickness_3_to_11_A,,40.0,0.0014240,0.0017523,Si_atoms_per_Ar_ion,1,filled,1082.0,714.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_009,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,Si,deposited_fc_thickness_3_to_11_A,,40.0,0.0015240,0.0020015,Si_atoms_per_Ar_ion,1,filled,1094.5,681.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_010,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,Si,deposited_fc_thickness_3_to_11_A,,40.0,0.0022640,0.0026435,Si_atoms_per_Ar_ion,1,filled,1187.0,596.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_011,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9a,25,Si,deposited_fc_thickness_3_to_11_A,,40.0,0.0036000,0.0027644,Si_atoms_per_Ar_ion,1,filled,1354.0,580.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_012,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9b,25,SiO2,etch_step_length_20_to_60_s,5.0,60.0,0.0011800,0.0005635,SiO2_formula_units_per_Ar_ion,1,filled,1052.5,1752.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_013,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9b,25,SiO2,etch_step_length_20_to_60_s,5.0,40.0,0.0017040,0.0005787,SiO2_formula_units_per_Ar_ion,1,filled,1118.0,1750.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_014,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9b,25,SiO2,etch_step_length_20_to_60_s,5.0,20.0,0.0037200,0.0004955,SiO2_formula_units_per_Ar_ion,1,filled,1370.0,1761.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_015,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9b,30,SiO2,etch_step_length_20_to_60_s,5.0,60.0,0.0009040,0.0008396,SiO2_formula_units_per_Ar_ion,1,open,1018.0,1716.0,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_016,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.9,6.9b,30,SiO2,etch_step_length_20_to_60_s,5.0,40.0,0.0014280,0.0014032,SiO2_formula_units_per_Ar_ion,1,open,1083.5,1641.5,0.00002,false,author_cycle_average_from_removed_atoms_and_incident_ions;F_numerator_from_deposited_FC_film,false,A_direct_surface_response_source_derived,metzler_yield_017,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
