source_figure,panel,film_thickness_A,energy_eV,etch_step_s,time_s,observable,value,units,marker_center_x_px,marker_center_y_px,digitization_uncertainty,experimental_uncertainty_reported,quantity_semantics,supports_absolute_areal_atom_inventory,boundary_evidence_tier,observation_id,source_pdf_sha256
Figure 6.14,6.14a,5,25,40.0,0.0,film_F_over_C_from_C1s,0.4258,ratio,887.0,667.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_001,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,5.0,film_F_over_C_from_C1s,0.1571,ratio,954.0,826.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_002,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,15.0,film_F_over_C_from_C1s,0.1690,ratio,1083.0,819.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_003,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,40.0,film_F_over_C_from_C1s,0.1369,ratio,1408.0,838.0,0.01,false,XPS_film_composition_ratio_not_absolute_areal_inventory,false,A_direct_surface_measurement,metzler_xps_004,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,0.0,delta_F_over_C_substrate_proxy,0.3751,ratio,887.0,697.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_005,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,5.0,delta_F_over_C_substrate_proxy,0.3396,ratio,954.0,718.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_006,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,15.0,delta_F_over_C_substrate_proxy,0.8229,ratio,1083.0,432.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_007,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14a,5,25,40.0,40.0,delta_F_over_C_substrate_proxy,1.0747,ratio,1408.0,283.0,0.01,false,relative_XPS_ratio_not_absolute_substrate_F_inventory,false,A_direct_surface_measurement,metzler_xps_008,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,0.0,CFx_C1s_intensity_kcps,9.2308,kcps,886.0,1470.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_009,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,5.0,CFx_C1s_intensity_kcps,3.0769,kcps,951.0,1670.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_010,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,15.0,CFx_C1s_intensity_kcps,2.1538,kcps,1081.0,1700.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_011,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,40.0,CFx_C1s_intensity_kcps,1.9077,kcps,1407.0,1708.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_012,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,0.0,F1s_intensity_kcps,17.4154,kcps,886.0,1204.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_013,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.14,6.14b,5,25,40.0,5.0,F1s_intensity_kcps,9.7231,kcps,951.0,1454.0,0.10,false,background_sensitive_XPS_peak_intensity,false,A_direct_surface_measurement,metzler_xps_014,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
