source_figure,panel,energy_eV,substrate,deposited_fc_thickness_A,etch_step_s,etch_depth_A_per_cycle,replicate,marker_fill,marker_center_x_px,marker_center_y_px,digitization_uncertainty_depth_A,experimental_uncertainty_reported,film_thickness_semantics,boundary_evidence_tier,observation_id,source_pdf_sha256
Figure 6.5,6.5a,20,Si,3.7915,40.0,2.2012,1,filled,1018.2,662.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_001,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5a,20,SiO2,3.7866,40.0,0.0000,1,filled,1018.0,829.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_002,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5a,20,SiO2,5.7885,40.0,1.2588,1,filled,1101.0,733.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_003,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5a,20,SiO2,6.2588,40.0,0.7052,1,filled,1120.5,775.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_004,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5a,20,SiO2,8.5501,40.0,2.5308,1,filled,1215.5,637.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_005,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,3.0920,40.0,2.4055,1,filled,989.2,1215.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_006,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,4.5199,40.0,3.1793,1,filled,1048.4,1156.8,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_007,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,4.8334,40.0,3.6459,1,filled,1061.4,1121.4,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_008,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,4.8334,40.0,2.3779,2,filled,1061.4,1217.6,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_009,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,7.1922,40.0,4.7992,1,filled,1159.2,1033.9,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_010,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,Si,11.4419,40.0,5.0391,1,filled,1335.4,1015.7,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_011,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,2.8340,40.0,1.0584,1,filled,978.5,1317.7,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_012,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,3.2777,40.0,1.6476,1,filled,996.9,1273.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_013,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,4.3245,40.0,2.0931,1,filled,1040.3,1239.2,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_014,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,4.7996,40.0,1.4631,1,filled,1060.0,1287.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_015,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,5.2096,40.0,1.5158,1,filled,1077.0,1283.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_016,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,5.3544,40.0,1.8849,1,filled,1083.0,1255.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_017,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,7.0788,40.0,2.4385,1,filled,1154.5,1213.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_018,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5b,25,SiO2,8.0798,40.0,2.1749,1,filled,1196.0,1233.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_019,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,Si,3.5961,40.0,3.2030,1,filled,1010.1,1724.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_020,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,Si,5.2362,40.0,3.1674,1,filled,1078.1,1726.7,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_021,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,Si,5.2410,40.0,4.0993,2,filled,1078.3,1656.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_022,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,Si,5.6148,40.0,3.5220,1,filled,1093.8,1699.8,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_023,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,Si,6.3963,40.0,6.9003,1,filled,1126.2,1443.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_024,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,SiO2,2.8195,40.0,1.2522,1,filled,977.9,1872.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_025,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,SiO2,3.9531,40.0,2.9249,1,filled,1024.9,1745.1,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_026,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,SiO2,4.5102,40.0,4.5540,1,filled,1048.0,1621.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_027,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,SiO2,6.7050,40.0,4.2443,1,filled,1139.0,1645.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_028,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.5,6.5c,30,SiO2,9.7440,40.0,4.4618,1,filled,1265.0,1628.5,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_029,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.6,6.6,25,SiO2,5.0000,20.0,0.8355,1,filled,998.0,1029.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_030,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
Figure 6.6,6.6,25,SiO2,5.0000,40.0,1.9354,1,filled,1245.0,925.0,0.05,false,ellipsometric_optical_thickness_not_absolute_C_F_inventory,A_direct_surface_measurement,metzler_depth_031,ea5701d0bcf67b56403625253f7bb619c0e3e3a5e0a9cfd2ff6f1e435fa90f62
