condition_id,target_family,series_label,control_label,control_value,control_unit,control_pixel_x,control_axis_transform,control_axis_slope_per_pixel,control_axis_intercept,control_digitization_uncertainty,notch_depth_um,notch_pixel_y,notch_axis_slope_um_per_pixel,notch_axis_intercept_um,digitization_uncertainty_um,measurement_uncertainty_um,measurement_uncertainty_semantics,source_figure,source_pdf_sha256,source_pdf_page,source_print_page,source_image_sha256,evidence_type,split,source_location
fig10_l06s06_01,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,0.522093814,um,1916,linear,0.008157715839564922,-15.108089734874236,0.30,0.028697749,3007,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_02,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,0.619986404,um,1928,linear,0.008157715839564922,-15.108089734874236,0.30,0.049437299,2921,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_03,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,0.799456152,um,1950,linear,0.008157715839564922,-15.108089734874236,0.30,0.065353698,2855,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_04,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,1.484704283,um,2034,linear,0.008157715839564922,-15.108089734874236,0.30,0.188826367,2343,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_05,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,2.006798097,um,2098,linear,0.008157715839564922,-15.108089734874236,0.30,0.214389068,2237,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_06,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,4.976206662,um,2462,linear,0.008157715839564922,-15.108089734874236,0.30,0.216800643,2227,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig10_l06s06_07,open_area_width,L=0.6um;S=0.6um;open-circle,open_space_width,10.001359619,um,3078,linear,0.008157715839564922,-15.108089734874236,0.30,0.233199357,2159,-0.00024115755627009645,0.7538585209003216,0.01,,not_reported,Fig. 10b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,7,2112,53f3b150e5d6d89fda0ef1f71a8b35097b464f60454d2d3052d72efda1b4ac7a,experiment_digitized,calibration,https://doi.org/10.1143/JJAP.34.2107
fig8_shared_01,shared_pad_space_width,L=0.8um;shared-pad,space_width,0.501314924,um,951,linear,0.003287310979618672,-2.62491781722551,0.12,0.182978723,5252,-0.00026595744680851064,1.5797872340425532,0.01,,not_reported,Fig. 8b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,6,2111,efc83d088516a5b74869d2ed744d57062e57091153f1729c2d50514e21f71f61,experiment_digitized,held_out_transfer,https://doi.org/10.1143/JJAP.34.2107
fig8_shared_02,shared_pad_space_width,L=0.8um;shared-pad,space_width,0.807034845,um,1044,linear,0.003287310979618672,-2.62491781722551,0.12,0.190159574,5225,-0.00026595744680851064,1.5797872340425532,0.01,,not_reported,Fig. 8b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,6,2111,efc83d088516a5b74869d2ed744d57062e57091153f1729c2d50514e21f71f61,experiment_digitized,held_out_transfer,https://doi.org/10.1143/JJAP.34.2107
fig8_shared_03,shared_pad_space_width,L=0.8um;shared-pad,space_width,1.010848126,um,1106,linear,0.003287310979618672,-2.62491781722551,0.12,0.175000000,5282,-0.00026595744680851064,1.5797872340425532,0.01,,not_reported,Fig. 8b,87500f53f0286aae0597b14168b0991791db73138ee8d67a5e5e3bc56b329c67,6,2111,efc83d088516a5b74869d2ed744d57062e57091153f1729c2d50514e21f71f61,experiment_digitized,held_out_transfer,https://doi.org/10.1143/JJAP.34.2107
