collision_energy_eV,dct_sum_cross_section_A2,marker_center_x_full_page_px,marker_center_y_full_page_px,digitization_energy_relative_bound,digitization_cross_section_A2_bound,source_measurement_relative_uncertainty
20.524792,2.6314482,2021.0,1220.0,0.016891484,0.046677327,0.25
22.568441,2.8337167,2055.0,1194.0,0.016891484,0.046677327,0.25
25.376038,3.0515442,2097.0,1166.0,0.016891484,0.046677327,0.25
27.515945,3.4638606,2126.0,1113.0,0.016891484,0.046677327,0.25
30.425106,3.8917361,2162.0,1058.0,0.016891484,0.046677327,0.25
35.772833,4.4363049,2220.0,988.0,0.016891484,0.046677327,0.25
40.110971,4.8952986,2261.0,929.0,0.016891484,0.046677327,0.25
45.48024,5.4087492,2306.0,863.0,0.016891484,0.046677327,0.25
51.138151,5.9299794,2348.0,796.0,0.016891484,0.046677327,0.25
62.697869,6.3345162,2421.0,744.0,0.016891484,0.046677327,0.25
75.383013,6.6379188,2487.0,705.0,0.016891484,0.046677327,0.25
88.632852,6.8946441,2545.0,672.0,0.016891484,0.046677327,0.25
100.49728,7.159149,2590.0,638.0,0.016891484,0.046677327,0.25
112.05707,7.299181,2629.0,620.0,0.016891484,0.046677327,0.25
126.70286,7.439213,2673.0,602.0,0.016891484,0.046677327,0.25
138.54292,7.6259223,2705.0,578.0,0.016891484,0.046677327,0.25
147.31871,7.7659542,2727.0,560.0,0.016891484,0.046677327,0.25
157.52749,7.8826476,2751.0,545.0,0.016891484,0.046677327,0.25
171.28897,7.9682227,2781.0,534.0,0.016891484,0.046677327,0.25
182.13901,8.1082546,2803.0,516.0,0.016891484,0.046677327,0.25
195.85122,8.0149,2829.0,528.0,0.016891484,0.046677327,0.25
