material,pressure_mTorr,reported_icp_power_range_W,cl_to_cl2_density_ratio,cl_recombination_probability,marker_center_x_px,marker_center_y_px,marker,observable_basis,digitization_ratio_uncertainty,digitization_log10_gamma_uncertainty
anodized_aluminum,20,100-600,0.105610,0.0089648,1752.6,1585.3,open_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,20,100-600,0.122364,0.0099752,1782.6,1555.2,open_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,20,100-600,0.185417,0.0099717,1895.5,1555.3,open_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,20,100-600,0.216078,0.0109430,1950.4,1529.1,open_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,20,100-600,0.105721,0.0059593,1752.8,1700.4,filled_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,20,100-600,0.122476,0.0052858,1782.8,1734.2,filled_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,20,100-600,0.185361,0.0046719,1895.4,1769.0,filled_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,20,100-600,0.216078,0.0039811,1950.4,1814.1,filled_down_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,10,100-600,0.240540,0.0139436,1994.2,1460.8,open_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,10,100-600,0.267347,0.0149903,2042.2,1440.4,open_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,10,100-600,0.349668,0.0159845,2189.6,1422.3,open_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,10,100-600,0.359665,0.0177670,2207.5,1392.5,open_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,10,100-600,0.240093,0.0075987,1993.4,1631.9,filled_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,10,100-600,0.270028,0.0081923,2047.0,1610.7,filled_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,10,100-600,0.349780,0.0071008,2189.8,1651.0,filled_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,10,100-600,0.359832,0.0080027,2207.8,1617.3,filled_up_triangle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.309960,0.0159731,2118.5,1422.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.309960,0.0139585,2118.5,1460.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.349612,0.0256958,2189.5,1288.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.349612,0.0199739,2189.5,1359.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.440087,0.0278805,2351.5,1265.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.429476,0.0265295,2332.5,1279.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,5,100-600,0.430034,0.0238508,2333.5,1309.5,open_circle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,5,100-600,0.310071,0.0073105,2118.7,1642.8,filled_circle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,5,100-600,0.349724,0.0101250,2189.7,1551.0,filled_circle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,5,100-600,0.439417,0.0145449,2350.3,1448.9,filled_circle,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,5,100-600,0.430034,0.0114028,2333.5,1517.5,filled_circle,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.579038,0.0936139,2600.3,924.1,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.578982,0.0827114,2600.2,959.0,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.688557,0.0746245,2796.4,988.0,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.688446,0.0656767,2796.2,1024.0,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.658678,0.0403511,2742.9,1161.3,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.658678,0.0362383,2742.9,1191.6,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.779646,0.0458973,2959.5,1125.0,open_square,spinning_wall_LH_recombination,0.002792,0.012327
anodized_aluminum,1.25,100-600,0.779646,0.0429815,2959.5,1143.5,open_square,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,1.25,100-600,0.579429,0.0315555,2601.0,1230.6,filled_square,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,1.25,100-600,0.659293,0.0165500,2744.0,1412.5,filled_square,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,1.25,100-600,0.689898,0.0212835,2798.8,1341.6,filled_square,spinning_wall_LH_recombination,0.002792,0.012327
stainless_steel,1.25,100-600,0.779088,0.0180530,2958.5,1388.0,filled_square,spinning_wall_LH_recombination,0.002792,0.012327
