figure,panel,series,cl2_fraction_percent,value,units,marker_center_x_px,marker_center_y_px,marker_state,digitization_vertical_uncertainty_px,evidence_type
5.10,a,total_photon_flux,5,5.04315949e+15,cm^-2 s^-1,1037.0,299.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,10,2.08122157e+15,cm^-2 s^-1,1073.5,363.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,15,1.04236067e+15,cm^-2 s^-1,1109.5,413.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,20,5.67222897e+14,cm^-2 s^-1,1146.0,457.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,30,2.88044415e+14,cm^-2 s^-1,1219.0,506.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,40,1.58928287e+14,cm^-2 s^-1,1291.5,549.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,50,1.09405471e+14,cm^-2 s^-1,1364.5,576.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,60,7.74263683e+13,cm^-2 s^-1,1437.5,601.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,80,4.09838367e+13,cm^-2 s^-1,1583.5,647.5,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,90,2.50841506e+13,cm^-2 s^-1,1656.5,683.0,isolated,4,source_equipment_model_digitized
5.10,a,total_photon_flux,95,2.32469706e+13,cm^-2 s^-1,1693.5,688.5,isolated,4,source_equipment_model_digitized
5.10,a,Ar_104.8_nm_photon_flux,5,1.36500781e+15,cm^-2 s^-1,1037.0,394.0,isolated,4,source_equipment_model_digitized
5.10,a,Ar_104.8_nm_photon_flux,10,5.87176639e+14,cm^-2 s^-1,1073.5,455.0,isolated,4,source_equipment_model_digitized
5.10,a,Ar_104.8_nm_photon_flux,15,3.0653953e+14,cm^-2 s^-1,1109.5,502.0,isolated,4,source_equipment_model_digitized
5.10,a,Ar_104.8_nm_photon_flux,20,1.75567629e+14,cm^-2 s^-1,1146.0,542.3,isolated,4,source_equipment_model_digitized
5.10,a,Ar_104.8_nm_photon_flux,30,1.00138389e+14,cm^-2 s^-1,1219.0,582.9,isolated,4,source_equipment_model_digitized
