panel,feed,pressure_Pa,listed_net_power_to_matching_network_W,estimated_plasma_dissipated_power_W,species,ion_flux_mA_cm2,marker_center_x_px,marker_center_y_px,marker,observable_basis,digitization_log10_flux_uncertainty
a,100% Cl2,2.7,300,240,total_positive_ion,7.45632,3442.0,733.0,open_circle,direct_total_current,0.01980
a,100% Cl2,4,300,240,total_positive_ion,10.43673,3620.0,674.0,open_circle,direct_total_current,0.01980
a,100% Cl2,6.7,300,240,total_positive_ion,17.03867,3987.0,588.0,open_circle,direct_total_current,0.01980
a,100% Cl2,2.7,300,240,Cl+,6.21322,3442.0,765.0,filled_square,mass_resolved_ied_scaled_to_total,0.01980
a,100% Cl2,4,300,240,Cl+,9.52709,3620.0,690.0,filled_square,mass_resolved_ied_scaled_to_total,0.01980
a,100% Cl2,6.7,300,240,Cl+,16.27922,3987.0,596.0,filled_square,mass_resolved_ied_scaled_to_total,0.01980
a,100% Cl2,2.7,300,240,Cl2+,1.05564,3444.0,1076.0,filled_circle,mass_resolved_ied_scaled_to_total,0.01980
a,100% Cl2,4,300,240,Cl2+,0.72883,3621.0,1141.0,filled_circle,mass_resolved_ied_scaled_to_total,0.01980
a,100% Cl2,6.7,300,240,Cl2+,0.31354,3987.0,1289.0,filled_circle,mass_resolved_ied_scaled_to_total,0.01980
b,20% Cl2 + 80% Ar,0.67,300,240,total_positive_ion,13.72461,3170.0,1954.0,open_circle,direct_total_current,0.04000
b,20% Cl2 + 80% Ar,1.3,300,240,total_positive_ion,15.39927,3257.0,1944.0,open_circle,direct_total_current,0.04000
b,20% Cl2 + 80% Ar,2.7,300,240,total_positive_ion,20.30019,3446.0,1920.0,open_circle,direct_total_current,0.04000
b,20% Cl2 + 80% Ar,4,300,240,total_positive_ion,27.38420,3624.0,1894.0,open_circle,direct_total_current,0.04000
b,20% Cl2 + 80% Ar,6.7,300,240,total_positive_ion,40.97321,3988.0,1859.0,open_circle,direct_total_current,0.04000
b,20% Cl2 + 80% Ar,0.67,300,240,Cl+,6.87860,3170.0,2014.0,filled_square,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,1.3,300,240,Cl+,7.45590,3257.0,2007.0,filled_square,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,2.7,300,240,Cl+,10.29201,3447.0,1979.0,filled_square,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,4,300,240,Cl+,13.88353,3622.0,1953.0,filled_square,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,6.7,300,240,Cl+,20.77304,3990.0,1918.0,filled_square,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,0.67,300,240,Cl2+,0.31805,3171.0,2281.0,filled_circle,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,1.3,300,240,Cl2+,0.38238,3257.0,2265.0,filled_circle,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,2.7,300,240,Cl2+,0.40041,3449.0,2261.0,filled_circle,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,4,300,240,Cl2+,0.26152,3624.0,2298.0,filled_circle,mass_resolved_ied_scaled_to_total,0.04000
b,20% Cl2 + 80% Ar,6.7,300,240,Cl2+,0.11548,3991.0,2369.0,filled_circle,mass_resolved_ied_scaled_to_total,0.04000
