observable,radial_distance_m,value,units,marker_center_x_px,marker_center_y_px,marker_state,digitization_vertical_uncertainty_px,source_uncertainty,evidence_type
electron_density,0.0000,1.4097561e+17,m^-3,563.0,220.0,axis_overlapping_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0127,1.27560976e+17,m^-3,605.0,247.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0254,9.12195122e+16,m^-3,647.0,322.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0381,6.97560976e+16,m^-3,688.0,366.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0508,5.3902439e+16,m^-3,731.0,398.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0635,3.2195122e+16,m^-3,772.0,443.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_density,0.0762,2e+16,m^-3,814.0,468.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0000,3.82874618,eV,563.0,701.0,axis_overlapping_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0127,3.85321101,eV,600.5,699.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0254,3.88379205,eV,642.5,696.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0381,3.74311927,eV,684.5,708.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0508,3.45565749,eV,726.5,731.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0635,3.22324159,eV,768.0,750.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
electron_temperature,0.0762,2.97859327,eV,809.5,770.5,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0000,16.899696,V,559.0,1199.0,axis_overlapping_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0127,16.4741641,V,598.0,1206.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0254,15.5015198,V,641.5,1222.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0381,14.8328267,V,681.5,1233.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0508,13.3130699,V,723.5,1258.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0635,11.9148936,V,765.5,1281.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
plasma_potential,0.0762,10.5167173,V,807.5,1304.0,isolated_square,3,not_printed,direct_reactor_measurement_digitized
