c4f6_fraction_of_cf4_plus_c4f6_percent,material,patterned_etch_rate_nm_min,digitization_uncertainty_nm_min,marker_center_x_px,line_fit_center_y_px
37.5,SiO2,48.2808,0.2,1626.0,3133.168
43.75,SiO2,46.0198,0.2,1938.5,3194.940
50,SiO2,43.7177,0.2,2251.0,3257.833
56.25,SiO2,39.6224,0.2,2563.5,3369.716
62.5,SiO2,31.8029,0.2,2876.0,3583.344
37.5,ACL,25.2406,0.2,1626.0,3762.627
43.75,ACL,23.1719,0.2,1938.5,3819.144
50,ACL,20.7396,0.2,2251.0,3885.595
56.25,ACL,17.8417,0.2,2563.5,3964.764
62.5,ACL,12.9621,0.2,2876.0,4098.076
