source_figure,panel,signal,time_s,emission_intensity_ratio_to_Ar,marker_center_x_px,marker_center_y_px,digitization_uncertainty_au,quantity_semantics,supports_absolute_ground_state_flux,boundary_evidence_tier,observation_id,source_image_sha256
Figure 14,14b,CF,-1.9,3.4413,242.08,1609.0,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m1.9,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-1.7,8.8078,294.23,1458.2,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m1.7,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-1.5,14.4947,346.38,1298.4,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m1.5,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-1.3,6.2420,398.53,1530.3,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m1.3,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-1.1,6.5480,450.68,1521.7,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m1.1,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-0.9,4.4698,502.83,1580.1,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m0.9,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-0.7,5.1495,554.98,1561.0,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m0.7,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-0.5,3.3488,607.12,1611.6,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m0.5,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-0.3,3.5587,659.28,1605.7,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m0.3,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,-0.1,3.0783,711.42,1619.2,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_m0.1,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,0.1,2.7794,763.58,1627.6,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p0.1,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,0.3,2.6228,815.73,1632.0,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p0.3,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,0.5,1.0356,867.88,1676.6,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p0.5,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,0.7,0.6370,920.03,1687.8,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p0.7,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,0.9,0.5801,972.18,1689.4,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p0.9,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,1.1,1.2705,1024.33,1670.0,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p1.1,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,1.3,0.7972,1076.47,1683.3,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p1.3,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,1.5,1.0427,1128.62,1676.4,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p1.5,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
Figure 14,14b,CF,1.7,0.6192,1180.78,1688.3,0.20,optical_emission_ratio_not_ground_state_density_or_flux,false,B_facility_diagnostic,yoshie_oes_CF_p1.7,e7a121f1b9be7543c217626978d0ae243f4e22cd87a00765877cbe65b7c547b0
