source_figure,cycle_duration_s,timing,initial_width_nm,etch_rate_nm_per_bias_min,cumulative_bias_time_s,derived_etch_depth_nm,plotted_lower_rate_nm_per_bias_min,plotted_upper_rate_nm_per_bias_min,marker_center_x_px,marker_center_y_px,upper_cap_y_px,lower_cap_y_px,digitization_rate_uncertainty_nm_per_bias_min,digitization_depth_uncertainty_nm,measurement_uncertainty_semantics,split,boundary_evidence_tier,observation_id,source_image_sha256
Figure 5e,4,I,80,147.948,168.75,416.104,136.933,158.099,1513.0,435.5,412.0,461.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w80,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,90,144.276,168.75,405.778,133.909,154.644,1655.0,444.0,420.0,468.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w90,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,100,141.253,168.75,397.273,130.886,151.620,1795.0,451.0,427.0,475.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w100,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,110,141.253,168.75,397.273,130.886,151.620,1936.0,451.0,427.0,475.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w110,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,120,141.469,168.75,397.881,130.886,152.052,2073.0,450.5,426.0,475.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w120,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,130,141.469,168.75,397.881,130.886,152.052,2216.0,450.5,426.0,475.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w130,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,I,140,141.253,168.75,397.273,130.886,151.620,2347.0,451.0,427.0,475.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_I_w140,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,II,80,187.905,168.75,528.483,178.834,203.888,1513.0,343.0,306.0,364.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_II_w80,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,II,90,218.359,168.75,614.133,206.911,229.806,1655.0,272.5,246.0,299.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_II_w90,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
Figure 5e,4,II,100,232.829,168.75,654.833,222.030,243.629,1795.0,239.0,214.0,264.0,2.0,5.625,not_reported,held_out_transfer,B_facility_conditioned,yoshie_fig5_II_w100,de722d00eadba115a690562b519387ea79e3a634f19a12f6252df168c6056aef
