experiment_key,lot_number,wafer_number,X,Y,preox_thickness,postox_thickness,postox_thickness_nan,stepheight,oxide_etch,si_etch
2024-07-02_01,1,1,-19000,-95000,1.002226171,0.5259,0.5259,52.989,0.476326171,52.4631
2024-07-02_01,1,1,0,-95000,1.0034,0.5408,0.5408,52.579,0.4626,52.0382
2024-07-02_01,1,1,19000,-95000,1.002492706,0.524,0.524,53.2003,0.478492706,52.6763
2024-07-02_01,1,1,-57000,-76000,0.9993,0.542,0.542,52.8116,0.4573,52.2696
2024-07-02_01,1,1,-38000,-76000,1.000040777,0.4795,0.4795,46.8974,0.520540777,46.4179
2024-07-02_01,1,1,-19000,-76000,1.001496469,0.4536,0.4536,45.0108,0.547896469,44.5572
2024-07-02_01,1,1,0,-76000,1.002333556,0.4458,0.4458,44.5173,0.556533556,44.0715
2024-07-02_01,1,1,19000,-76000,1.00197289,0.4553,0.4553,44.8282,0.54667289,44.3729
2024-07-02_01,1,1,38000,-76000,1.001629678,0.482,0.482,46.4509,0.519629678,45.9689
2024-07-02_01,1,1,57000,-76000,1.0016,0.538,0.538,51.924,0.4636,51.386
2024-07-02_01,1,1,-76000,-57000,0.9993,0.5325,0.5325,52.6738,0.4668,52.1413
2024-07-02_01,1,1,-57000,-57000,0.999568488,0.4568,0.4568,45.3233,0.542768488,44.8665
2024-07-02_01,1,1,-38000,-57000,1.000128456,0.4136,0.4136,43.4258,0.586528456,43.0122
2024-07-02_01,1,1,-19000,-57000,1.000955208,0.3865,0.3865,42.9575,0.614455208,42.571
2024-07-02_01,1,1,0,-57000,1.001458901,0.3786,0.3786,42.8444,0.622858901,42.4658
2024-07-02_01,1,1,19000,-57000,1.001556654,0.389,0.389,42.8188,0.612556654,42.4298
2024-07-02_01,1,1,38000,-57000,1.001553462,0.417,0.417,43.126,0.584553462,42.709
2024-07-02_01,1,1,57000,-57000,1.001551848,0.4604,0.4604,44.727,0.541151848,44.2666
2024-07-02_01,1,1,76000,-57000,1.0016,0.531,0.531,51.4964,0.4706,50.9654
2024-07-02_01,1,1,-76000,-38000,0.999441682,0.4665,0.4665,46.42,0.532941682,45.9535
2024-07-02_01,1,1,-57000,-38000,0.999749595,0.4064,0.4064,43.0855,0.593349595,42.6791
2024-07-02_01,1,1,-38000,-38000,1.000296106,0.3627,0.3627,42.5286,0.637596106,42.1659
2024-07-02_01,1,1,-19000,-38000,1.000885063,0.3353,0.3353,42.6105,0.665585063,42.2752
2024-07-02_01,1,1,0,-38000,1.001272511,0.3258,0.3258,42.6638,0.675472511,42.338
2024-07-02_01,1,1,19000,-38000,1.001472574,0.3383,0.3383,42.5016,0.663172574,42.1633
2024-07-02_01,1,1,38000,-38000,1.0016,0.3659,0.3659,42.2972,0.6357,41.9313
2024-07-02_01,1,1,57000,-38000,1.001502516,0.4105,0.4105,42.6657,0.591002516,42.2552
2024-07-02_01,1,1,76000,-38000,1.001467599,0.4721,0.4721,45.5693,0.529367599,45.0972
2024-07-02_01,1,1,-95000,-19000,0.998589958,0.5015,0.5015,50.3559,0.497089958,49.8544
2024-07-02_01,1,1,-76000,-19000,0.999116846,0.4328,0.4328,44.1767,0.566316846,43.7439
2024-07-02_01,1,1,-57000,-19000,0.999782583,0.3717,0.3717,42.301,0.628082583,41.9293
2024-07-02_01,1,1,-38000,-19000,1.000425374,0.3266,0.3266,42.3107,0.673825374,41.9841
2024-07-02_01,1,1,-19000,-19000,1.001080147,0.2973,0.2973,42.638,0.703780147,42.3407
2024-07-02_01,1,1,0,-19000,1.001467893,0.2863,0.2863,42.7735,0.715167893,42.4872
2024-07-02_01,1,1,19000,-19000,1.001445559,0.2997,0.2997,42.5409,0.701745559,42.2412
2024-07-02_01,1,1,38000,-19000,1.00146009,0.3319,0.3319,42.0873,0.66956009,41.7554
2024-07-02_01,1,1,57000,-19000,1.001390669,0.378,0.378,41.952,0.623390669,41.574
2024-07-02_01,1,1,76000,-19000,1.001236537,0.4402,0.4402,43.5147,0.561036537,43.0745
2024-07-02_01,1,1,95000,-19000,1.001065553,0.5003,0.5003,52.1387,0.500765553,51.6384
2024-07-02_01,1,1,-95000,0,0.9978,0.5033,0.5033,51.9615,0.4945,51.4582
2024-07-02_01,1,1,-76000,0,0.998679741,0.4147,0.4147,43.4294,0.583979741,43.0147
2024-07-02_01,1,1,-57000,0,0.999697986,0.3553,0.3553,41.9158,0.644397986,41.5605
2024-07-02_01,1,1,-38000,0,1.000446839,0.3093,0.3093,42.0703,0.691146839,41.761
2024-07-02_01,1,1,-19000,0,1.001280491,0.2778,0.2778,42.5091,0.723480491,42.2313
2024-07-02_01,1,1,0,0,1.0019,0.2631,0.2631,42.7074,0.7388,42.4443
2024-07-02_01,1,1,19000,0,1.00150506,0.2811,0.2811,42.4046,0.72040506,42.1235
2024-07-02_01,1,1,38000,0,1.001345234,0.3148,0.3148,41.8741,0.686545234,41.5593
2024-07-02_01,1,1,57000,0,1.00130366,0.3623,0.3623,41.5904,0.63900366,41.2281
2024-07-02_01,1,1,76000,0,1.001089735,0.4243,0.4243,42.8253,0.576789735,42.401
2024-07-02_01,1,1,95000,0,1.0008,0.5044,0.5044,50.5999,0.4964,50.0955
2024-07-02_01,1,1,-95000,19000,0.998582401,0.4836,0.4836,49.4304,0.514982401,48.9468
2024-07-02_01,1,1,-76000,19000,0.999094275,0.414,0.414,43.5927,0.585094275,43.1787
2024-07-02_01,1,1,-57000,19000,0.99970803,0.3546,0.3546,41.7058,0.64510803,41.3512
2024-07-02_01,1,1,-38000,19000,1.000270843,0.3096,0.3096,41.7186,0.690670843,41.409
2024-07-02_01,1,1,-19000,19000,1.000887748,0.2796,0.2796,42.0491,0.721287748,41.7695
2024-07-02_01,1,1,0,19000,1.001314481,0.2696,0.2696,42.1933,0.731714481,41.9237
2024-07-02_01,1,1,19000,19000,1.001254021,0.283,0.283,41.9415,0.718254021,41.6585
2024-07-02_01,1,1,38000,19000,1.001291599,0.3145,0.3145,41.5055,0.686791599,41.191
2024-07-02_01,1,1,57000,19000,1.001413473,0.3621,0.3621,41.3806,0.639313473,41.0185
2024-07-02_01,1,1,76000,19000,1.001357029,0.425,0.425,42.9603,0.576357029,42.5353
2024-07-02_01,1,1,95000,19000,1.00114675,0.4866,0.4866,51.6011,0.51454675,51.1145
2024-07-02_01,1,1,-76000,38000,0.999442819,0.4336,0.4336,45.3256,0.565842819,44.892
2024-07-02_01,1,1,-57000,38000,0.999653586,0.3703,0.3703,41.8891,0.629353586,41.5188
2024-07-02_01,1,1,-38000,38000,0.99999188,0.328,0.328,41.32,0.67199188,40.992
2024-07-02_01,1,1,-19000,38000,1.000326769,0.301,0.301,41.3819,0.699326769,41.0809
2024-07-02_01,1,1,0,38000,1.00058317,0.2912,0.2912,41.4534,0.70938317,41.1622
2024-07-02_01,1,1,19000,38000,1.000877664,0.303,0.303,41.2753,0.697877664,40.9723
2024-07-02_01,1,1,38000,38000,1.001319849,0.3332,0.3332,41.0757,0.668119849,40.7425
2024-07-02_01,1,1,57000,38000,1.001795235,0.3775,0.3775,41.4658,0.624295235,41.0883
2024-07-02_01,1,1,76000,38000,1.002072445,0.4435,0.4435,44.4406,0.558572445,43.9971
2024-07-02_01,1,1,-76000,57000,0.9994,0.4754,0.4754,51.0851,0.524,50.6097
2024-07-02_01,1,1,-57000,57000,0.999529141,0.4047,0.4047,43.504,0.594829141,43.0993
