experiment_key,lot_number,wafer_number,loc_id,X,Y,preox_thickness,postox_thickness,stepheight,oxide_etch,si_etch
2024-07-02_01,1,1,F10,0,-76000,1.0034,0.4474,40.907,0.556,40.351
2024-07-02_01,1,1,D8,-38000,-38000,0.9993,0.363,40.008,0.6363,39.3717
2024-07-02_01,1,1,H8,38000,-38000,1.0016,0.3663,40.2934,0.6353,39.6581
2024-07-02_01,1,1,B6,-76000,0,0.9978,0.4139,41.8219,0.5839,41.238
2024-07-02_01,1,1,F6,0,0,1.0019,0.264,41.6317,0.7379,40.8938
2024-07-02_01,1,1,J6,76000,0,1.0008,0.425,42.2894,0.5758,41.7136
2024-07-02_01,1,1,D4,-38000,38000,0.9994,0.3279,41.2011,0.6715,40.5296
2024-07-02_01,1,1,H4,38000,38000,1.0027,0.3326,41.4749,0.6701,40.8048
2024-07-02_01,1,1,F2,0,76000,0.9993,0.3752,43.4165,0.6241,42.7924
2024-07-02_02,1,2,F10,0,-76000,1.0035,0.4456,40.7313,0.5579,40.1734
2024-07-02_02,1,2,D8,-38000,-38000,0.999,0.3656,39.7854,0.6334,39.152
2024-07-02_02,1,2,H8,38000,-38000,1.0017,0.364,40.2005,0.6377,39.5628
2024-07-02_02,1,2,B6,-76000,0,0.9972,0.422,41.5027,0.5752,40.9275
2024-07-02_02,1,2,F6,0,0,1.0018,0.2686,41.3849,0.7332,40.6517
2024-07-02_02,1,2,J6,76000,0,1.0006,0.4182,42.1592,0.5824,41.5768
2024-07-02_02,1,2,D4,-38000,38000,0.9989,0.3332,40.9119,0.6657,40.2462
2024-07-02_02,1,2,H4,38000,38000,1.0028,0.3318,41.3533,0.671,40.6823
2024-07-02_02,1,2,F2,0,76000,0.999,0.3773,43.1768,0.6217,42.5551
2024-07-02_03,1,3,F10,0,-76000,1.0026,0.4475,40.7905,0.5551,40.2354
2024-07-02_03,1,3,D8,-38000,-38000,0.9989,0.3686,39.9308,0.6303,39.3005
2024-07-02_03,1,3,H8,38000,-38000,1.002,0.3657,40.38,0.6363,39.7437
2024-07-02_03,1,3,B6,-76000,0,0.9967,0.4265,41.5921,0.5702,41.0219
2024-07-02_03,1,3,F6,0,0,1.0017,0.2713,41.534,0.7304,40.8036
2024-07-02_03,1,3,J6,76000,0,1.0005,0.4197,42.3487,0.5808,41.7679
2024-07-02_03,1,3,D4,-38000,38000,0.9984,0.3368,41.0607,0.6616,40.3991
2024-07-02_03,1,3,H4,38000,38000,1.0019,0.3336,41.5694,0.6683,40.9011
2024-07-02_03,1,3,F2,0,76000,0.9988,0.3803,43.3048,0.6185,42.6863
2024-07-02_04,1,4,F10,0,-76000,1.0024,0.4523,40.5909,0.5501,40.0408
2024-07-02_04,1,4,D8,-38000,-38000,0.9987,0.3727,39.6926,0.626,39.0666
2024-07-02_04,1,4,H8,38000,-38000,1.001,0.3709,40.127,0.6301,39.4969
2024-07-02_04,1,4,B6,-76000,0,0.9963,0.4304,41.3393,0.5659,40.7734
2024-07-02_04,1,4,F6,0,0,1.0014,0.2771,41.2113,0.7243,40.487
2024-07-02_04,1,4,J6,76000,0,1,0.4269,42.0031,0.5731,41.43
2024-07-02_04,1,4,D4,-38000,38000,0.9979,0.3418,40.857,0.6561,40.2009
2024-07-02_04,1,4,H4,38000,38000,1.0019,0.3402,41.3125,0.6617,40.6508
2024-07-02_04,1,4,F2,0,76000,0.9985,0.3866,43.1425,0.6119,42.5306
2024-07-02_05,1,5,F10,0,-76000,1.0032,0.4594,40.1071,0.5438,39.5633
2024-07-02_05,1,5,D8,-38000,-38000,0.9979,0.3808,39.2833,0.6171,38.6662
2024-07-02_05,1,5,H8,38000,-38000,1.0011,0.3795,39.669,0.6216,39.0474
2024-07-02_05,1,5,B6,-76000,0,0.9959,0.4373,40.9402,0.5586,40.3816
2024-07-02_05,1,5,F6,0,0,1.0012,0.2872,40.9401,0.714,40.2261
2024-07-02_05,1,5,J6,76000,0,0.9999,0.436,41.5245,0.5639,40.9606
2024-07-02_05,1,5,D4,-38000,38000,0.9976,0.3498,40.4558,0.6478,39.808
2024-07-02_05,1,5,H4,38000,38000,1.0016,0.3492,40.8764,0.6524,40.224
2024-07-02_05,1,5,F2,0,76000,0.9981,0.3944,42.6942,0.6037,42.0905
2024-07-02_06,1,6,F10,0,-76000,1.0029,0.4588,40.2343,0.5441,39.6902
2024-07-02_06,1,6,D8,-38000,-38000,0.9978,0.3804,39.4304,0.6174,38.813
2024-07-02_06,1,6,H8,38000,-38000,1.0005,0.3793,39.8002,0.6212,39.179
2024-07-02_06,1,6,B6,-76000,0,0.9951,0.4378,41.1235,0.5573,40.5662
2024-07-02_06,1,6,F6,0,0,1.0011,0.2867,41.1102,0.7144,40.3958
2024-07-02_06,1,6,J6,76000,0,0.9996,0.4361,41.6531,0.5635,41.0896
2024-07-02_06,1,6,D4,-38000,38000,0.9973,0.3502,40.6252,0.6471,39.9781
2024-07-02_06,1,6,H4,38000,38000,1.0044,0.3494,41.0404,0.655,40.3854
2024-07-02_06,1,6,F2,0,76000,0.9979,0.3948,42.8832,0.6031,42.2801
2024-07-02_07,1,7,F10,0,-76000,1.0021,0.4619,40.1235,0.5402,39.5833
2024-07-02_07,1,7,D8,-38000,-38000,0.9975,0.3829,39.3034,0.6146,38.6888
2024-07-02_07,1,7,H8,38000,-38000,1.0004,0.3826,39.6555,0.6178,39.0377
2024-07-02_07,1,7,B6,-76000,0,0.9945,0.4402,41.0131,0.5543,40.4588
2024-07-02_07,1,7,F6,0,0,1.0006,0.2899,40.8769,0.7107,40.1662
2024-07-02_07,1,7,J6,76000,0,0.9992,0.4398,41.4764,0.5594,40.917
2024-07-02_07,1,7,D4,-38000,38000,1.0001,0.3527,40.5432,0.6474,39.8958
2024-07-02_07,1,7,H4,38000,38000,1.0049,0.3528,40.904,0.6521,40.2519
2024-07-02_07,1,7,F2,0,76000,0.9977,0.3983,42.7811,0.5994,42.1817
2024-07-02_08,1,8,F10,0,-76000,1.0018,0.466,39.7405,0.5358,39.2047
2024-07-02_08,1,8,D8,-38000,-38000,0.9965,0.3872,39.0457,0.6093,38.4364
2024-07-02_08,1,8,H8,38000,-38000,1.0001,0.3894,39.2691,0.6107,38.6584
2024-07-02_08,1,8,B6,-76000,0,0.994,0.4424,40.7761,0.5516,40.2245
2024-07-02_08,1,8,F6,0,0,1.0005,0.2959,40.6769,0.7046,39.9723
2024-07-02_08,1,8,J6,76000,0,0.9989,0.4472,41.0315,0.5517,40.4798
2024-07-02_08,1,8,D4,-38000,38000,0.9982,0.358,40.1045,0.6402,39.4643
2024-07-02_08,1,8,H4,38000,38000,1.001,0.36,40.5131,0.641,39.8721
2024-07-02_08,1,8,F2,0,76000,0.9976,0.4034,42.4296,0.5942,41.8354
2024-07-02_09,1,9,F10,0,-76000,1.0017,0.4645,39.9816,0.5372,39.4444
2024-07-02_09,1,9,D8,-38000,-38000,0.9966,0.3853,39.2512,0.6113,38.6399
2024-07-02_09,1,9,H8,38000,-38000,0.9999,0.3866,39.5726,0.6133,38.9593
2024-07-02_09,1,9,B6,-76000,0,0.9936,0.4428,40.9215,0.5508,40.3707
2024-07-02_09,1,9,F6,0,0,1.0002,0.2929,40.9329,0.7073,40.2256
2024-07-02_09,1,9,J6,76000,0,0.9987,0.4432,41.376,0.5555,40.8205
2024-07-02_09,1,9,D4,-38000,38000,0.9968,0.3554,40.4661,0.6414,39.8247
2024-07-02_09,1,9,H4,38000,38000,1.0025,0.3565,40.8212,0.646,40.1752
2024-07-02_09,1,9,F2,0,76000,0.9972,0.4021,42.6505,0.5951,42.0554
2024-07-02_10,1,10,F10,0,-76000,1.0015,0.4643,39.9366,0.5372,39.3994
2024-07-02_10,1,10,D8,-38000,-38000,0.9961,0.3854,39.2227,0.6107,38.612
2024-07-02_10,1,10,H8,38000,-38000,0.9995,0.3874,39.5034,0.6121,38.8913
2024-07-02_10,1,10,B6,-76000,0,0.9933,0.4414,40.9167,0.5519,40.3648
2024-07-02_10,1,10,F6,0,0,1,0.2938,40.8909,0.7062,40.1847
2024-07-02_10,1,10,J6,76000,0,0.9985,0.4443,41.2872,0.5542,40.733
2024-07-02_10,1,10,D4,-38000,38000,0.998,0.3568,40.4435,0.6412,39.8023
2024-07-02_10,1,10,H4,38000,38000,0.9997,0.3585,40.7443,0.6412,40.1031
2024-07-02_10,1,10,F2,0,76000,0.9968,0.4027,42.6069,0.5941,42.0128
2024-07-05_01,2,1,F10,0,-76000,1.001,0.4504,40.7699,0.5506,40.2193
2024-07-05_01,2,1,D8,-38000,-38000,0.996,0.3653,39.9481,0.6307,39.3174
2024-07-05_01,2,1,H8,38000,-38000,0.9993,0.3712,40.0632,0.6281,39.4351
2024-07-05_01,2,1,B6,-76000,0,0.9935,0.4133,41.8243,0.5802,41.2441
