experiment_key,lot_number,wafer_number,X,Y,preox_thickness,postox_thickness,postox_thickness_nan,stepheight,oxide_etch,si_etch
2024-08-21_01,9,1,-19000,-95000,1.004026777,0.3112,0.3112,52.9234,0.692826777,52.6122
2024-08-21_01,9,1,0,-95000,1.0044,0.3262,0.3262,52.5226,0.6782,52.1964
2024-08-21_01,9,1,19000,-95000,1.003738746,0.3182,0.3182,52.9886,0.685538746,52.6704
2024-08-21_01,9,1,-57000,-76000,1.0052,0.3309,0.3309,52.6404,0.6743,52.3095
2024-08-21_01,9,1,-38000,-76000,1.00440522,0.2859,0.2859,46.7457,0.71850522,46.4598
2024-08-21_01,9,1,-19000,-76000,1.00379927,0.2621,0.2621,44.9053,0.74169927,44.6432
2024-08-21_01,9,1,0,-76000,1.003775264,0.21,0.21,44.4681,0.793775264,44.2581
2024-08-21_01,9,1,19000,-76000,1.003294217,0.2662,0.2662,44.7922,0.737094217,44.526
2024-08-21_01,9,1,38000,-76000,1.002820998,0.2873,0.2873,46.483,0.715520998,46.1957
2024-08-21_01,9,1,57000,-76000,1.0027,0.3225,0.3225,52.0907,0.6802,51.7682
2024-08-21_01,9,1,-76000,-57000,1.0052,0.3187,0.3187,52.1783,0.6865,51.8596
2024-08-21_01,9,1,-57000,-57000,1.004545865,0.2681,0.2681,45.0386,0.736445865,44.7705
2024-08-21_01,9,1,-38000,-57000,1.003905927,0.4107,0.4107,43.2528,0.593205927,42.8421
2024-08-21_01,9,1,-19000,-57000,1.00334813,0.3855,0.3855,42.8387,0.61784813,42.4532
2024-08-21_01,9,1,0,-57000,1.003097747,0.3776,0.3776,42.7776,0.625497747,42.4
2024-08-21_01,9,1,19000,-57000,1.002862389,0.3873,0.3873,42.7834,0.615562389,42.3961
2024-08-21_01,9,1,38000,-57000,1.002720409,0.4146,0.4146,43.1155,0.588120409,42.7009
2024-08-21_01,9,1,57000,-57000,1.002675001,0.2714,0.2714,44.7934,0.731275001,44.522
2024-08-21_01,9,1,76000,-57000,1.0027,0.3182,0.3182,51.7067,0.6845,51.3885
2024-08-21_01,9,1,-76000,-38000,1.003713657,0.2756,0.2756,46.0437,0.728113657,45.7681
2024-08-21_01,9,1,-57000,-38000,1.003465224,0.4027,0.4027,42.8583,0.600765224,42.4556
2024-08-21_01,9,1,-38000,-38000,1.003067879,0.3609,0.3609,42.3571,0.642167879,41.9962
2024-08-21_01,9,1,-19000,-38000,1.002830968,0.3337,0.3337,42.4894,0.669130968,42.1557
2024-08-21_01,9,1,0,-38000,1.00273323,0.3241,0.3241,42.5832,0.67863323,42.2591
2024-08-21_01,9,1,19000,-38000,1.002680636,0.3366,0.3366,42.4582,0.666080636,42.1216
2024-08-21_01,9,1,38000,-38000,1.0027,0.366,0.366,42.2796,0.6367,41.9136
2024-08-21_01,9,1,57000,-38000,1.002606023,0.4095,0.4095,42.6837,0.593106023,42.2742
2024-08-21_01,9,1,76000,-38000,1.002529599,0.2817,0.2817,45.6154,0.720829599,45.3337
2024-08-21_01,9,1,-95000,-19000,0.999866824,0.299,0.299,51.1072,0.700866824,50.8082
2024-08-21_01,9,1,-76000,-19000,1.001013157,0.2061,0.2061,43.8899,0.794913157,43.6838
2024-08-21_01,9,1,-57000,-19000,1.001920698,0.3695,0.3695,42.0858,0.632420698,41.7163
2024-08-21_01,9,1,-38000,-19000,1.002242967,0.3244,0.3244,42.1328,0.677842967,41.8084
