substrate,species,energy_eV,yield_si_per_ion,reported_regime,figure3_plot_status,source_record
SiO2,CF+,100,0.0200,deposition,plotted,active_yaml_value_with_inline_deposition_comment
SiO2,CF+,250,0.3250,deposition,plotted,active_yaml_value_with_inline_deposition_comment
SiO2,CF+,300,0.4125,deposition,plotted,active_yaml_value_with_inline_deposition_comment
SiO2,CF+,500,0.4950,not_declared,plotted,active_yaml_value
SiO2,CF+,750,0.6700,not_declared,plotted,active_yaml_value
SiO2,CF+,1000,0.7375,not_declared,plotted,active_yaml_value
SiO2,CF2+,25,0.0000,deposition,not_plotted,commented_yaml_value
SiO2,CF2+,50,0.0000,deposition,not_plotted,commented_yaml_value
SiO2,CF2+,75,0.2275,not_declared,plotted,active_yaml_value
SiO2,CF2+,100,0.5200,not_declared,plotted,active_yaml_value
SiO2,CF2+,250,0.6800,not_declared,plotted,active_yaml_value
SiO2,CF2+,500,0.9000,not_declared,plotted,active_yaml_value
SiO2,CF2+,750,0.9525,not_declared,plotted,active_yaml_value
SiO2,CF2+,1000,1.2350,not_declared,plotted,active_yaml_value
SiO2,CF3+,10,0.0000,deposition,not_plotted,commented_yaml_value
SiO2,CF3+,25,0.0775,not_declared,plotted,active_yaml_value
SiO2,CF3+,50,0.2675,not_declared,plotted,active_yaml_value
SiO2,CF3+,100,0.6100,not_declared,plotted,active_yaml_value
SiO2,CF3+,250,0.8950,not_declared,plotted,active_yaml_value
SiO2,CF3+,500,0.9300,not_declared,plotted,active_yaml_value
SiO2,CF3+,750,1.3375,not_declared,plotted,active_yaml_value
SiO2,CF3+,1000,1.4325,not_declared,plotted,active_yaml_value
SiO2,CHF2+,100,0.0000,deposition,not_plotted,commented_yaml_value
SiO2,CHF2+,250,0.4825,not_declared,plotted,active_yaml_value
SiO2,CHF2+,500,0.8300,not_declared,plotted,active_yaml_value
SiO2,CHF2+,750,1.0500,not_declared,plotted,active_yaml_value
SiO2,CHF2+,1000,1.1675,not_declared,plotted,active_yaml_value
Si3N4,CF2+,250,0.0550,not_declared,plotted,active_yaml_value
Si3N4,CF2+,500,0.1900,not_declared,plotted,active_yaml_value
Si3N4,CF2+,750,0.4750,not_declared,plotted,active_yaml_value
Si3N4,CF2+,1000,0.5850,not_declared,plotted,active_yaml_value
Si3N4,CHF2+,250,0.1225,not_declared,plotted,active_yaml_value
Si3N4,CHF2+,500,0.1700,not_declared,plotted,active_yaml_value
Si3N4,CHF2+,750,0.4050,not_declared,plotted,active_yaml_value
Si3N4,CHF2+,1000,0.5200,not_declared,plotted,active_yaml_value
