observation_id,observable,reduced_field_Td,value_si,si_unit,published_value,published_unit,relative_uncertainty_min,relative_uncertainty_max,source_table,source_pdf_page,source_print_page,measurement_method,gas_temperature_K_min,gas_temperature_K_max,pressure_Torr_min,pressure_Torr_max,supports_cross_section_validation,supports_reactor_state_prediction,supports_wafer_flux,supports_feature_depth
gonzalez_2018_cl2_W_100Td,electron_drift_velocity,100,8.930000e+4,m s^-1,8.93,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_120Td,electron_drift_velocity,120,9.970000e+4,m s^-1,9.97,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_140Td,electron_drift_velocity,140,1.124000e+5,m s^-1,11.24,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_160Td,electron_drift_velocity,160,1.146000e+5,m s^-1,11.46,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_180Td,electron_drift_velocity,180,1.255000e+5,m s^-1,12.55,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_200Td,electron_drift_velocity,200,1.363000e+5,m s^-1,13.63,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_220Td,electron_drift_velocity,220,1.438000e+5,m s^-1,14.38,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_240Td,electron_drift_velocity,240,1.512000e+5,m s^-1,15.12,10^6 cm s^-1,0.02,0.02,Table A1,6,5,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_260Td,electron_drift_velocity,260,1.627000e+5,m s^-1,16.27,10^6 cm s^-1,0.02,0.02,Table A1,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_270Td,electron_drift_velocity,270,1.660000e+5,m s^-1,16.60,10^6 cm s^-1,0.02,0.02,Table A1,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_280Td,electron_drift_velocity,280,1.710000e+5,m s^-1,17.10,10^6 cm s^-1,0.02,0.02,Table A1,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
gonzalez_2018_cl2_W_290Td,electron_drift_velocity,290,1.766000e+5,m s^-1,17.66,10^6 cm s^-1,0.02,0.02,Table A1,7,6,pulsed_townsend_transient,293,298,1.1,6.1,true,false,false,false
