effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
0.01,5.0519008189389903e-204,1.38900979287697e-157,0,0,5.3162182871097396e-38,1.1096299961202502e-34
0.03001001001001,8.5228515923650589e-78,1.1456774778010202e-62,0,0,1.57198544802045e-27,1.1005575156144199e-25
0.050020020020019998,1.3544030036515001e-52,1.87732768320833e-43,0,0,2.35330354751531e-24,5.4437835919917893e-23
0.070030030030029999,8.3508955824232097e-42,3.2881951132941202e-35,0,6.3915959374657104e-247,1.11369312711262e-22,1.4083761391251199e-21
0.090040040040040001,8.1619657161813484e-36,1.20883336363685e-30,6.7633174554914798e-265,1.50222884861156e-156,1.3196495581014101e-21,1.12588130057194e-20
0.11005005005005,5.2649635417738799e-32,9.4278271363937807e-28,9.6861377150898905e-183,1.00952161890957e-110,7.6442801299034897e-21,4.9202501547987297e-20
0.13006006006005999,2.2780975482716704e-29,9.2545256227998798e-26,1.73703372069846e-135,2.8209559713371497e-84,2.8927381161596501e-20,1.5031921549856999e-19
0.15007007007007001,1.9502974204082003e-27,2.6264924166410301e-24,7.8314783280202888e-106,1.33688217736397e-67,8.29559234653876e-20,3.6395488243366099e-19
0.17008008008007999,5.8558697004965695e-26,3.3472155673410495e-23,5.2464592780063295e-86,2.2256569097721297e-56,1.96243537967031e-19,7.5009402977742398e-19
0.19009009009009001,8.588531045963129e-25,2.4712153994626403e-22,4.2548158262163203e-72,1.9214484446617498e-48,4.0357498914693803e-19,1.3751360578316501e-18
0.2101001001001,7.5528739207251307e-24,1.2373075107377899e-21,5.7987355038404701e-62,1.30785900180672e-42,7.4672721949479206e-19,2.3080681223616e-18
0.23011011011011001,4.5520875649542094e-23,4.6552955640669602e-21,2.3812309414627098e-54,3.4162463063402904e-38,1.27278715234535e-18,3.6174052317054395e-18
0.25012012012012003,2.0590468558118299e-22,1.41113903253266e-20,1.7477744741860701e-48,9.0858669713709106e-35,2.0323796487651502e-18,5.3689388605107099e-18
0.27013013013012999,7.4513198358955499e-22,3.61898969824184e-20,7.2164620685021696e-44,4.6336554286373302e-32,3.0780015669369904e-18,7.6241964579190401e-18
0.29014014014014,2.2594596947056003e-21,8.13472321245643e-20,3.6036199771973896e-40,6.9487075997385009e-30,4.46256524957106e-18,1.0439473555632399e-17
0.31015015015015002,5.9413596522550697e-21,1.64507404698762e-19,3.6856672194513399e-37,4.1276838193017695e-28,6.2381919081302702e-18,1.3865303323886999e-17
0.33016016016015998,1.3904904201233902e-20,3.0526977599476002e-19,1.1201819476815999e-34,1.2017017104826299e-26,8.4552569344617605e-18,1.7946247776973099e-17
0.35017017017016999,2.9550244132158803e-20,5.2774271565178402e-19,1.3239428940668901e-32,2.0028766639711499e-25,1.1161668030438301e-17,2.2720917705749901e-17
