electron_energy_eV,a_3Pi_u_m2,A_1Pi_u_m2,b_3Pi_g_m2,B_1Pi_g_m2,C_1Delta_g_m2,c_3Sigma_g_minus_m2,D_1Sigma_g_plus_m2,e_3Sigma_u_plus_m2
0.02,0,0,0,0,0,0,0,0
0.040000000000000001,0,0,0,0,0,0,0,0
0.059999999999999998,0,0,0,0,0,0,0,0
0.080000000000000002,0,0,0,0,0,0,0,0
0.10000000000000001,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0
0.14000000000000001,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0
0.17999999999999999,0,0,0,0,0,0,0,0
0.20000000000000001,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0
0.23999999999999999,0,0,0,0,0,0,0,0
0.26000000000000001,0,0,0,0,0,0,0,0
0.28000000000000003,0,0,0,0,0,0,0,0
0.29999999999999999,0,0,0,0,0,0,0,0
0.32000000000000001,0,0,0,0,0,0,0,0
0.34000000000000002,0,0,0,0,0,0,0,0
0.35999999999999999,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0
0.40000000000000002,0,0,0,0,0,0,0,0
0.41999999999999998,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,0,0
0.46000000000000002,0,0,0,0,0,0,0,0
0.47999999999999998,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0
0.52000000000000002,0,0,0,0,0,0,0,0
0.54000000000000004,0,0,0,0,0,0,0,0
0.56000000000000005,0,0,0,0,0,0,0,0
0.57999999999999996,0,0,0,0,0,0,0,0
0.59999999999999998,0,0,0,0,0,0,0,0
0.62,0,0,0,0,0,0,0,0
0.64000000000000001,0,0,0,0,0,0,0,0
0.66000000000000003,0,0,0,0,0,0,0,0
0.68000000000000005,0,0,0,0,0,0,0,0
0.69999999999999996,0,0,0,0,0,0,0,0
0.71999999999999997,0,0,0,0,0,0,0,0
0.73999999999999999,0,0,0,0,0,0,0,0
0.76000000000000001,0,0,0,0,0,0,0,0
0.78000000000000003,0,0,0,0,0,0,0,0
0.80000000000000004,0,0,0,0,0,0,0,0
0.81999999999999995,0,0,0,0,0,0,0,0
0.83999999999999997,0,0,0,0,0,0,0,0
0.85999999999999999,0,0,0,0,0,0,0,0
0.88,0,0,0,0,0,0,0,0
0.90000000000000002,0,0,0,0,0,0,0,0
0.92000000000000004,0,0,0,0,0,0,0,0
0.93999999999999995,0,0,0,0,0,0,0,0
0.95999999999999996,0,0,0,0,0,0,0,0
