depth_into_mask_nm,aperture_nm
7.80,88.06
8.58,93.15
9.36,91.94
10.14,91.46
10.92,91.21
11.70,90.24
12.48,89.27
13.26,90.00
14.04,90.49
14.82,90.97
15.60,91.70
16.38,91.94
17.16,91.46
17.94,90.49
18.72,89.51
19.50,87.33
20.28,87.09
21.06,86.85
21.83,86.60
22.61,86.60
23.39,87.57
24.17,87.33
24.95,87.09
25.73,86.85
26.51,86.60
27.29,86.36
28.07,85.88
28.85,85.63
29.63,85.15
30.41,85.15
31.19,86.36
31.97,85.88
32.75,85.63
33.53,85.39
34.31,85.15
35.09,84.66
35.87,84.42
36.65,84.42
37.43,84.42
38.21,83.94
38.99,83.69
39.77,83.45
40.55,83.45
41.33,82.24
42.11,81.51
42.89,81.51
43.67,81.99
44.45,81.99
45.23,82.48
46.01,82.48
46.79,82.48
47.57,82.24
48.35,82.48
49.13,81.51
49.91,80.54
50.69,79.57
51.47,79.33
52.25,78.36
53.03,77.87
53.81,76.90
54.59,76.42
55.37,76.90
56.15,76.90
56.93,75.69
57.71,74.96
58.49,74.72
59.27,76.17
60.05,73.75
60.83,73.75
61.61,74.23
62.39,74.96
63.17,74.96
63.94,75.20
64.72,75.93
65.50,72.29
66.28,71.56
67.06,70.84
67.84,71.08
68.62,72.78
69.40,72.29
70.18,72.53
70.96,71.32
71.74,70.59
72.52,70.84
73.30,71.56
74.08,71.32
74.86,71.08
75.64,70.35
76.42,70.11
77.20,69.14
77.98,68.89
78.76,68.65
79.54,68.65
80.32,68.17
81.10,67.92
81.88,67.44
82.66,66.95
83.44,66.47
84.22,65.98
85.00,66.23
85.78,66.47
86.56,66.95
87.34,67.68
88.12,66.47
88.90,65.98
89.68,65.74
90.46,66.23
91.24,65.74
92.02,65.26
92.80,65.50
93.58,65.50
94.36,62.35
95.14,60.89
95.92,60.65
96.70,62.83
97.48,62.35
98.26,63.07
99.04,61.62
99.82,61.37
100.60,61.62
101.38,61.86
102.16,61.62
102.94,61.13
103.72,61.37
104.50,63.56
105.28,63.32
106.06,63.07
106.83,62.10
107.61,61.86
108.39,59.43
109.17,59.43
109.95,59.19
110.73,61.86
111.51,59.43
112.29,58.71
113.07,57.98
113.85,57.74
114.63,58.22
115.41,58.71
116.19,58.71
116.97,58.95
117.75,58.71
118.53,58.71
119.31,58.22
120.09,57.98
120.87,58.95
121.65,59.92
122.43,59.43
123.21,60.16
123.99,58.95
124.77,58.46
125.55,57.74
126.33,57.01
127.11,56.77
127.89,56.52
128.67,56.52
129.45,56.77
130.23,56.28
131.01,55.07
131.79,54.34
132.57,54.10
133.35,54.34
134.13,55.31
134.91,55.80
135.69,57.74
136.47,56.52
137.25,56.28
138.03,55.07
138.81,54.34
139.59,54.34
140.37,54.58
141.15,54.10
141.93,53.85
142.71,53.37
143.49,53.13
144.27,52.88
145.05,52.64
145.83,52.40
146.61,52.40
147.39,51.91
148.17,51.67
148.94,51.91
149.72,52.64
150.50,52.16
151.28,51.91
152.06,50.70
152.84,49.97
153.62,50.70
154.40,51.43
155.18,51.19
155.96,51.19
156.74,51.19
157.52,50.94
158.30,49.49
159.08,48.76
159.86,48.76
160.64,49.00
161.42,49.73
162.20,49.97
162.98,49.97
163.76,50.22
164.54,49.49
165.32,48.76
166.10,48.03
166.88,47.06
167.66,47.79
168.44,48.52
169.22,47.30
170.00,45.61
170.78,46.09
171.56,47.06
172.34,49.73
173.12,49.00
173.90,48.52
174.68,47.30
175.46,47.06
176.24,46.82
177.02,47.06
177.80,47.06
178.58,47.55
179.36,48.76
180.14,48.03
180.92,46.58
181.70,45.85
182.48,45.36
183.26,46.33
184.04,47.30
184.82,49.00
185.60,49.97
186.38,48.76
187.16,47.79
187.94,47.55
188.72,47.55
189.50,46.82
190.28,46.58
191.06,45.85
191.83,45.61
192.61,46.09
193.39,47.30
194.17,46.82
194.95,46.33
195.73,45.61
196.51,44.64
197.29,44.39
198.07,43.42
198.85,43.42
199.63,43.42
200.41,43.67
201.19,44.15
201.97,44.64
202.75,45.12
203.53,45.36
204.31,45.36
205.09,45.12
205.87,45.12
206.65,44.88
207.43,44.88
208.21,44.64
208.99,44.88
209.77,44.88
210.55,44.64
211.33,43.91
212.11,43.18
212.89,42.70
213.67,44.64
214.45,44.15
215.23,44.88
216.01,44.39
216.79,43.67
217.57,42.94
218.35,41.48
219.13,41.24
219.91,41.00
220.69,42.21
221.47,44.64
222.25,43.18
223.03,42.94
223.81,42.94
224.59,42.94
225.37,43.18
226.15,43.67
226.93,42.70
227.71,41.73
228.49,40.75
229.27,40.51
230.05,40.75
230.83,41.24
231.61,40.51
232.39,39.78
233.17,39.54
233.94,39.54
234.72,39.78
235.50,41.48
236.28,41.97
237.06,43.18
237.84,40.51
238.62,39.54
239.40,40.03
240.18,40.75
240.96,42.70
241.74,43.18
242.52,42.94
243.30,42.94
244.08,42.21
244.86,40.51
245.64,40.75
246.42,40.75
247.20,40.75
247.98,41.00
248.76,41.24
249.54,41.24
250.32,41.48
251.10,41.97
251.88,41.48
252.66,41.24
253.44,41.24
254.22,41.00
255.00,41.00
255.78,41.24
256.56,41.73
257.34,41.97
258.12,41.73
258.90,41.48
259.68,41.00
260.46,40.51
261.24,39.54
262.02,40.27
262.80,40.51
263.58,41.24
264.36,41.24
265.14,41.48
265.92,40.75
266.70,40.51
267.48,40.03
268.26,39.78
269.04,39.78
269.82,39.54
270.60,38.81
271.38,38.81
272.16,40.03
272.94,41.97
273.72,42.94
274.50,43.42
275.28,43.67
276.06,43.67
276.83,42.45
277.61,41.97
278.39,41.24
279.17,40.03
279.95,40.03
280.73,39.54
281.51,39.78
282.29,40.03
283.07,40.51
283.85,40.75
284.63,40.75
285.41,40.51
286.19,40.75
286.97,41.24
287.75,40.27
288.53,39.54
289.31,40.03
290.09,40.75
290.87,41.00
291.65,41.00
292.43,39.54
293.21,38.81
293.99,39.78
294.77,41.24
295.55,40.51
296.33,40.03
297.11,39.78
297.89,39.78
298.67,40.27
299.45,41.48
300.23,41.97
301.01,42.70
301.79,41.97
302.57,41.48
303.35,41.00
304.13,40.51
304.91,40.03
305.69,39.78
306.47,40.03
307.25,40.75
308.03,41.97
308.81,44.88
309.59,44.39
310.37,43.91
311.15,43.18
311.93,42.94
312.71,42.45
313.49,41.97
314.27,41.48
315.05,41.00
315.83,41.24
316.61,41.73
317.39,42.21
318.17,42.94
318.94,42.45
319.72,41.73
320.50,41.24
321.28,41.00
322.06,41.48
322.84,42.21
323.62,44.15
324.40,44.64
325.18,44.39
325.96,44.15
326.74,45.12
327.52,46.58
328.30,46.58
329.08,46.82
329.86,44.15
330.64,43.42
331.42,43.91
332.20,44.39
332.98,49.00
333.76,51.67
334.54,49.00
335.32,47.55
336.10,47.79
336.88,47.79
337.66,47.79
338.44,48.27
339.22,46.58
340.00,46.09
340.78,46.82
341.56,48.76
342.34,48.27
343.12,48.03
343.90,48.52
344.68,49.97
345.46,49.49
346.24,49.25
347.02,49.97
347.80,51.19
348.58,51.19
349.36,51.19
350.14,49.73
350.92,48.27
351.70,49.00
352.48,50.94
353.26,49.97
354.04,51.67
354.82,50.46
355.60,49.49
356.38,48.27
357.16,48.76
357.94,49.49
358.72,51.19
359.50,51.19
360.28,50.94
361.06,50.70
361.83,51.19
362.61,51.43
363.39,51.43
364.17,52.16
364.95,53.13
365.73,52.40
366.51,52.40
367.29,53.13
368.07,55.07
368.85,54.58
369.63,54.10
370.41,53.85
371.19,53.61
371.97,54.34
372.75,56.04
373.53,55.55
374.31,55.55
375.09,55.55
375.87,55.80
376.65,56.04
377.43,56.52
378.21,57.01
378.99,59.92
379.77,59.43
380.55,58.95
381.33,59.43
382.11,59.92
382.89,58.95
383.67,58.22
384.45,58.46
385.23,58.71
386.01,59.43
386.79,61.13
387.57,60.65
388.35,60.16
389.13,59.68
389.91,58.95
390.69,57.98
391.47,57.98
392.25,58.71
393.03,60.16
393.81,60.65
394.59,61.62
395.37,60.16
396.15,60.65
396.93,61.37
397.71,63.32
398.49,60.89
399.27,60.16
400.05,60.40
400.83,60.65
401.61,60.89
402.39,60.89
403.17,61.62
403.94,62.59
404.72,62.83
405.50,63.80
406.28,63.80
407.06,63.80
407.84,63.32
408.62,63.32
409.40,63.32
410.18,63.56
410.96,64.04
411.74,64.53
412.52,63.56
413.30,63.32
414.08,63.32
414.86,63.80
415.64,64.29
416.42,64.53
417.20,62.59
417.98,62.35
418.76,62.35
419.54,62.59
420.32,62.83
421.10,63.32
421.88,65.50
422.66,67.20
423.44,66.23
424.22,65.50
425.00,65.26
425.78,64.53
426.56,64.77
427.34,65.26
428.12,66.95
428.90,66.95
429.68,66.95
430.46,67.20
431.24,67.68
432.02,67.92
432.80,66.71
433.58,66.47
434.36,65.74
435.14,64.77
435.92,64.04
436.70,64.77
437.48,64.77
438.26,64.29
439.04,63.07
439.82,63.80
440.60,64.04
441.38,66.95
442.16,67.92
442.94,68.65
443.72,67.20
444.50,66.23
445.28,66.47
446.06,66.95
446.83,68.17
447.61,71.81
448.39,71.08
449.17,70.84
449.95,67.68
450.73,65.50
451.51,65.50
452.29,66.95
453.07,66.47
453.85,66.95
454.63,66.71
455.41,66.47
456.19,67.20
456.97,69.38
457.75,70.11
458.53,70.84
459.31,70.84
460.09,70.59
460.87,70.84
461.65,72.05
462.43,71.32
463.21,70.84
463.99,70.59
464.77,70.35
465.55,71.08
466.33,72.05
467.11,72.53
467.89,72.78
468.67,71.81
469.45,72.05
470.23,72.53
471.01,73.02
471.79,72.78
472.57,73.02
473.35,70.11
474.13,69.62
474.91,69.38
475.69,69.62
476.47,69.87
477.25,70.11
478.03,71.08
478.81,74.47
479.59,74.72
480.37,70.84
481.15,70.84
481.93,71.08
482.71,71.81
483.49,73.75
484.27,73.50
485.05,73.50
485.83,73.26
486.61,72.78
487.39,72.78
488.17,72.29
488.94,71.32
489.72,70.84
490.50,71.32
491.28,71.81
492.06,72.29
492.84,72.78
493.62,72.78
494.40,72.78
495.18,73.02
495.96,73.50
496.74,71.56
497.52,68.65
498.30,69.14
499.08,69.62
499.86,70.35
500.64,73.75
501.42,73.02
502.20,73.26
502.98,74.47
503.76,74.47
504.54,76.90
505.32,76.42
506.10,76.90
506.88,77.39
507.66,76.90
508.44,77.63
509.22,76.66
510.00,75.93
510.78,75.44
511.56,74.96
512.34,75.69
513.12,76.42
513.90,76.17
514.68,75.69
515.46,74.47
516.24,74.47
517.02,74.23
517.80,74.23
518.58,74.23
519.36,74.72
520.14,73.50
520.92,72.78
521.70,72.05
522.48,71.81
523.26,71.32
524.04,73.99
524.82,74.72
525.60,75.93
526.38,75.69
527.16,75.44
527.94,74.47
528.72,73.50
529.50,73.02
530.28,72.78
531.06,73.26
531.83,73.99
532.61,74.96
533.39,76.17
534.17,76.17
534.95,75.44
535.73,75.20
536.51,74.96
537.29,74.47
538.07,74.23
538.85,75.44
539.63,75.93
540.41,76.66
541.19,77.39
541.97,76.90
542.75,76.42
543.53,72.29
544.31,71.08
545.09,71.56
545.87,73.26
546.65,73.02
547.43,73.02
548.21,73.75
548.99,74.96
549.77,75.44
550.55,75.69
551.33,74.96
552.11,74.72
552.89,76.42
553.67,76.17
554.45,73.99
555.23,73.26
556.01,72.78
556.79,72.53
557.57,72.78
558.35,73.75
559.13,74.23
559.91,74.47
560.69,74.47
561.47,74.72
562.25,76.17
563.03,76.90
563.81,76.90
564.59,78.36
565.37,76.66
566.15,76.17
566.93,76.66
567.71,76.90
568.49,76.42
569.27,75.93
570.05,75.69
570.83,75.44
571.61,76.17
572.39,77.39
573.17,76.66
573.94,76.90
574.72,76.42
575.50,76.42
576.28,75.69
577.06,75.93
577.84,75.93
578.62,75.20
579.40,76.42
580.18,76.42
580.96,77.63
581.74,78.60
582.52,78.84
583.30,79.57
584.08,78.60
584.86,76.42
585.64,76.66
586.42,77.14
587.20,79.81
587.98,80.30
588.76,78.84
589.54,78.11
590.32,77.14
591.10,76.42
591.88,76.66
592.66,76.66
593.44,77.39
594.22,78.60
595.00,78.36
595.78,78.11
596.56,78.36
597.34,79.08
598.12,80.05
598.90,80.78
599.68,79.81
600.46,78.36
601.24,78.36
602.02,79.08
602.80,78.60
603.58,78.11
604.36,78.11
605.14,78.36
605.92,78.60
606.70,79.81
607.48,79.33
608.26,79.33
609.04,79.08
609.82,79.08
610.60,81.02
611.38,81.75
612.16,83.69
612.94,84.42
613.72,83.45
614.50,81.27
615.28,79.81
616.06,79.08
616.83,78.36
617.61,77.87
618.39,77.87
619.17,77.87
619.95,77.39
620.73,76.66
621.51,76.90
622.29,77.14
623.07,78.11
623.85,79.81
624.63,81.75
625.41,81.99
626.19,80.05
626.97,78.84
627.75,78.60
628.53,78.60
629.31,78.36
630.09,78.11
630.87,78.11
631.65,78.84
632.43,79.08
633.21,79.33
633.99,80.05
634.77,81.75
635.55,81.02
636.33,80.30
637.11,79.81
637.89,79.57
638.67,80.05
639.45,81.02
640.23,80.78
641.01,80.54
641.79,81.27
642.57,82.24
643.35,84.18
644.13,84.18
644.91,83.69
645.69,83.45
646.47,83.45
647.25,83.21
648.03,81.75
648.81,81.51
649.59,81.99
650.37,82.72
651.15,81.27
651.93,80.30
652.71,81.27
653.49,81.99
654.27,82.24
655.05,82.48
655.83,81.75
656.61,81.51
657.39,82.48
658.17,84.66
658.94,83.94
659.72,83.45
660.50,81.02
661.28,80.54
662.06,81.02
662.84,83.69
663.62,82.96
664.40,82.72
665.18,82.72
665.96,83.94
666.74,84.18
667.52,84.91
668.30,85.88
669.08,81.99
669.86,80.78
670.64,80.05
671.42,80.30
672.20,80.54
672.98,80.54
673.76,80.54
674.54,81.51
675.32,82.48
676.10,83.45
676.88,83.45
677.66,82.96
678.44,84.42
679.22,83.21
680.00,82.96
680.78,82.48
681.56,81.75
682.34,81.02
683.12,80.78
683.90,82.24
684.68,85.39
685.46,85.39
686.24,85.39
687.02,85.15
687.80,84.91
688.58,83.45
689.36,82.48
690.14,82.72
690.92,82.96
691.70,82.96
692.48,83.21
693.26,83.45
694.04,83.94
694.82,83.21
695.60,82.72
696.38,84.18
697.16,84.42
697.94,85.39
698.72,87.09
699.50,85.15
700.28,83.94
701.06,84.66
701.83,84.91
702.61,84.66
703.39,84.91
704.17,84.91
704.95,85.88
705.73,85.15
706.51,84.66
707.29,84.91
708.07,85.39
708.85,85.39
709.63,85.88
710.41,86.12
711.19,86.12
711.97,84.66
712.75,84.18
713.53,84.42
714.31,85.39
715.09,86.12
715.87,86.60
716.65,84.66
717.43,83.69
718.21,83.69
718.99,83.45
719.77,82.72
720.55,82.24
721.33,83.21
722.11,84.42
722.89,84.42
723.67,84.42
724.45,85.63
725.23,86.85
726.01,85.63
726.79,85.15
727.57,84.91
728.35,84.66
729.13,85.15
729.91,86.36
730.69,85.88
731.47,85.39
732.25,84.91
733.03,84.66
733.81,84.66
734.59,85.15
735.37,86.36
736.15,88.06
736.93,86.85
737.71,83.69
738.49,83.94
739.27,83.94
740.05,85.88
740.83,86.60
741.61,86.60
742.39,86.12
743.17,86.12
743.94,87.09
744.72,85.88
745.50,85.15
746.28,84.66
747.06,84.66
747.84,84.91
748.62,85.39
749.40,84.18
750.18,83.69
750.96,83.69
751.74,84.18
752.52,84.91
753.30,86.60
754.08,87.57
754.86,90.00
755.64,89.51
756.42,89.03
757.20,87.57
757.98,86.36
758.76,86.60
759.54,86.60
760.32,86.85
761.10,87.33
761.88,85.88
762.66,85.63
763.44,86.12
764.22,87.82
765.00,87.33
765.78,88.54
766.56,87.82
767.34,87.09
768.12,87.09
768.90,86.60
769.68,86.85
770.46,86.60
771.24,88.30
772.02,88.79
772.80,87.82
773.58,87.33
774.36,87.33
775.14,87.33
775.92,86.36
776.70,85.88
777.48,85.63
778.26,85.15
779.04,85.39
779.82,85.39
780.60,85.88
781.38,86.60
782.16,86.36
782.94,86.60
783.72,87.09
784.50,88.79
785.28,85.88
786.06,84.91
786.83,85.88
787.61,87.33
788.39,87.57
789.17,87.57
789.95,89.03
790.73,90.00
791.51,88.54
792.29,87.82
793.07,88.06
793.85,88.79
794.63,88.79
795.41,88.79
796.19,88.06
796.97,87.82
797.75,88.06
798.53,88.54
799.31,87.33
800.09,86.85
800.87,86.60
801.65,86.60
802.43,87.82
803.21,89.51
803.99,89.51
804.77,89.51
805.55,89.27
806.33,90.00
807.11,89.76
807.89,89.51
808.67,90.00
809.45,90.24
810.23,90.97
811.01,92.18
811.79,92.67
812.57,93.88
813.35,93.88
814.13,100.19
814.91,99.95
815.69,94.85
816.47,93.64
817.25,93.15
818.03,91.94
818.81,90.49
819.59,91.21
820.37,90.97
821.15,89.03
821.93,88.30
822.71,88.79
823.49,89.03
824.27,89.27
825.05,90.00
825.83,90.00
826.61,90.00
827.39,90.00
828.17,90.24
828.94,90.00
829.72,89.76
830.50,90.00
831.28,90.97
832.06,90.49
832.84,90.00
833.62,90.73
834.40,91.46
835.18,91.94
835.96,92.18
836.74,92.18
837.52,91.70
838.30,91.70
839.08,91.94
839.86,91.94
840.64,92.43
841.42,92.67
