depth_into_mask_nm,aperture_nm
15.02,46.86
15.62,48.06
16.22,49.86
16.82,66.08
17.42,91.91
18.02,40.25
18.62,37.24
19.22,33.04
19.82,32.44
20.42,31.84
21.02,31.24
21.63,30.64
22.23,30.64
22.83,30.04
23.43,29.43
24.03,28.83
24.63,28.23
25.23,27.63
25.83,27.63
26.43,27.03
27.03,27.63
27.63,28.83
28.23,30.04
28.83,30.04
29.43,29.43
30.04,30.64
30.64,31.84
31.24,32.44
31.84,33.04
32.44,34.24
33.04,35.44
33.64,36.64
34.24,38.45
34.84,93.71
35.44,93.11
36.04,93.11
36.64,92.51
37.24,92.51
37.84,91.91
38.45,91.31
39.05,90.71
39.65,90.71
40.25,90.71
40.85,90.71
41.45,89.51
42.05,89.51
42.65,88.90
43.25,88.90
43.85,88.30
44.45,87.70
45.05,87.10
45.65,87.10
46.25,86.50
46.86,85.90
47.46,85.90
48.06,84.70
48.66,84.70
49.26,84.70
49.86,84.70
50.46,84.70
51.06,84.10
51.66,84.10
52.26,84.10
52.86,84.10
53.46,84.10
54.06,84.10
54.66,84.10
55.27,84.10
55.87,83.50
56.47,83.50
57.07,82.90
57.67,82.90
58.27,82.90
58.87,82.30
59.47,82.30
60.07,82.30
60.67,81.70
61.27,81.70
61.87,81.10
62.47,80.49
63.07,80.49
63.67,80.49
64.28,79.89
64.88,79.89
65.48,79.89
66.08,79.89
66.68,78.69
67.28,78.69
67.88,78.69
68.48,78.69
69.08,78.69
69.68,77.49
70.28,78.09
70.88,78.09
71.48,77.49
72.08,77.49
72.69,76.89
73.29,76.89
73.89,77.49
74.49,76.89
75.09,76.89
75.69,76.89
76.29,76.89
76.89,76.89
77.49,76.29
78.09,75.69
78.69,75.69
79.29,75.69
79.89,75.09
80.49,75.09
81.10,74.49
81.70,73.89
82.30,73.89
82.90,73.89
83.50,73.89
84.10,73.29
84.70,73.29
85.30,72.08
85.90,72.08
86.50,71.48
87.10,71.48
87.70,70.88
88.30,70.28
88.90,70.28
89.51,70.28
90.11,69.68
90.71,69.68
91.31,69.08
91.91,69.08
92.51,69.08
93.11,68.48
93.71,68.48
94.31,67.88
94.91,67.28
95.51,67.28
96.11,67.28
96.71,67.28
97.31,66.68
97.92,66.68
98.52,66.68
99.12,66.08
99.72,66.08
100.32,65.48
100.92,65.48
101.52,65.48
102.12,64.88
102.72,64.88
103.32,64.88
103.92,64.88
104.52,64.88
105.12,64.88
105.72,65.48
106.33,65.48
106.93,64.88
107.53,64.88
108.13,64.88
108.73,64.88
109.33,63.67
109.93,63.67
110.53,63.67
111.13,63.07
111.73,62.47
112.33,62.47
112.93,62.47
113.53,62.47
114.13,61.87
114.73,61.87
115.34,61.87
115.94,61.87
116.54,61.27
117.14,60.67
117.74,60.07
118.34,60.07
118.94,60.07
119.54,59.47
120.14,59.47
120.74,59.47
121.34,59.47
121.94,58.87
122.54,58.87
123.14,59.47
123.75,59.47
124.35,59.47
124.95,58.87
125.55,58.87
126.15,58.87
126.75,58.27
127.35,58.27
127.95,58.27
128.55,57.67
129.15,57.07
129.75,57.07
130.35,57.07
130.95,57.07
131.55,56.47
132.16,56.47
132.76,56.47
133.36,56.47
133.96,56.47
134.56,56.47
135.16,56.47
135.76,55.87
136.36,55.27
136.96,55.27
137.56,55.27
138.16,54.66
138.76,54.06
139.36,54.06
139.96,53.46
140.57,53.46
141.17,53.46
141.77,53.46
142.37,52.86
142.97,52.86
143.57,52.26
144.17,51.66
144.77,51.66
145.37,51.66
145.97,51.66
146.57,51.06
147.17,51.06
147.77,51.06
148.37,51.06
148.98,49.86
149.58,49.86
150.18,49.86
150.78,49.26
151.38,49.26
151.98,49.26
152.58,49.26
153.18,49.26
153.78,49.26
154.38,48.66
154.98,48.66
155.58,48.66
156.18,48.66
156.78,48.66
157.39,48.06
157.99,48.06
158.59,48.06
159.19,47.46
159.79,47.46
160.39,46.86
160.99,46.86
161.59,46.86
162.19,46.86
162.79,46.86
163.39,46.86
163.99,46.86
164.59,46.86
165.19,46.25
165.80,46.25
166.40,46.25
167.00,46.25
167.60,46.25
168.20,45.65
168.80,45.65
169.40,45.65
170.00,45.05
170.60,45.05
171.20,45.05
171.80,44.45
172.40,44.45
173.00,44.45
173.60,44.45
174.20,44.45
174.81,44.45
175.41,43.85
176.01,43.85
176.61,43.85
177.21,43.85
177.81,43.85
178.41,43.25
179.01,42.65
179.61,42.65
180.21,42.05
180.81,41.45
181.41,41.45
182.01,41.45
182.61,40.85
183.22,40.85
183.82,40.85
184.42,40.85
185.02,40.85
185.62,40.85
186.22,40.85
186.82,40.85
187.42,41.45
188.02,41.45
188.62,41.45
189.22,41.45
189.82,41.45
190.42,40.85
191.02,40.85
191.63,40.85
192.23,40.85
192.83,40.85
193.43,40.85
194.03,40.85
194.63,40.25
195.23,40.25
195.83,40.25
196.43,39.65
197.03,39.65
197.63,39.65
198.23,39.65
198.83,39.65
199.43,39.65
200.04,39.05
200.64,39.05
201.24,39.05
201.84,39.05
202.44,39.05
203.04,39.65
203.64,39.65
204.24,39.65
204.84,39.65
205.44,40.25
206.04,40.25
206.64,40.25
207.24,40.85
207.84,40.85
208.45,40.85
209.05,41.45
209.65,41.45
210.25,41.45
210.85,41.45
211.45,41.45
212.05,40.85
212.65,40.85
213.25,40.25
213.85,40.25
214.45,40.85
215.05,42.05
215.65,43.25
216.25,45.05
216.86,46.25
217.46,48.66
218.06,49.26
218.66,49.86
219.26,50.46
219.86,51.06
220.46,52.26
221.06,52.26
221.66,53.46
222.26,53.46
222.86,54.06
223.46,54.66
224.06,54.66
224.66,56.47
225.27,57.07
225.87,57.67
226.47,58.27
227.07,58.87
227.67,59.47
228.27,59.47
228.87,60.07
229.47,60.67
230.07,61.27
230.67,61.87
231.27,62.47
231.87,63.07
232.47,63.07
233.07,64.28
233.67,64.28
234.28,64.88
234.88,65.48
235.48,66.08
236.08,66.68
236.68,67.28
237.28,67.28
237.88,68.48
238.48,68.48
239.08,69.08
239.68,69.08
240.28,69.68
240.88,69.68
241.48,70.28
242.08,70.28
242.69,70.28
243.29,70.88
243.89,70.88
244.49,71.48
245.09,72.69
245.69,72.69
246.29,73.29
246.89,73.29
247.49,73.89
248.09,73.89
248.69,73.89
249.29,73.89
249.89,74.49
250.49,74.49
251.10,75.09
251.70,75.69
252.30,75.69
252.90,76.29
253.50,76.89
254.10,76.89
254.70,77.49
255.30,77.49
255.90,78.09
256.50,78.09
257.10,78.09
257.70,78.09
258.30,78.09
258.90,78.69
259.51,79.29
260.11,79.29
260.71,79.29
261.31,79.29
261.91,79.89
262.51,79.89
263.11,80.49
263.71,80.49
264.31,80.49
264.91,81.70
265.51,81.70
266.11,82.30
266.71,82.90
267.31,82.90
267.92,82.90
268.52,83.50
269.12,83.50
269.72,83.50
270.32,84.10
270.92,84.70
271.52,84.70
272.12,84.70
272.72,84.70
273.32,84.70
273.92,84.70
274.52,85.30
275.12,85.30
275.72,85.30
276.33,85.30
276.93,85.30
277.53,85.90
278.13,85.90
278.73,85.90
279.33,85.90
279.93,85.90
280.53,85.90
281.13,85.90
281.73,86.50
282.33,86.50
282.93,86.50
283.53,86.50
284.13,86.50
284.73,87.10
285.34,87.10
285.94,87.10
286.54,87.10
287.14,87.10
287.74,86.50
288.34,86.50
288.94,86.50
289.54,86.50
290.14,86.50
290.74,86.50
291.34,86.50
291.94,86.50
292.54,86.50
293.14,85.90
293.75,85.90
294.35,85.30
294.95,84.70
295.55,84.70
296.15,84.10
296.75,83.50
297.35,82.90
297.95,82.90
298.55,82.90
299.15,82.90
299.75,82.90
300.35,83.50
300.95,83.50
301.55,83.50
302.16,84.10
302.76,84.10
303.36,84.70
303.96,84.70
304.56,85.90
305.16,86.50
305.76,87.10
306.36,87.10
306.96,88.30
307.56,88.90
308.16,89.51
308.76,90.11
309.36,90.71
309.96,90.71
310.57,90.71
311.17,90.11
311.77,90.11
312.37,90.11
312.97,90.11
313.57,90.11
314.17,89.51
314.77,89.51
315.37,89.51
315.97,89.51
316.57,90.11
317.17,90.11
317.77,89.51
318.37,89.51
318.98,89.51
319.58,89.51
320.18,89.51
320.78,89.51
321.38,89.51
321.98,90.11
322.58,90.11
323.18,90.71
323.78,90.71
324.38,90.71
324.98,90.71
325.58,90.71
326.18,91.31
326.78,91.31
327.39,90.71
327.99,90.71
328.59,90.71
329.19,90.71
329.79,90.11
330.39,90.11
330.99,90.11
331.59,89.51
332.19,90.11
332.79,90.11
333.39,90.11
333.99,90.11
334.59,90.11
335.19,90.11
335.80,90.71
336.40,90.71
337.00,90.71
337.60,91.31
338.20,91.31
338.80,91.31
339.40,91.31
340.00,91.31
340.60,91.31
341.20,91.31
341.80,91.91
342.40,91.91
343.00,91.91
343.60,91.91
344.20,91.31
344.81,91.31
345.41,91.91
346.01,91.31
346.61,91.31
347.21,91.31
347.81,90.71
348.41,90.71
349.01,90.71
349.61,90.11
350.21,90.11
350.81,90.11
351.41,89.51
352.01,88.90
352.61,88.30
353.22,88.30
353.82,88.30
354.42,87.70
355.02,87.70
355.62,87.70
356.22,87.70
356.82,87.70
357.42,87.70
358.02,87.70
358.62,87.70
359.22,87.70
359.82,87.70
360.42,87.70
361.02,88.30
361.63,88.30
362.23,88.30
362.83,88.30
363.43,88.90
364.03,88.90
364.63,89.51
365.23,89.51
365.83,90.11
366.43,90.11
367.03,90.71
367.63,90.71
368.23,90.71
368.83,91.31
369.43,91.31
370.04,91.91
370.64,91.31
371.24,91.31
371.84,91.31
372.44,91.91
373.04,91.91
373.64,91.31
374.24,91.31
374.84,91.31
375.44,91.31
376.04,91.91
376.64,91.31
377.24,91.31
377.84,90.71
378.45,90.71
379.05,90.71
379.65,90.71
380.25,90.71
380.85,90.71
381.45,90.71
382.05,90.71
382.65,90.71
383.25,91.31
383.85,91.31
384.45,91.31
385.05,91.31
385.65,91.31
386.25,91.31
386.86,91.31
387.46,91.31
388.06,91.31
388.66,91.31
389.26,91.31
389.86,91.91
390.46,91.91
391.06,91.91
391.66,91.91
