species,region,incident_rate_s,mean_energy_eV,energy_p10_eV,energy_p50_eV,energy_p90_eV,energy_p99_eV,mean_cosine_incidence,sobolewski2021_kinetic_see_mean_yield,rate_fraction_energy_ge_10_eV,rate_fraction_energy_ge_25_eV,rate_fraction_energy_ge_50_eV,rate_fraction_energy_ge_100_eV
electron,top,516768478.37697023,8.01089760116713,2.0837395977979014,6.911490275047619,15.648378770268586,26.00866316478585,0.6646746014001015,,0.28800157066566884,0.01484155047794335,4.2941946783466223e-05,2.303683509796577e-10
electron,upper_wall,87326062.80257824,14.370071953450026,3.1724952232337675,9.688336714713339,37.886297769771076,51.9277680958269,0.5294884949244409,,0.46960572720782384,0.15201945646681153,0.033089056611128737,3.7402256746759124e-08
electron,lower_wall,182352892.6901136,49.80573964585517,42.091520620326605,49.000796878801886,57.47204158702844,68.42920138596577,0.6464531347821221,,1.0,1.0,0.47762540369285983,2.824328816281452e-06
electron,floor,317615220.95258886,41.09229327921587,32.980335040097216,40.736188372223594,49.000796878801886,62.56041347097782,0.9020236533938704,,1.0,1.0,0.05438655159695601,1.1989761530663043e-06
electron,all,1104062654.8222508,24.933747696071155,3.246596687226479,17.838048066624687,49.727315089811526,64.5365571358179,0.7192527213625189,,0.6247897828076019,0.47181472666190627,0.09717029934815075,8.1446722278511e-07
Ar+,top,551342773.4375,108.81441714458215,107.06331634521484,108.84965515136719,110.56136322021484,111.50817108154297,0.9997509866009324,0.06545747844686257,1.0,1.0,1.0,1.0
Ar+,upper_wall,67818069.07922961,92.72989122373475,75.63188171386719,91.73588562011719,112.12127685546875,113.39081573486328,0.0644642130911022,0.0517714730339225,1.0,1.0,1.0,0.32201406780544556
Ar+,lower_wall,183553556.5875488,67.47636550462673,64.04761505126953,67.2555923461914,71.21788024902344,74.14114379882812,0.6007121692946488,0.03124419880580575,1.0,1.0,1.0,0.0
Ar+,floor,300378417.96875,73.677141633799,68.99797821044922,74.09217071533203,77.6500244140625,79.42472076416016,0.8745425603034831,0.03599187580980565,1.0,1.0,1.0,0.0
Ar+,all,1103092817.0730283,91.37885159388371,67.54000091552734,106.24565887451172,110.12784576416016,111.7054443359375,0.8417549925576828,0.05089935742819796,1.0,1.0,1.0,0.5196127985433767
