dx_um,basis,active_count,rms_relative_imbalance,maximum_relative_imbalance,throughput_weighted_rms_relative_imbalance,global_relative_imbalance
0.25,raw-face,40,0.4383984941877894,0.9066362516810536,0.20181132326335996,0.038984419111921756
0.25,compatible-node,42,0.20136054208512139,0.5642949280118763,0.10526681617254664,0.03898441911192183
0.25,patch-0.25um,12,0.3959837984628616,0.7235852540122734,0.18378748027010344,0.038984419111921756
0.25,patch-0.5um,8,0.15180611902956673,0.281636324741089,0.10955869300367543,0.038984419111921756
0.25,patch-1um,6,0.1751283054604844,0.281636324741089,0.10948222753796549,0.038984419111921756
0.125,raw-face,176,0.5317666967013184,1.0,0.27156939345658526,0.037808076000231804
0.125,compatible-node,135,0.34645153237508614,0.8923993635245013,0.1819841834688378,0.037808076000231644
0.125,patch-0.25um,12,0.4086383088490197,0.6528457709261454,0.1887416511016978,0.03780807600023172
0.125,patch-0.5um,8,0.16483846577513758,0.27149928449435623,0.11615121484642817,0.037808076000231734
0.125,patch-1um,6,0.19025866456635993,0.27149928449435623,0.11614874786567798,0.03780807600023158
