dx_um,patch_width_um,patch,positive_current_a,negative_current_a,signed_relative_imbalance,net_current_stderr_a,relative_two_sigma_half_width,resolved_outside_contract
0.25,0.25,floor:0.250-0.500um,1.439259991406986e-11,1.4761831134263036e-11,-0.012664669037137267,7.587202735697326e-13,0.05204836769490774,False
0.25,0.25,floor:0.500-0.750um,1.516708959554448e-11,1.3344526774848186e-11,0.06392351794508919,1.5132505140588886e-12,0.10614975274641351,False
0.25,0.25,left-wall:0.500-0.750um,2.2825932001237932e-11,1.6226507253885678e-11,0.1689887974535783,1.2858151746985833e-12,0.06585069712539847,True
0.25,0.25,left-wall:0.750-1.000um,2.6786661321138612e-12,1.4624153933326875e-12,0.2937036451244511,3.294319946809539e-13,0.15910432704916622,True
0.25,0.25,left-wall:1.000-1.250um,2.6246594761083998e-12,8.805946996723773e-13,0.49755729227468676,3.6141374424074965e-14,0.02062125746759843,True
0.25,0.25,left-wall:1.250-1.500um,1.0326529086328128e-12,5.189853838401997e-12,-0.6680910280652089,9.74349543207738e-15,0.003131694613821163,True
0.25,0.25,right-wall:0.500-0.750um,2.2245064740131968e-11,1.7519926674404913e-11,0.11882658332474044,1.0298591339372696e-12,0.05179727681574624,False
0.25,0.25,right-wall:0.750-1.000um,3.033417919108888e-12,1.0449345555565658e-12,0.4875702568389303,2.909814057029381e-13,0.14269556518741416,True
0.25,0.25,right-wall:1.000-1.250um,2.5170914647924816e-12,9.288085327369328e-13,0.46091962424745064,2.7176656224319124e-14,0.015773328444704606,True
0.25,0.25,right-wall:1.250-1.500um,9.035712950537111e-13,5.365926117871406e-12,-0.7117563863441686,1.9509488125291e-14,0.006223621078484054,True
0.25,0.25,top:0.000-0.250um,4.4038343832736375e-11,4.2501793063996886e-11,0.017755354033851672,1.524205851900746e-14,0.00035225408846291807,False
0.25,0.25,top:0.750-1.000um,4.4188939048578656e-11,4.335909433352019e-11,0.009478736220568768,6.678602380584941e-15,0.00015257001494109015,False
0.25,0.5,floor:0.000-0.500um,1.439259991406986e-11,1.4761831134263036e-11,-0.012664669037137267,7.587202735697326e-13,0.05204836769490774,False
0.25,0.5,floor:0.500-1.000um,1.516708959554448e-11,1.3344526774848186e-11,0.06392351794508919,1.5132505140588886e-12,0.10614975274641351,False
