reduced_electric_field_Td,measured_legacy_pt_Wv_m_s,petch_flux_drift_m_s,bolsig_flux_drift_m_s,bolsig_bulk_drift_m_s,bolsig_mean_energy_eV,bolsig_flux_mobility_times_N_m_inv_V_inv_s_inv,bolsig_bulk_mobility_times_N_m_inv_V_inv_s_inv
121.401337,97716.4577,95379.9073927564,95603.55288749999,126135.98914299998,0.9403,7.875e+23,1.039e+24
140.066818,111366.258,109634.57168638112,109854.4053574,137097.4014584,1.281,7.843e+23,9.788e+23
159.763701,127588.336,122151.82413150146,122347.04222579999,144937.6295472,1.622,7.658e+23,9.072e+23
179.129679,140918.582,132679.06526692022,132842.5699464,151257.10094759997,1.925,7.416e+23,8.444e+23
196.299456,165723.003,141085.87413746316,141217.82864639998,156588.07605119998,2.167,7.194e+23,7.977e+23
229.086677,181132.848,155886.093690421,155985.1183693,167118.73087149998,2.572,6.809e+23,7.295e+23
255.390533,193876.82,167243.8929085638,167331.8772216,176168.38966339998,2.855,6.552e+23,6.898e+23
298.047534,208605.617,185406.28024107605,185474.98040819998,191972.4166494,3.253,6.223e+23,6.441e+23
349.824918,235271.346,207350.3577129563,207411.1938822,212413.69020959997,3.661,5.929e+23,6.072e+23
401.308227,254472.34,228986.99816982847,229026.60514889995,233400.86482319998,4.009,5.707e+23,5.816e+23
449.953358,270955.406,249098.6650452848,249139.17432459994,253413.73122559997,4.299,5.537e+23,5.632e+23
501.617248,291539.853,269968.62554262904,269970.4028736,274585.2815552,4.575,5.382e+23,5.474e+23
595.534071,328806.935,306370.2660013248,306342.72612239997,312357.62023949996,5.021,5.144e+23,5.245e+23
698.991383,363160.212,344044.55795490183,344043.5587126,352641.15272350004,5.46,4.922e+23,5.045e+23
797.28698,399010.31,377579.53874727973,377595.1137279999,389873.33322,5.85,4.736e+23,4.89e+23
893.931224,427083.498,408614.35018433485,408615.9624904,425779.4419912,6.222,4.571e+23,4.763e+23
996.572893,459528.976,439737.387928912,439687.9603915999,463605.70982359996,6.617,4.412e+23,4.652e+23
1196.77406,548961.314,496006.73116070527,495943.17046399997,537830.262564,7.415,4.144e+23,4.494e+23
