step=1 t=0.306s dt=0.3064s depth=6.751nm mask_opening=88.084nm wall=370.00s
step=2 t=0.460s dt=0.1532s depth=10.120nm mask_opening=87.588nm wall=52.05s
step=3 t=0.603s dt=0.1432s depth=13.268nm mask_opening=87.149nm wall=48.28s
step=4 t=0.746s dt=0.143s depth=16.409nm mask_opening=86.725nm wall=48.47s
step=5 t=0.889s dt=0.1432s depth=19.559nm mask_opening=86.299nm wall=49.84s
step=6 t=1.032s dt=0.1432s depth=22.740nm mask_opening=85.911nm wall=49.68s
step=7 t=1.174s dt=0.1416s depth=25.845nm mask_opening=85.540nm wall=50.03s
step=8 t=1.317s dt=0.1434s depth=28.994nm mask_opening=85.124nm wall=47.78s
step=9 t=1.461s dt=0.1433s depth=32.148nm mask_opening=84.709nm wall=46.85s
step=10 t=1.604s dt=0.143s depth=35.302nm mask_opening=84.302nm wall=49.37s
step=11 t=1.746s dt=0.1424s depth=38.465nm mask_opening=83.911nm wall=46.07s
step=12 t=1.887s dt=0.1415s depth=41.579nm mask_opening=83.543nm wall=44.93s
step=13 t=2.030s dt=0.1429s depth=44.700nm mask_opening=83.194nm wall=43.60s
step=14 t=2.174s dt=0.1434s depth=47.836nm mask_opening=82.871nm wall=43.71s
step=15 t=2.317s dt=0.1434s depth=50.981nm mask_opening=82.534nm wall=40.42s
step=16 t=2.460s dt=0.1433s depth=54.092nm mask_opening=82.142nm wall=39.91s
step=17 t=2.604s dt=0.1435s depth=57.220nm mask_opening=81.753nm wall=38.28s
step=18 t=2.747s dt=0.1433s depth=60.384nm mask_opening=81.370nm wall=39.11s
step=19 t=2.890s dt=0.1423s depth=63.489nm mask_opening=80.999nm wall=37.03s
step=20 t=3.033s dt=0.1431s depth=66.596nm mask_opening=80.643nm wall=38.17s
step=21 t=3.176s dt=0.143s depth=69.722nm mask_opening=80.303nm wall=37.24s
step=22 t=3.319s dt=0.1434s depth=72.835nm mask_opening=79.979nm wall=37.45s
step=23 t=3.462s dt=0.1434s depth=75.903nm mask_opening=79.676nm wall=36.75s
step=24 t=3.606s dt=0.1435s depth=79.015nm mask_opening=79.394nm wall=35.07s
step=25 t=3.750s dt=0.1436s depth=82.117nm mask_opening=79.134nm wall=34.73s
