wall_energy_factor_Te,pressure_mTorr,reference_electron_temperature_eV,reference_strokes_overlap,model_electron_temperature_eV,percent_error,electron_density_m3,metastable_density_m3,axial_ion_flux_m2_s,ion_mean_free_path_m,ambipolar_diffusion_m2_s,metastable_effective_diffusion_m2_s,maximum_normalized_residual,absorbed_power_source,absorbed_power_evidence,absorbed_power_boundary_kind,supports_prediction
5.0,0.4,6.914648718996029,False,7.190520140451448,3.9896664699327564,2.510920655713785e+17,9.077782009216298e+16,4.788003487913695e+20,0.07119743974316634,1125.1820859577992,2.575743908921368,8.93077200250118e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,0.5,6.341276592139076,False,6.430200753681922,1.4023069369514727,2.964549700152983e+17,9.179673558732078e+16,5.245770566100666e+20,0.05695795179453307,804.9650435108566,2.562104543327486,1.1069167805900109e-14,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,0.7,5.582491569590302,False,5.548210790674156,-0.6140766804357649,3.7324643688099654e+17,9.293960355729635e+16,5.916265977518419e+20,0.04068425128180934,496.10934308312176,2.5352546189221217,2.6126727806159274e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,1.0,4.9743185439583115,False,4.837440308674728,-2.751698229093755,4.707756445711601e+17,9.328982028685893e+16,6.619707966749923e+20,0.028478975897266535,302.78761874766064,2.496018567820172,7.973903573661762e-16,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,1.5,4.400581911628774,False,4.2013963103339345,-4.526346862638348,6.182081287855322e+17,9.165253417739195e+16,7.416806576261642e+20,0.017826755628633995,196.59069272613021,2.433256062302918,3.667995643884414e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,2.0,4.062887781787845,False,3.8324560770752214,-5.671623660036798,7.545720787952488e+17,8.930266910672864e+16,7.975985375186885e+20,0.012751761215880402,144.6080324439466,2.3735724697414056,2.5573269309978982e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,3.0,3.6699545972421634,False,3.3973953856897645,-7.426773392706743,1.012386600893499e+18,8.434268102289027e+16,8.749847596513367e+20,0.007931632555027716,93.37850199197682,2.2625781564661342,2.232693000625295e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,5.0,3.264909183110295,False,2.9561472815370755,-9.45698285178884,1.5010507206187873e+18,7.586810134121542e+16,9.692361935821546e+20,0.004358306525160536,53.25480311798942,2.069068314553833,2.23269300062529e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,7.0,3.0380332648460024,False,2.715805450884405,-10.606461018389512,1.9712246173146906e+18,6.9434195594118296e+16,1.0291011401408406e+21,0.0029458555072220537,36.54598681874173,1.9060509134186097,1.913736857678821e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
5.0,10.0,2.822956755849604,False,2.4956927237943654,-11.592952367304127,2.656846769262034e+18,6.230355973546265e+16,1.0906597998967854e+21,0.0019544681739418275,24.398526166898414,1.704598491062109,2.23269300062529e-15,lee-lieberman-1994-global published Figure 3 absorbed power condition,published_range_member,published_model_condition,False
