condition_id,pump_mode,pressure_mTorr,net_rf_power_W,assumed_absorbed_power_upper_bound_W,gas_temperature_K,wall_energy_factor_Te,measured_bulk_electron_temperature_eV,model_electron_temperature_eV,temperature_error_percent,measured_peak_electron_density_m3,model_center_electron_density_m3,model_to_measured_density_ratio,model_metastable_density_m3,model_axial_ion_flux_m2_s,maximum_normalized_residual,transport_evidence,absorbed_power_source,absorbed_power_evidence,absorbed_power_boundary_kind,supports_prediction
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,100.0,100.0,300.0,5.0,3.5,2.0057236404539958,-42.69361027274298,9.9e+16,9.122280540605386e+17,9.21442478849029,2.998626203559736e+16,1.5072690279665602e+20,2.441864456313156e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,100.0,100.0,300.0,5.0,2.8,1.7567517199542997,-37.258867144489294,1.98e+17,1.831473754100181e+18,9.249867444950409,2.1260717346523464e+16,1.6411875237088274e+20,1.0558780908236631e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,100.0,100.0,300.0,5.0,3.2,1.7567517199542997,-45.101508751428135,1.82e+17,1.831473754100181e+18,10.06304260494605,2.1260717346523464e+16,1.6411875237088274e+20,1.0558780908236631e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,100.0,100.0,300.0,5.0,2.3,1.5006190011747993,-34.755695601095674,5e+17,4.868808563657631e+18,9.73761712731526,1.2596338314989956e+16,1.7999923900227804e+20,2.7295450716779703e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,100.0,100.0,300.0,5.0,1.9,1.3473537606958759,-29.086644173901266,5.53e+17,1.0559484422043212e+19,19.094908538956982,8138609504048014.0,1.9005222809413226e+20,3.3739951556503784e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,100.0,100.0,300.0,8.0,3.5,2.0057446232921223,-42.69301076308222,9.9e+16,7.589666781514273e+17,7.66633008233765,2.996029669230781e+16,1.2540455419776778e+20,3.0875908848479076e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,100.0,100.0,300.0,8.0,2.8,1.7567551997658397,-37.258742865505724,1.98e+17,1.541846186982518e+18,7.787101954457162,2.125526621875863e+16,1.3816538006638174e+20,4.8837289126263006e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,100.0,100.0,300.0,8.0,3.2,1.7567551997658397,-45.10140000731751,1.82e+17,1.541846186982518e+18,8.471682346057792,2.125526621875863e+16,1.3816538006638174e+20,4.8837289126263006e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,100.0,100.0,300.0,8.0,2.3,1.5006191165542453,-34.75569058459802,5e+17,4.156371689473326e+18,8.312743378946653,1.2595787765557302e+16,1.5366054796737967e+20,1.7408557788912953e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,100.0,100.0,300.0,8.0,1.9,1.3473537146747778,-29.086646596064323,5.53e+17,9.099427235561589e+18,16.454660462136687,8138522312699100.0,1.6377375032648466e+20,2.0348870469276352e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,100.0,100.0,600.0,5.0,3.5,2.3124320735252737,-33.93051218499218,9.9e+16,4.892758080089418e+17,4.9421798788782,3.880810645496353e+16,1.3605797769792224e+20,2.463020037074063e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,100.0,100.0,600.0,5.0,2.8,1.9946294732372318,-28.763233098670288,1.98e+17,9.624193737422118e+17,4.860703907788949,2.8724502070504704e+16,1.5140195203376038e+20,6.104661140782902e-16,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,100.0,100.0,600.0,5.0,3.2,1.9946294732372318,-37.667828961336504,1.82e+17,9.624193737422118e+17,5.28801853704512,2.8724502070504704e+16,1.5140195203376038e+20,6.104661140782902e-16,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,100.0,100.0,600.0,5.0,2.3,1.6747864157529209,-27.18319931509039,5e+17,2.525397547688503e+18,5.050795095377006,1.7600426515864394e+16,1.7012767551791422e+20,3.459307979776968e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,100.0,100.0,600.0,5.0,1.9,1.486861836000028,-21.74411389473536,5.53e+17,5.486649248440438e+18,9.92160804419609,1.1490579680103768e+16,1.819720117306364e+20,1.7973593547533715e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-10mT-cryo-100W,throttled_cryogenic,10.0,100.0,100.0,600.0,8.0,3.5,2.312582304358182,-33.92621987548051,9.9e+16,4.019630068579698e+17,4.060232392504745,3.866556968306352e+16,1.1178268081888766e+20,2.848841865698681e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-cryo-100W,throttled_cryogenic,20.0,100.0,100.0,600.0,8.0,2.8,1.9946641725007481,-28.76199383925899,1.98e+17,8.011152192011479e+17,4.046036460611858,2.8687895175856428e+16,1.2602815433640914e+20,1.2209322281565813e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-20mT-mechanical-100W,throttled_mechanical,20.0,100.0,100.0,600.0,8.0,3.2,1.9946641725007481,-37.666744609351625,1.82e+17,8.011152192011479e+17,4.401731973632681,2.8687895175856428e+16,1.2602815433640914e+20,1.2209322281565813e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-50mT-mechanical-100W,throttled_mechanical,50.0,100.0,100.0,600.0,8.0,2.3,1.6747900148860757,-27.183042831040183,5e+17,2.1350661763553283e+18,4.2701323527106565,1.7596112827230412e+16,1.438326033039078e+20,6.104661140782906e-16,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
mahoney-100mT-mechanical-100W,throttled_mechanical,100.0,100.0,100.0,600.0,8.0,1.9,1.4868623100813267,-21.744088943088066,5.53e+17,4.68759137821047e+18,8.476657103454738,1.1489875108847478e+16,1.5547024109438416e+20,1.1192788655411968e-15,published_model,"mahoney-1994-planar-icp net incident-minus-reflected RF power, run as all-absorbed upper bound",sensitivity,matched_rf_net_power_upper_bound,False
