window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,electron_temperature_eV,attachment_rate_support_m3_s,attachment_incident_energy_support_eV_m3_s,support_conditioned_mean_incident_energy_eV,rate_kernel_missing_below_0p05_fraction,rate_kernel_missing_above_11p8_fraction,incident_energy_kernel_missing_below_0p05_fraction,incident_energy_kernel_missing_above_11p8_fraction,rate_support_complete_at_inherited_tolerance,incident_energy_support_complete_at_inherited_tolerance,supports_absorbed_power_solve,supports_wafer_flux,supports_feature_depth
11,0.5,32.568,2.32173,2.859368363172e-16,1.127673047134e-15,3.943783744893e+00,2.285898661877e-04,3.774075090609e-02,1.637995819537e-06,1.178799391312e-01,false,false,false,false,false
11,0.5,299.417,2.82038,2.928786760448e-16,1.273895159656e-15,4.349566096308e+00,1.552979568106e-04,7.900148999294e-02,9.163555845237e-07,2.123852679973e-01,false,false,false,false,false
11,0.5,849.079,3.34366,2.911587120382e-16,1.350564058693e-15,4.638583710029e+00,1.106977926260e-04,1.328478217158e-01,5.510912711726e-07,3.155044751761e-01,false,false,false,false,false
11,1,33.855,2.24947,2.840490554729e-16,1.099089245373e-15,3.869364196771e+00,2.433997118126e-04,3.291620945968e-02,1.800040295374e-06,1.054271751994e-01,false,false,false,false,false
11,1,134.776,1.82253,2.680194981400e-16,8.873418156902e-16,3.310736054086e+00,3.695103967946e-04,1.152753450651e-02,3.371358138771e-06,4.385249412762e-02,false,false,false,false,false
11,1,199.783,2.05297,2.776861328863e-16,1.010836471485e-15,3.640212282042e+00,2.918102129400e-04,2.152461363114e-02,2.364192699056e-06,7.421651700200e-02,false,false,false,false,false
11,1,299.546,2.40383,2.877928677453e-16,1.157719267186e-15,4.022751766768e+00,2.133464781431e-04,4.361367026830e-02,1.476644654441e-06,1.325434953609e-01,false,false,false,false,false
11,1,499.329,2.54396,2.902780235469e-16,1.203289485817e-15,4.145299982116e+00,1.906354174008e-04,5.453946637630e-02,1.246893121976e-06,1.585950907506e-01,false,false,false,false,false
11,1,699.241,2.85213,2.930008469078e-16,1.280513870509e-15,4.370341874515e+00,1.518795898516e-04,8.202434489842e-02,8.862233404905e-07,2.186734240539e-01,false,false,false,false,false
11,1,859.248,2.80779,2.928208204163e-16,1.271190536052e-15,4.341189039238e+00,1.566854854562e-04,7.781381850851e-02,9.286823076105e-07,2.098952012438e-01,false,false,false,false,false
11,2,34.627,2.04202,2.772788370242e-16,1.005456813845e-15,3.626157786275e+00,2.949225468196e-04,2.096664563003e-02,2.402194786755e-06,7.260869995115e-02,false,false,false,false,false
11,2,98.991,1.85482,2.695038907877e-16,9.059290786525e-16,3.361469387342e+00,3.568703431265e-04,1.270831995906e-02,3.199476969140e-06,4.764120139273e-02,false,false,false,false,false
11,2,148.936,1.85482,2.695038907877e-16,9.059290786525e-16,3.361469387342e+00,3.568703431265e-04,1.270831995906e-02,3.199476969140e-06,4.764120139273e-02,false,false,false,false,false
11,2,199.011,1.86851,2.701215221128e-16,9.136859675495e-16,3.382499700146e+00,3.517063429737e-04,1.323038773750e-02,3.130129199835e-06,4.929572432524e-02,false,false,false,false,false
11,2,298.388,2.06611,2.781676405080e-16,1.017227246584e-15,3.656885627410e+00,2.881400115590e-04,2.220504770935e-02,2.319640871273e-06,7.616575688584e-02,false,false,false,false,false
11,2,498.557,2.3064,2.855564311071e-16,1.121778491578e-15,3.928395123963e+00,2.316166478556e-04,3.668975652394e-02,1.670696129441e-06,1.152003074330e-01,false,false,false,false,false
11,2,698.469,2.33213,2.861887939764e-16,1.131620531972e-15,3.954104967733e+00,2.265701248811e-04,3.846204653124e-02,1.616296040230e-06,1.197088023118e-01,false,false,false,false,false
11,2,868.516,2.43941,2.885039493220e-16,1.169959226110e-15,4.055262428327e+00,2.072101697428e-04,4.628311980760e-02,1.413290910968e-06,1.390472015502e-01,false,false,false,false,false
11,10,38.875,1.31566,2.430347618319e-16,5.525876449592e-16,2.273697971410e+00,7.041041663688e-04,1.269142196189e-03,8.891211156548e-06,6.389619927542e-03,false,false,false,false,false
11,10,99.119,1.37368,2.456103005887e-16,5.936002683437e-16,2.416837839948e+00,6.465712699981e-04,1.783215623839e-03,7.820906081535e-06,8.643548586852e-03,false,false,false,false,false
11,10,149.966,1.46947,2.502730696489e-16,6.605572153562e-16,2.639345960326e+00,5.659148018973e-04,2.939422997046e-03,6.400340790691e-06,1.343440759352e-02,false,false,false,false,false
11,10,200.169,1.49082,2.513553218347e-16,6.752730767017e-16,2.686527867295e+00,5.500000968292e-04,3.255661314777e-03,6.131519162622e-06,1.469487707087e-02,false,false,false,false,false
11,10,299.932,1.55979,2.549004818447e-16,7.221138527561e-16,2.832924628193e+00,5.029318241614e-04,4.438571479486e-03,5.359540698247e-06,1.926755811817e-02,false,false,false,false,false
11,10,499.329,1.66105,2.601104883522e-16,7.885347968180e-16,3.031537873822e+00,4.440586020414e-04,6.660305789290e-03,4.444402356030e-06,2.739829026561e-02,false,false,false,false,false
11,10,599.736,1.76122,2.651023996440e-16,8.509466578649e-16,3.209879122210e+00,3.954330407876e-04,9.478836459300e-03,3.733167587838e-06,3.710856889516e-02,false,false,false,false,false
11,10,698.984,1.74863,2.644888697596e-16,8.432985790044e-16,3.188408569975e+00,4.010931841328e-04,9.089029324915e-03,3.813801229713e-06,3.579806546944e-02,false,false,false,false,false
11,10,798.747,1.70484,2.623215706959e-16,8.162507664759e-16,3.111641807841e+00,4.217564640490e-04,7.813566497785e-03,4.113031833675e-06,3.144065792414e-02,false,false,false,false,false
11,10,890.142,1.93747,2.731197331058e-16,9.516220536793e-16,3.484266928858e+00,3.273227827769e-04,1.605599873612e-02,2.809657641656e-06,5.805409461263e-02,false,false,false,false,false
11,20,100.020,1.28008,2.415934673870e-16,5.273959820461e-16,2.182989415029e+00,7.432675638855e-04,1.013844257424e-03,9.645776631872e-06,5.229428302240e-03,false,false,false,false,false
11,20,149.837,1.30855,2.427372825625e-16,5.475531338214e-16,2.255743856243e+00,7.116787806208e-04,1.214685744483e-03,9.035534356383e-06,6.144754509265e-03,false,false,false,false,false
11,20,199.912,1.29596,2.422217795272e-16,5.386379107581e-16,2.223738558149e+00,7.253946300136e-04,1.122533331893e-03,9.298852075124e-06,5.727264998320e-03,false,false,false,false,false
11,20,299.675,1.39175,2.464577818980e-16,6.063236356780e-16,2.460152124265e+00,6.300884344956e-04,1.970427936070e-03,7.522873490040e-06,9.442325904874e-03,false,false,false,false,false
11,20,499.329,1.47714,2.506606457985e-16,6.658543977804e-16,2.656397838836e+00,5.601188555967e-04,3.050425890177e-03,6.301990513102e-06,1.387892596507e-02,false,false,false,false,false
11,20,699.499,1.58059,2.559755727459e-16,7.360030069938e-16,2.875286102883e+00,4.899195063787e-04,4.846203320299e-03,5.152351235882e-06,2.079915891427e-02,false,false,false,false,false
11,20,899.282,1.6408,2.590764862217e-16,7.755026368799e-16,2.993334702773e+00,4.549745624595e-04,6.167245854982e-03,4.609711254489e-06,2.563628483026e-02,false,false,false,false,false
6.5,0.5,50.847,2.96274,2.931719829623e-16,1.301395238604e-15,4.439016393908e+00,1.408121692424e-04,9.284649112253e-02,7.910127940436e-07,2.406344334249e-01,false,false,false,false,false
6.5,0.5,700.271,3.59495,2.880877329742e-16,1.367159027972e-15,4.745634303335e+00,9.582961541232e-05,1.607551659335e-01,4.437634406607e-07,3.629768951913e-01,false,false,false,false,false
6.5,0.5,899.797,3.77832,2.851943338841e-16,1.372983447171e-15,4.814203103098e+00,8.679269869705e-05,1.815034857769e-01,3.824314370737e-07,3.961874624406e-01,false,false,false,false,false
6.5,1,50.847,2.49364,2.894820061386e-16,1.187730974368e-15,4.102952685078e+00,1.983544709537e-04,5.049064977731e-02,1.323517660357e-06,1.491114184547e-01,false,false,false,false,false
6.5,1,101.050,2.49474,2.895005434149e-16,1.188080579889e-15,4.103897581244e+00,1.981807556773e-04,5.057769063004e-02,1.321776460950e-06,1.493173133645e-01,false,false,false,false,false
6.5,1,700.271,3.21179,2.922631575985e-16,1.337168249488e-15,4.575220019091e+00,1.199254512378e-04,1.186050442622e-01,6.215106957974e-07,2.898656819805e-01,false,false,false,false,false
6.5,1,899.797,3.64312,2.873751001401e-16,1.369158175911e-15,4.764359108508e+00,9.332364303050e-05,1.661841393629e-01,4.264513678853e-07,3.718276780349e-01,false,false,false,false,false
6.5,1,899.668,3.25065,2.919784289182e-16,1.341484336322e-15,4.594463848897e+00,1.170897921473e-04,1.227657735867e-01,5.995701031214e-07,2.974629381260e-01,false,false,false,false,false
6.5,2,24.715,2.08147,2.787204271487e-16,1.024608164912e-15,3.676114360879e+00,2.839368354679e-04,2.301544114466e-02,2.268969726771e-06,7.847133475353e-02,false,false,false,false,false
6.5,2,38.360,2.33381,2.862290325880e-16,1.132254316367e-15,3.955763348425e+00,2.262463715994e-04,3.857918904056e-02,1.612826714403e-06,1.200050516307e-01,false,false,false,false,false
6.5,2,74.919,2.22653,2.833991754969e-16,1.089586695193e-15,3.844706651961e+00,2.484032004251e-04,3.145427850477e-02,1.855934652739e-06,1.015731553030e-01,false,false,false,false,false
6.5,2,175.068,2.28674,2.850527960042e-16,1.114086003810e-15,3.908349679173e+00,2.355871447274e-04,3.536340818918e-02,1.713919211443e-06,1.117928777510e-01,false,false,false,false,false
6.5,2,238.787,2.15592,2.812445602384e-16,1.059019947675e-15,3.765477087904e+00,2.648112716351e-04,2.717072487105e-02,2.043201131063e-06,9.004082197721e-02,false,false,false,false,false
6.5,2,349.878,2.41701,2.880627647048e-16,1.162307625761e-15,4.034911026949e+00,2.110419874090e-04,4.459394752878e-02,1.452743077390e-06,1.349429207448e-01,false,false,false,false,false
6.5,2,499.458,2.51225,2.897887439365e-16,1.193588184240e-15,4.118821759694e+00,1.954459738359e-04,5.197212682864e-02,1.294466378199e-06,1.526035790228e-01,false,false,false,false,false
6.5,2,699.499,2.80728,2.928183628024e-16,1.271080007831e-15,4.340848011259e+00,1.567420833423e-04,7.776584188160e-02,9.291862896887e-07,2.097943789571e-01,false,false,false,false,false
6.5,2,899.282,2.62392,2.913297368871e-16,1.226229581259e-15,4.209077982774e+00,1.792652442096e-04,6.124520189084e-02,1.136850069305e-06,1.739058368907e-01,false,false,false,false,false
6.5,10,25.102,1.75853,2.649716985340e-16,8.493174591303e-16,3.205313864949e+00,3.966322874897e-04,9.394674263150e-03,3.750203565356e-06,3.682641436954e-02,false,false,false,false,false
6.5,10,41.707,1.6704,2.605856983877e-16,7.945069375726e-16,3.048927636814e+00,4.391505154818e-04,6.896476304584e-03,4.370738670323e-06,2.823479974786e-02,false,false,false,false,false
6.5,10,95.644,1.58282,2.560908173963e-16,7.374849811508e-16,2.879779090281e+00,4.885544828089e-04,4.891360195270e-03,5.130776029705e-06,2.096760082323e-02,false,false,false,false,false
6.5,10,150.610,1.58665,2.562887189357e-16,7.400269738387e-16,2.887473849461e+00,4.862233466393e-04,4.969580525003e-03,5.094001100714e-06,2.125881618185e-02,false,false,false,false,false
6.5,10,200.684,1.66383,2.602519381699e-16,7.903134880474e-16,3.036724696865e+00,4.425907391195e-04,6.729960211109e-03,4.422328412246e-06,2.764549364862e-02,false,false,false,false,false
6.5,10,300.576,1.75853,2.649716985340e-16,8.493174591303e-16,3.205313864949e+00,3.966322874897e-04,9.394674263150e-03,3.750203565356e-06,3.682641436954e-02,false,false,false,false,false
6.5,10,500.230,1.85486,2.695057057700e-16,9.059518507987e-16,3.361531245545e+00,3.568550894834e-04,1.270982669924e-02,3.199271376930e-06,4.764599413337e-02,false,false,false,false,false
6.5,10,700.271,2.13566,2.805832711595e-16,1.049878709055e-15,3.741772289974e+00,2.698198810958e-04,2.600285960118e-02,2.101556765166e-06,8.682973032604e-02,false,false,false,false,false
6.5,10,825.136,2.21011,2.829189356667e-16,1.082656687508e-15,3.826738160725e+00,2.520799451788e-04,3.042885798777e-02,1.897371545323e-06,9.884589115445e-02,false,false,false,false,false
6.5,10,877.913,2.52758,2.900305019946e-16,1.198321836430e-15,4.131709693251e+00,1.930978814827e-04,5.320658502112e-02,1.271170739559e-06,1.554938701637e-01,false,false,false,false,false
