source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,relative_cl2_density_percent,cl2_dissociation_percent,electron_temperature_eV,electron_temperature_method,volume_average_electron_density_m3,electron_density_method,hamilton_neutral_dissociation_rate_m3_s,lee_dissociative_attachment_rate_m3_s,attachment_fraction_of_cl2_destruction_rate,electron_driven_cl2_destruction_frequency_s_inv,required_wall_return_frequency_s_inv,cl_to_cl2_number_density_ratio,reported_cl2_uncertainty_lower_frequency_s_inv,reported_cl2_uncertainty_upper_frequency_s_inv,reproduced_relative_cl2_density_percent,supports_wall_probability_inference,supports_wafer_flux,supports_feature_depth
Figure 7,11,10,200.704,99.8342,0.1658,1.49082,exact_marker,3.34906483e+16,linear_interpolation,9.18705985e-16,2.03952688e-16,0.18166936,3.75985668e+01,1.13197311e+04,3.32150706e-03,5.60256709e+01,,99.83420000,false,false,false
Figure 7,11,10,499.936,91.9403,8.0597,1.66105,exact_marker,6.85654008e+16,exact_marker,1.23629716e-15,2.08254799e-16,0.14416567,9.90462842e+01,5.64930772e+02,1.75324640e-01,1.09998523e+02,,91.94030000,false,false,false
Figure 7,11,10,700.640,82.8856,17.1144,1.74863,exact_marker,9.97295250e+16,linear_interpolation,1.41238254e-15,2.10652960e-16,0.12978950,1.61864560e+02,3.91957684e+02,4.12964375e-01,1.32971694e+02,,82.88560000,false,false,false
Figure 7,11,10,800.384,55.0249,44.9751,1.70484,exact_marker,1.15105179e+17,linear_interpolation,1.32336775e-15,2.09443408e-16,0.13664006,1.76434502e+02,1.07929619e+02,1.63471810e+00,6.19875180e+01,1.94359399e+02,55.02490000,false,false,false
Figure 7,11,2,149.616,91.9403,8.0597,1.85482,exact_marker,2.74261603e+16,exact_marker,1.63557757e-15,2.13644430e-16,0.11553206,5.07170589e+01,2.89275135e+02,1.75324640e-01,5.63251982e+01,,91.94030000,false,false,false
Figure 7,11,2,300.448,68.9552,31.0448,2.06611,exact_marker,5.74894515e+16,exact_marker,2.10482605e-15,2.19679482e-16,0.09450590,1.33634548e+02,1.48411280e+02,9.00433905e-01,7.15677554e+01,4.17155449e+02,68.95520000,false,false,false
Figure 7,11,2,499.936,56.8823,43.1177,2.3064,exact_marker,1.03902954e+17,exact_marker,2.66635042e-15,2.26423252e-16,0.07827202,3.00567730e+02,1.98259459e+02,1.51603223e+00,1.11816564e+02,3.69781245e+02,56.88230000,false,false,false
Figure 7,11,2,700.640,42.0232,57.9768,2.33213,exact_marker,1.54238729e+17,linear_interpolation,2.72761718e-15,2.27129514e-16,0.07686937,4.55736375e+02,1.65165211e+02,2.75927583e+00,1.04870621e+02,2.52147374e+02,42.02320000,false,false,false
Figure 7,11,2,867.286,28.7894,71.2106,2.43941,exact_marker,1.92169130e+17,linear_interpolation,2.98458753e-15,2.30033317e-16,0.07155846,6.17750893e+02,1.24873808e+02,4.94700133e+00,8.50583911e+01,1.73642542e+02,28.78940000,false,false,false
Figure 7,11,1,300.448,65.0083,34.9917,2.40383,exact_marker,7.59040700e+16,linear_interpolation,2.89913232e-15,2.29077831e-16,0.07322968,2.37443883e+02,2.20564064e+02,1.07653023e+00,1.12958768e+02,5.14812301e+02,65.00830000,false,false,false
Figure 7,11,1,499.936,36.9154,63.0846,2.54396,exact_marker,1.31856540e+17,exact_marker,3.23657540e-15,2.32794912e-16,0.06710005,4.57459165e+02,1.33846359e+02,3.41779312e+00,8.75733771e+01,1.95978239e+02,36.91540000,false,false,false
Figure 7,11,1,700.640,29.9502,70.0498,2.85213,exact_marker,1.75727346e+17,linear_interpolation,3.97987894e-15,2.40509507e-16,0.05698753,7.41637661e+02,1.58545751e+02,4.67775173e+00,1.07426596e+02,2.21900949e+02,29.95020000,false,false,false
Figure 7,11,1,850.256,25.0746,74.9254,2.8102818,linear_interpolation,2.03675792e+17,linear_interpolation,3.87935351e-15,2.39500135e-16,0.05814728,8.38910777e+02,1.40375308e+02,5.97619902e+00,9.71531419e+01,1.91490205e+02,25.07460000,false,false,false
Figure 7,11,0.5,300.448,45.0415,54.9585,2.82038,exact_marker,8.76278997e+16,linear_interpolation,3.90363297e-15,2.39744809e-16,0.05786217,3.63075492e+02,1.48780123e+02,2.44034946e+00,9.26102911e+01,2.33898262e+02,45.04150000,false,false,false
Figure 7,11,0.5,850.256,19.9668,80.0332,3.34366,exact_marker,2.06751055e+17,exact_marker,5.13299289e-15,2.51478029e-16,0.04670432,1.11324504e+03,1.38867002e+02,8.01662760e+00,9.80357274e+01,1.85130404e+02,19.96680000,false,false,false
Figure 8,6.5,10,300.064,92.8444,7.1556,1.75853,exact_marker,1.92616034e+16,exact_marker,1.43277075e-15,2.10928797e-16,0.12832564,3.16602887e+01,2.05397207e+02,1.54141768e-01,3.62998018e+01,,92.84440000,false,false,false
Figure 8,6.5,10,499.297,90.6977,9.3023,1.85486,exact_marker,2.78481013e+16,exact_marker,1.63566349e-15,2.13645567e-16,0.11552724,5.14997459e+01,2.51062023e+02,2.05127583e-01,5.47770508e+01,,90.69770000,false,false,false
Figure 8,6.5,10,699.744,76.4758,23.5242,2.13566,exact_marker,3.61475611e+16,linear_interpolation,2.26495903e-15,2.21654403e-16,0.08913907,8.98850111e+01,1.46105460e+02,6.15206379e-01,6.04495810e+01,9.75260787e+02,76.47580000,false,false,false
Figure 8,6.5,10,824.872,54.2039,45.7961,2.21011,exact_marker,4.13072709e+16,linear_interpolation,2.43872096e-15,2.23749920e-16,0.08403845,1.09979406e+02,6.50853754e+01,1.68977140e+00,3.76681120e+01,1.15546783e+02,54.20390000,false,false,false
Figure 8,6.5,2,349.872,82.9159,17.0841,2.41701,exact_marker,3.48714881e+16,linear_interpolation,2.93076404e-15,2.29432674e-16,0.07260076,1.10200762e+02,2.67423961e+02,4.12082604e-01,9.06174192e+01,,82.91590000,false,false,false
Figure 8,6.5,2,499.297,72.9875,27.0125,2.51225,exact_marker,5.22151899e+16,exact_marker,3.16003915e-15,2.31964747e-16,0.06838575,1.77114128e+02,2.39280285e+02,7.40195239e-01,1.07108616e+02,9.21719601e+02,72.98750000,false,false,false
Figure 8,6.5,2,699.744,66.0107,33.9893,2.80728,exact_marker,7.63502110e+16,exact_marker,3.87213508e-15,2.39427268e-16,0.05823267,3.13918653e+02,3.04831080e+02,1.02981183e+00,1.53900620e+02,7.40637131e+02,66.01070000,false,false,false
Figure 8,6.5,2,900.192,48.8372,51.1628,2.62392,exact_marker,9.86286920e+16,exact_marker,3.42975500e-15,2.34858709e-16,0.06408826,3.61436057e+02,1.72503508e+02,2.09523888e+00,1.04451673e+02,2.83214682e+02,48.83720000,false,false,false
