source_figure,window_to_wafer_gap_cm,pressure_mTorr,tcp_source_power_W,measured_relative_cl2_density_percent,cl_to_cl2_number_density_ratio,declared_gas_temperature_K,gas_temperature_role,gauge_pressure_Pa,initial_cl2_particle_fraction,eq11_particle_pressure_multiplier,bulk_particle_pressure_Pa,bulk_neutral_density_m3,neufeld_reduced_temperature,neufeld_omega_11,cl_in_cl2_diffusivity_m2_s,cl_in_cl2_reduced_diffusivity_m_inv_s,chlorine_mean_speed_m_s,required_wall_return_frequency_s_inv,absorbing_wall_limit_frequency_s_inv,target_is_transport_attainable,effective_wall_recombination_probability,matched_wall_return_frequency_s_inv,published_fitted_gamma,published_gamma_transport_frequency_s_inv,published_gamma_replayed_relative_cl2_percent,published_gamma_replay_error_percentage_point,supports_prediction,supports_local_wall_probability_prediction,supports_wafer_flux,supports_feature_depth
Figure 7,11,10,200.704,99.8342,3.32150706e-03,333.0,initial_condition_sensitivity,1.33322368e+00,9.50000000e-01,1.00157510e+00,1.33532364e+00,2.90441735e+20,2.0350706634,1.06891962991,1.41301149e+00,4.10397510e+20,4.45946512e+02,1.13197311e+04,1.09503552e+03,false,,,0.035,1.00538558e+02,84.24700562,-15.58719438,false,false,false,false
Figure 7,11,10,499.936,91.9403,1.75324640e-01,333.0,initial_condition_sensitivity,1.33322368e+00,9.50000000e-01,1.07656715e+00,1.43530482e+00,3.12188304e+20,2.0350706634,1.06891962991,1.31458324e+00,4.10397510e+20,4.45946512e+02,5.64930772e+02,1.03168368e+03,true,0.294546884462,5.64930772e+02,0.035,9.99460020e+01,66.86731405,-25.07298595,false,false,false,false
Figure 7,11,10,700.640,82.8856,4.12964375e-01,333.0,initial_condition_sensitivity,1.33322368e+00,9.50000000e-01,1.16258680e+00,1.54998826e+00,3.37132710e+20,2.0350706634,1.06891962991,1.21731739e+00,4.10397510e+20,4.45946512e+02,3.91957684e+02,9.67453584e+02,true,0.180037089583,3.91957684e+02,0.035,9.92747850e+01,55.08928578,-27.79631422,false,false,false,false
Figure 7,11,10,800.384,55.0249,1.63471810e+00,333.0,initial_condition_sensitivity,1.33322368e+00,9.50000000e-01,1.42726345e+00,1.90286144e+00,4.13884963e+20,2.0350706634,1.06891962991,9.91573860e-01,4.10397510e+20,4.45946512e+02,1.07929619e+02,8.11821080e+02,true,0.0392806360302,1.07929619e+02,0.035,9.72649136e+01,52.43895752,-2.58594248,false,false,false,false
Figure 7,11,2,149.616,91.9403,1.75324640e-01,333.0,initial_condition_sensitivity,2.66644737e-01,9.50000000e-01,1.07656715e+00,2.87060964e-01,6.24376607e+19,2.0350706634,1.06891962991,6.57291618e+00,4.10397510e+20,4.45946512e+02,2.89275135e+02,3.05223089e+03,true,0.0945529874616,2.89275135e+02,0.035,1.07187253e+02,80.86809785,-11.07220215,false,false,false,false
Figure 7,11,2,300.448,68.9552,9.00433905e-01,333.0,initial_condition_sensitivity,2.66644737e-01,9.50000000e-01,1.29492560e+00,3.45285096e-01,7.51017949e+19,2.0350706634,1.06891962991,5.46454996e+00,4.10397510e+20,4.45946512e+02,1.48411280e+02,2.77692642e+03,true,0.0487189623688,1.48411280e+02,0.035,1.06796222e+02,61.51377890,-7.44142110,false,false,false,false
Figure 7,11,2,499.936,56.8823,1.51603223e+00,333.0,initial_condition_sensitivity,2.66644737e-01,9.50000000e-01,1.40961815e+00,3.75867261e-01,8.17536182e+19,2.0350706634,1.06891962991,5.01993085e+00,4.10397510e+20,4.45946512e+02,1.98259459e+02,2.65148176e+03,true,0.0654481917218,1.98259459e+02,0.035,1.06591892e+02,41.49550478,-15.38679522,false,false,false,false
Figure 7,11,2,700.640,42.0232,2.75927583e+00,333.0,initial_condition_sensitivity,2.66644737e-01,9.50000000e-01,1.55077960e+00,4.13507218e-01,8.99405583e+19,2.0350706634,1.06891962991,4.56298602e+00,4.10397510e+20,4.45946512e+02,1.65165211e+02,2.51189150e+03,true,0.0546194018357,1.65165211e+02,0.035,1.06341402e+02,31.81877649,-10.20442351,false,false,false,false
Figure 7,11,2,867.286,28.7894,4.94700133e+00,333.0,initial_condition_sensitivity,2.66644737e-01,9.50000000e-01,1.67650070e+00,4.47030088e-01,9.72320044e+19,2.0350706634,1.06891962991,4.22080685e+00,4.10397510e+20,4.45946512e+02,1.24873808e+02,2.39941186e+03,true,0.041263399517,1.24873808e+02,0.035,1.06119234e+02,25.57122760,-3.21817240,false,false,false,false
Figure 7,11,1,300.448,65.0083,1.07653023e+00,333.0,initial_condition_sensitivity,1.33322368e-01,9.50000000e-01,1.33242115e+00,1.77641543e-01,3.86382121e+19,2.0350706634,1.06891962991,1.06215451e+01,4.10397510e+20,4.45946512e+02,2.20564064e+02,3.75685033e+03,true,0.0710567044876,2.20564064e+02,0.035,1.07929301e+02,47.61910851,-17.38919149,false,false,false,false
